Cell	CellType	X	Y
O159	hBIC	-2.7534276247024536	1.274089366197586
O160	vBC	0.0549995475448668	2.871666431427002
O162	hBC	-0.5588336884975433	1.5838118195533752
O165	vBIC	-1.3826741576194763	0.07207638770341873
O164	vAAC	3.4961671829223633	-0.29682663083076477
O171	vBC	-0.12475919350981712	1.5150868892669678
O145	vBC	3.7877023220062256	-0.754668802022934
O427	hBIC	-2.63237464427948	1.274089366197586
O41	vAAC	-0.4837150126695633	-0.29724355041980743
O39	vBC	2.60362446308136	0.12115193251520395
O430	vBC	-0.7140209674835205	1.735653579235077
O433	hBIC	-2.05657160282135	1.8862814903259277
O434	hBC	1.0301224328577518	1.5754187107086182
O435	vBC	-0.8452516198158264	2.6522823572158813
O439	hBC	1.0112733244895935	3.057705879211426
O137	vBC	3.9522857666015625	-0.2887459769845009
O440	hBC	-1.0868774056434631	0.4028652161359787
O135	vBC	-1.2875891029834747	2.9213123321533203
O454	vBC	-3.1459227800369263	0.4080623984336853
O104	hBIC	-2.2519707679748535	2.027914345264435
O103	vBC	3.5243347883224487	-0.5752783119678497
O102	hBC	-0.17421496659517288	3.1551854610443115
O106	hBC	-0.861148476600647	1.719475269317627
O44	vBIC	-1.356304943561554	0.14289284497499466
O46	vBC	-1.1933854222297668	0.40832172334194183
O49	vBC	0.2766457721590996	3.5914788246154785
O149	vAAC	2.430773138999939	1.5754187107086182
O147	vAAC	3.110376477241516	-0.3627433478832245
O47	vBC	2.3440529704093933	0.8146551176905632
O48	vBC	4.01078724861145	-0.9288285672664642
O151	hBIC	-3.1459227800369263	0.4860336184501648
O54	hBC	1.6967490315437317	3.7478537559509277
O55	vBC	3.424460291862488	-0.2576569467782974
O56	vBIC	-1.356304943561554	0.14289284497499466
O52	vBC	3.4439398050308228	-0.27733610570430756
O141	vBIC	-3.4821261167526245	0.4860336184501648
O58	hBC	2.875616431236267	-0.5922749750316143
O61	hBIC	-2.9372555017471313	0.4619026333093643
O60	vBC	1.0718308091163635	3.0939223766326904
O109	vBC	-0.52867791056633	2.6378111839294434
O111	vBC	-0.8881853520870209	2.033144533634186
O113	vBC	-0.8013093173503876	1.72506982088089
O117	vBC	0.7589899301528931	1.769153118133545
O24	hBIC	-3.5612845420837402	0.4619026333093643
O62	vBC	-0.7103171050548553	2.195174992084503
O65	hBC	-0.49631114304065704	3.1651666164398193
O31	vBIC	-0.9781069755554199	1.6657312512397766
O36	vBC	2.777444005012512	-0.9782046377658844
O32	vBIC	-3.1459227800369263	0.4819076508283615
O128	vBC	3.5591245889663696	-0.7039957046508789
O127	vAAC	1.5845587849617004	-1.5555865168571472
O66	hBIC	-2.165055990219116	2.027914345264435
O129	vBC	-1.051960289478302	1.6657312512397766
O125	hBIC	-0.9921048283576965	1.7422049045562744
O76	vBIC	-0.5583490133285522	-0.3682681769132614
O73	vBC	1.0891043096780777	2.6690257787704468
O131	vBC	0.7671401798725128	3.1269272565841675
O130	vBC	3.509448766708374	-0.8395673930644989
O71	hBIC	-3.301633834838867	0.4860336184501648
O134	vBIC	-1.3973277807235718	0.10659084096550941
O132	vAAC	0.3863784819841385	3.164247751235962
O80	vBC	1.6371758580207825	-2.4565707445144653
O78	hBIC	-3.092975616455078	0.4860336184501648
O87	vBIC	-0.9781069755554199	1.7543385028839111
O90	vBC	1.0479267835617065	2.4925752878189087
O89	vAAC	3.499330997467041	-0.5829538106918335
O100	vBC	2.120247006416321	-2.1626487970352173
