Cell	CellType	X	Y
O159	hBIC	0.009928688406944275	4.932517051696777
O160	vBC	-0.3160022795200348	4.952591419219971
O162	hBC	-0.4125913977622986	3.466094970703125
O165	vBIC	1.0631657838821411	5.052629470825195
O164	vAAC	-0.13789163529872894	3.3027291297912598
O171	vBC	-0.570114940404892	5.048505067825317
O145	vBC	-0.15472008287906647	3.4991812705993652
O427	hBIC	1.2485066056251526	3.4743635654449463
O41	vAAC	1.5883840322494507	4.874091386795044
O39	vBC	-0.8782419264316559	4.5243799686431885
O430	vBC	2.3917758464813232	3.9741445779800415
O433	hBIC	2.0350100994110107	5.883227825164795
O434	hBC	-0.7812163233757019	4.09843373298645
O435	vBC	0.9745922302827239	4.079853415489197
O439	hBC	2.2245136499404907	3.8312222957611084
O137	vBC	-1.119120329618454	4.150865793228149
O440	hBC	2.022181808948517	3.386966824531555
O135	vBC	-0.22425931692123413	3.5965945720672607
O454	vBC	0.32356105744838715	5.225063323974609
O104	hBIC	1.1906769275665283	3.0402164459228516
O103	vBC	-0.8452787101268768	4.6608428955078125
O102	hBC	2.547939658164978	4.285189151763916
O106	hBC	0.7478161752223969	3.2156020402908325
O44	vBIC	1.1061385869979858	3.0073925256729126
O46	vBC	0.9792860448360443	3.8223284482955933
O49	vBC	0.22979401797056198	4.763233661651611
O149	vAAC	2.067975401878357	3.8688156604766846
O147	vAAC	-0.5743398368358612	3.7600231170654297
O47	vBC	0.4798336327075958	3.176180839538574
O48	vBC	-0.5126545280218124	3.7037088871002197
O151	hBIC	2.2394243478775024	3.857571601867676
O54	hBC	0.7559028267860413	5.630765676498413
O55	vBC	-0.5420893952250481	5.373629570007324
O56	vBIC	0.756837010383606	3.2257097959518433
O52	vBC	-0.4713602811098099	3.7067946195602417
O141	vBIC	1.1564822793006897	2.8444972038269043
O58	hBC	-0.6922141164541245	4.273402452468872
O61	hBIC	0.7235663831233978	4.69917631149292
O60	vBC	0.45987530052661896	4.274164915084839
O109	vBC	2.1234026551246643	3.487028121948242
O111	vBC	0.7478161752223969	3.062821865081787
O113	vBC	-0.10633024200797081	4.409399747848511
O117	vBC	-0.5650041848421097	4.407090187072754
O24	hBIC	3.4846023321151733	5.834038496017456
O62	vBC	0.675057977437973	3.366212248802185
O65	hBC	2.2159621715545654	4.473404169082642
O31	vBIC	0.6642425656318665	3.4642558097839355
O36	vBC	-0.3531348332762718	3.606295585632324
O32	vBIC	1.7986672520637512	4.014860033988953
O128	vBC	-0.732583224773407	4.365429878234863
O127	vAAC	0.3641802817583084	3.4492721557617188
O66	hBIC	1.39872407913208	4.477498412132263
O129	vBC	-0.2830743067897856	3.1603236198425293
O125	hBIC	1.2284535467624664	3.7207335233688354
O76	vBIC	1.445198655128479	5.15802788734436
O73	vBC	-0.4240986406803131	3.808206081390381
O131	vBC	-0.012067146599292755	5.764938592910767
O130	vBC	-0.3531348332762718	3.2850676774978638
O71	hBIC	1.3966132402420044	3.612666130065918
O134	vBIC	0.6224799454212189	3.008539915084839
O132	vAAC	-0.42297783493995667	3.4348703622817993
O80	vBC	-0.7283906638622284	4.198561906814575
O78	hBIC	2.740948796272278	4.882359266281128
O87	vBIC	1.8893166780471802	4.247383117675781
O90	vBC	0.7013520300388336	3.5965945720672607
O89	vAAC	-0.8428747951984406	4.5492329597473145
O100	vBC	-0.8787831664085388	3.6790822744369507
