Cell	Plot_X	Plot_Y
GSM2656741	-45.431837	-92.055894
GSM2656743	64.967641	39.354315
GSM2656749	101.24310899999999	21.465392
GSM2656751	-33.92458	-0.247527
GSM2656770	-73.18344499999998	-35.799283
GSM2656788	-59.869035	-28.089371000000003
GSM2656797	0.333176	17.330842999999998
GSM2656804	-2.699433	18.666589000000002
GSM2656809	-72.171439	-37.079035
GSM2656829	57.33073100000001	45.637876
GSM2656831	55.070565	43.042328999999995
GSM2656835	-51.802917	-34.770511
GSM2656836	76.58512900000002	-16.500892999999998
GSM2656837	-41.973948	-88.126187
GSM2656842	-12.642659	73.746133
GSM2656850	6.3511239999999995	-55.609061
GSM2656852	-48.119683	-33.240981
GSM2656855	-39.815605	-85.501456
GSM2656867	70.35974	-57.997935999999996
GSM2656868	-11.247608999999999	60.645752
GSM2656869	60.324220999999994	26.112270000000002
GSM2656870	-63.005978000000006	-28.534803999999998
GSM2656892	-71.698621	54.82626
GSM2656894	17.508547	15.284170000000001
GSM2656896	-6.917275	-66.189464
GSM2656900	-11.533242999999999	12.289057000000001
GSM2656903	-56.499022	-28.848136
GSM2656905	-52.407445	60.073073
GSM2656924	39.355507	-15.741829000000001
GSM2656926	9.415525	81.246739
GSM2656928	-0.185422	81.279195
GSM2656931	-59.396214	-40.981268
GSM2656934	21.398679	74.457792
GSM2656942	-11.402467	-54.299493999999996
GSM2656944	9.264503	-58.282704
GSM2656957	52.99675500000001	42.106168
GSM2656965	-63.704936	-47.676573
GSM2656973	36.653827	-49.655466
GSM2656979	-8.491199	2.845951
GSM2656983	-51.86417700000001	-62.69830500000001
GSM2656984	-66.337816	-36.479746999999996
GSM2656996	0.372167	17.918741
GSM2656998	49.724364	-64.32200999999999
GSM2657003	-83.146142	15.764339999999999
GSM2657007	-52.415464	-24.884324
GSM2657016	-55.793274	-28.24297
GSM2657025	13.260107999999999	36.526782
GSM2657027	19.689848	37.239684000000004
GSM2657031	46.895064	-21.416088000000002
GSM2657039	-54.879135	14.888878
GSM2657040	-73.454911	39.78718
GSM2657042	-50.170912	21.316049
GSM2657045	53.60957	-27.898013
GSM2657048	-17.296978	12.912566
GSM2657051	-28.0591	-5.178814
GSM2657058	-32.930820000000004	0.8429969999999999
GSM2657064	69.168807	-10.418693
GSM2657072	-62.15234	48.388123
GSM2657075	8.574373	-71.11289599999998
GSM2657077	-46.253839	-21.772517999999998
GSM2657086	-78.871449	-17.956935
GSM2657105	-66.569347	34.52475
GSM2657113	-66.705301	-17.475125
GSM2657118	-3.6137129999999997	-56.182508
GSM2657126	-60.58336800000001	28.377895000000002
GSM2657129	-11.593278	-54.011118999999994
GSM2657132	65.257972	30.431234000000003
GSM2657134	75.29193599999998	-18.379168
GSM2657137	-59.12931500000001	59.242961
GSM2657144	-5.185203	2.358246
GSM2657153	5.427881	-38.303203
GSM2657158	23.301144	-48.22395
GSM2657161	-55.30435600000001	-36.979314
GSM2657167	-26.110313	10.083822
GSM2657173	81.039454	-26.313008
GSM2657176	18.643906	40.025926
GSM2657182	11.453614	-59.19504000000001
GSM2657185	-6.275549	-66.45485500000001
GSM2657191	4.116763	-72.58801
GSM2657196	-80.42325600000002	-20.958975
GSM2657197	-44.703101000000004	-24.5198
GSM2657198	-47.157042	-91.185225
GSM2657199	-79.70796800000002	-34.306072
GSM2657200	1.607758	-31.629926
GSM2657214	-15.783714999999999	37.644436999999996
GSM2657235	-5.34785	-51.13767
GSM2657237	-79.392115	-33.658401
GSM2657240	-61.421174	34.521355
GSM2657241	-63.501177	-27.803879
GSM2657247	-0.676539	-41.283694
GSM2657254	-36.717368	48.384017
GSM2657262	30.109866999999998	37.046005
GSM2657264	-9.487903999999999	-53.739186
GSM2657269	-45.528418	-24.250103
GSM2657270	9.845883	15.149435999999998
GSM2657280	-39.186318	45.798338
GSM2657287	70.934914	-31.642218
GSM2657291	17.412567000000006	41.462026
GSM2657295	-53.235313	68.997582
GSM2657299	-61.169895999999994	47.976764
GSM2657300	4.405231	32.310784999999996
GSM2657305	59.377922999999996	-22.581177
GSM2657306	10.148786999999999	-42.803937
GSM2657310	68.42410600000001	-11.663663
GSM2657325	70.001079	-25.900909
GSM2657342	70.476938	-29.501367
GSM2657345	-5.660508999999999	-64.60079
GSM2657358	8.820988999999997	18.072206
GSM2657362	-61.993137	45.16496400000001
GSM2657376	13.509338	36.517363
GSM2657385	6.079168	-55.126649
GSM2657396	-5.478083	-63.202484
GSM2657399	13.253292000000002	25.470215
GSM2657400	-3.6620449999999996	3.5104349999999998
GSM2657404	-57.039481	62.269906999999996
GSM2657410	-46.94084	-38.835640999999995
GSM2657423	-43.070596	45.306814
GSM2657434	17.116485	25.150832
GSM2657436	-47.687763000000004	-19.299028
GSM2657444	-38.308738	-81.20734200000003
GSM2657461	-38.096043	72.732126
GSM2657479	-81.32378800000002	14.510745000000002
GSM2657485	58.30961	-8.916945
GSM2657488	-79.57151999999998	9.831581
GSM2657490	38.166426	-23.283123
GSM2657494	-12.390606	-55.138787
GSM2657517	-75.47665699999997	-22.503649
GSM2657523	-54.88216	-76.950637
GSM2657532	-79.174141	-24.243466
GSM2657536	12.715959	43.296535
GSM2657548	43.928357	0.895337
GSM2657567	-45.058904999999996	-73.326531
GSM2657570	22.126229000000002	-37.424409999999995
GSM2657579	9.914444	18.489006
GSM2657582	27.072406	35.000686
GSM2657586	-3.967629	-38.798732
GSM2657588	59.469998	46.663604
GSM2657589	-79.021	-21.265946
GSM2657590	-6.864264	-30.88644600000001
GSM2657611	-53.790539	-89.573418
GSM2657616	-6.6775210000000005	-50.053765999999996
GSM2657618	-37.412924	45.708646
GSM2657627	-7.743722999999999	-67.36083599999999
GSM2657634	38.237969	47.852659
GSM2657635	39.43437	-15.790869
GSM2657640	-50.914953000000004	-29.91235
GSM2657641	43.121187	-25.683383
GSM2657648	-0.8852559999999999	-79.011471
GSM2657663	42.305368	-20.296569
GSM2657665	1.655454	-31.697209
GSM2657668	-66.56876	35.063347
GSM2657671	75.416465	-17.420081
GSM2657673	-42.632791	-70.052068
GSM2657675	2.0101869999999997	23.491509
GSM2657684	20.397135000000002	34.22895
GSM2657701	30.334956	-44.405049
GSM2657729	-43.50892	-70.858684
GSM2657731	33.278506	25.108971
GSM2657733	17.334474	15.323419
GSM2657754	-5.388615	-50.24333
GSM2657769	-78.404136	-21.779708
GSM2657780	29.465084	64.369795
GSM2657781	-80.65573	15.516516000000001
GSM2657782	34.11493	58.387131999999994
GSM2657783	35.896313	-44.078651
GSM2657796	1.046699	-56.856913
GSM2657799	21.198326	25.816468
GSM2657810	9.615663	68.60374399999999
GSM2657811	0.75481	-58.136747
GSM2657815	0.613354	-56.928012
GSM2657820	69.77385600000001	-13.075633
GSM2657826	-11.687596000000001	-55.945715
GSM2657829	-68.761742	52.912180000000006
GSM2657830	55.207951	-11.355855
GSM2657835	51.033077	-29.668298999999998
GSM2657845	-69.07234	47.551499
GSM2657851	-80.96684	12.482288
GSM2657860	-43.351702	-88.97578100000001
GSM2657869	-4.526007	1.358926
GSM2657888	-28.070632	5.155536
GSM2657908	49.821396	0.133437
GSM2657913	60.039102	44.660609
GSM2657925	3.899239	-42.089453000000006
GSM2657926	59.783885999999995	31.318851000000002
GSM2657930	39.241640000000004	50.679116
GSM2657933	-47.39999	-35.486896
GSM2657934	34.829483	63.720006999999995
GSM2657935	54.204625	-28.402938
GSM2657942	-53.39903399999999	52.75625
GSM2657943	37.462539	38.310601
GSM2657944	28.35689600000001	-37.128059
GSM2657946	-48.781907000000004	61.322956999999995
GSM2657950	-43.349624	85.902653
GSM2657959	71.49510500000002	-7.2468179999999975
GSM2657961	-42.835219	-88.52006999999998
GSM2657966	-8.492315	19.372009
GSM2657983	-16.152265	38.2993
GSM2657989	-4.269229	-65.671237
GSM2657996	62.13939300000001	-21.647574
GSM2658017	29.903839	-18.809344
GSM2658019	21.413262	68.889623
GSM2658027	36.553908	-16.678689000000002
GSM2658045	-52.986782	-62.564682
GSM2658048	-49.038114	-88.097675
GSM2658050	-85.13310600000001	15.907929000000001
GSM2658052	-48.475143	-24.764807
GSM2658053	-47.840656	-20.015712
GSM2658063	18.352748000000002	-22.806321
GSM2658087	37.79452	-44.340184
GSM2658095	-84.383222	15.327398
GSM2658096	-40.959575	-84.46896
GSM2658101	-57.56981	-36.731932
GSM2658104	-70.700488	-22.514351
GSM2658109	65.00269899999999	-42.079632000000004
GSM2658112	43.429583	-63.831638
GSM2658114	21.129791	26.630606
GSM2658116	34.434438	-57.784356
GSM2658119	16.567091	13.266709
GSM2658124	-8.349082000000001	-73.116742
GSM2658131	29.532553000000004	23.894947
GSM2658143	44.485647	-26.112131
GSM2658149	10.880931	-42.017431
GSM2658154	-46.013337	-24.966185
GSM2658166	-4.376026	73.055909
GSM2658188	-51.38326	-24.200464999999998
GSM2658191	22.511198	38.09882
