Cell	CellType	Plot_X	Plot_Y
601506507	Vip Gpc3 Slc18a3	35.540363825171646	-14.932419998296483
602231708	Sst Calb2 Pdlim5	-4.297900954480358	31.017923959069957
601811091	Sst Esm1	-24.54890327362326	-0.7836987401774497
601803754	Sst Calb2 Pdlim5	-1.5622260612276142	22.204434088634468
601810307	Sst Calb2 Necab1	0.5699454325385799	31.612234917889285
601808698	Sst Hpse Cbln4	-5.542816715592168	18.11284093578144
606098116	Pvalb Tpbg	5.978997121592952	-38.685392294693905
605160536	Vip Crispld2 Kcne4	16.150880508967376	1.1405868333045652
604626221	Vip Gpc3 Slc18a3	34.45263413936274	-12.51728122455706
604646725	Vip Pygm C1ql1	37.28345835789942	-11.020952123266042
606308411	Pvalb Vipr2	5.377744896128484	-31.099113793293476
606271263	Pvalb Vipr2	4.76288195983405	-28.41919735355629
611497391	Vip Rspo4 Rxfp1 Chat	31.09187534927274	-19.11427346497072
612893105	Vip Rspo4 Rxfp1 Chat	20.97753113704396	-14.52858879205318
612271508	Vip Rspo4 Rxfp1 Chat	21.94625947805811	-18.135494974983022
613432876	Vip Rspo4 Rxfp1 Chat	24.669606657957623	-7.60915770581591
614728680	Pvalb Reln Itm2a	-2.855311500548782	-39.73063111723111
873854264	Sst Chodl	-49.95285370252162	15.250770145085138
874892226	Pvalb Tpbg	14.019609946722422	-34.90515099986071
874375335	Pvalb Tpbg	5.949300822828944	-32.172334833449696
872026690	Pvalb Akr1c18 Ntf3	-11.6539927406329	-22.266085397199497
874471721	Lamp5 Lhx6	11.19569400235981	43.60424594921624
874321805	Pvalb Tpbg	9.289721824278319	-29.31884455842717
872211286	Pvalb Gabrg1	-8.242731591213111	-15.428652435150934
875116973	Pvalb Tpbg	8.546262465799021	-37.83398301250793
875020601	Pvalb Sema3e Kank4	-13.24093824799406	-27.961850788065323
874325086	Pvalb Tpbg	11.198048792587711	-34.05199389937447
873587758	Pvalb Tpbg	11.185058028453296	-37.74009043112098
871867923	Pvalb Reln Itm2a	0.6641236969898338	-35.41465966997489
873689501	Sst Crhr2 Efemp1	-18.95021501966533	4.945415316478854
872555611	Pvalb Vipr2	7.639128243620626	-32.16385227942097
874417550	Pvalb Tpbg	9.777063200587747	-38.04039833545473
873848729	Sst Chodl	-49.42821202076072	12.519191240507947
872210735	Sst Chodl	-52.570554605968795	11.142842966459963
872054508	Pvalb Reln Itm2a	-9.707941623124372	-40.053876992814615
871888742	Sst Tac1 Tacr3	11.295931875607726	-30.83951920671424
872162438	Sst Chodl	-46.76632629285079	12.242863799501391
873712332	Sst Rxfp1 Prdm8	-33.211129103603525	-12.345897257630783
