Cell	CellType	Plot_X	Plot_Y
601506507	Vip Gpc3 Slc18a3	-1.4895319	-1.3863661
602231708	Sst Calb2 Pdlim5	9.839161	0.4246434
601811091	Sst Esm1	2.6183665	-1.9510578
601803754	Sst Calb2 Pdlim5	9.242088	-1.5433075
601810307	Sst Calb2 Necab1	8.579033	-0.004548245
601808698	Sst Hpse Cbln4	7.056296	-1.9451526
606098116	Pvalb Tpbg	-0.54736423	-9.772477
605160536	Vip Crispld2 Kcne4	-6.5803537	-0.3263615
604626221	Vip Gpc3 Slc18a3	-1.5118135	-1.0864471
604646725	Vip Pygm C1ql1	-2.8015008	-0.6276886
606308411	Pvalb Vipr2	0.76135653	-10.362809
606271263	Pvalb Vipr2	1.2861702	-9.796635
611497391	Vip Rspo4 Rxfp1 Chat	-2.2056055	-3.172744
612893105	Vip Rspo4 Rxfp1 Chat	-3.1408625	-2.3338678
612271508	Vip Rspo4 Rxfp1 Chat	-2.1936984	-2.2785375
613432876	Vip Rspo4 Rxfp1 Chat	-3.0886557	-2.7380211
614728680	Pvalb Reln Itm2a	0.24199855	-12.425056
873854264	Sst Chodl	4.739848	15.03256
874892226	Pvalb Tpbg	0.0004417655	-8.365125
874375335	Pvalb Tpbg	-0.12038377	-9.964381
872026690	Pvalb Akr1c18 Ntf3	2.690232	-8.03815
874471721	Lamp5 Lhx6	-7.2847652	12.232211
874321805	Pvalb Tpbg	0.64296186	-8.962134
872211286	Pvalb Gabrg1	4.0430193	-7.9234357
875116973	Pvalb Tpbg	-0.9419366	-9.447267
875020601	Pvalb Sema3e Kank4	1.4870147	-9.949153
874325086	Pvalb Tpbg	0.1394314	-8.015733
873587758	Pvalb Tpbg	-0.4904589	-8.76859
871867923	Pvalb Reln Itm2a	0.24249715	-11.005842
873689501	Sst Crhr2 Efemp1	4.6986628	-1.9427329
872555611	Pvalb Vipr2	1.0867664	-9.120101
874417550	Pvalb Tpbg	-0.71398914	-8.994845
873848729	Sst Chodl	5.1597047	14.209952
872210735	Sst Chodl	4.524151	13.3059025
872054508	Pvalb Reln Itm2a	2.1913176	-12.037092
871888742	Sst Tac1 Tacr3	-0.01891003	-8.567235
872162438	Sst Chodl	4.499507	14.271677
873712332	Sst Rxfp1 Prdm8	6.3057256	-6.3002005
875328808	Pvalb Tpbg	-0.35309482	-9.199822
837220561	Sst Esm1	3.2487826	-2.2141593
837084094	Pvalb Reln Itm2a	0.87525225	-10.510679
838639200	Sst Crh 4930553C11Rik 	3.6921499	-1.0594206
837661901	Sst Esm1	3.7518137	-3.4400194
838434691	Sst Chodl	5.4061985	14.366322
837064282	Pvalb Reln Tac1	0.8989996	-9.312347
837560603	Pvalb Tpbg	-0.25465715	-10.5979
838401817	Sst Chodl	5.12135	15.237703
837121769	Pvalb Akr1c18 Ntf3	2.2673526	-7.834336
837095993	Pvalb Akr1c18 Ntf3	3.5606267	-9.468132
837072861	Pvalb Tpbg	-0.31227782	-7.8111873
837664866	Sst Crhr2 Efemp1	4.1208797	-1.4902354
838313088	Sst Chodl	4.742281	13.396673
838683930	Sst Tac2 Tacstd2	8.665032	-6.8267465
837141835	Pvalb Tpbg	1.458457	-10.2177925
838370571	Sst Chodl	4.927633	15.061645
838350383	Sst Chodl	5.3181124	14.505202
837115961	Pvalb Reln Itm2a	2.6639876	-11.615959
837641396	Sst Nts	3.6078718	-5.0077257
837661310	Sst Tac2 Tacstd2	7.000834	-5.294727
837212120	Pvalb Th Sst	3.5227869	-6.194221
837207669	Sst Esm1	3.5116668	-3.9935327
837578188	Pvalb Reln Itm2a	2.923326	-11.683007
837594867	Pvalb Reln Itm2a	-0.113508776	-11.242097
837212696	Sst Crhr2 Efemp1	3.9393048	-1.3682127
837672173	Sst Esm1	2.74113	-2.4917536
837127659	Pvalb Reln Itm2a	1.8236774	-12.197969
837221885	Sst Hpse Cbln4	7.5041995	1.2153606
837080471	Pvalb Reln Itm2a	0.029602796	-12.017408
839571159	Sst Esm1	3.9801755	-1.8975954
