Cell	CellType	Plot_X	Plot_Y
601506507	Vip Gpc3 Slc18a3	-53.4846	2.2622058
602231708	Sst Calb2 Pdlim5	-1.0982094	53.474514
601811091	Sst Esm1	-1.8247354	6.769817
601803754	Sst Calb2 Pdlim5	5.565308	46.025974
601810307	Sst Calb2 Necab1	4.1150446	53.732533
601808698	Sst Hpse Cbln4	4.289097	39.28911
606098116	Pvalb Tpbg	59.012184	3.8382318
605160536	Vip Crispld2 Kcne4	-28.859177	-12.781365
604626221	Vip Gpc3 Slc18a3	-56.625095	1.540036
604646725	Vip Pygm C1ql1	-53.714474	-2.1365554
606308411	Pvalb Vipr2	52.01086	5.7201395
606271263	Pvalb Vipr2	50.57849	8.252718
611497391	Vip Rspo4 Rxfp1 Chat	-49.69268	9.632949
612893105	Vip Rspo4 Rxfp1 Chat	-37.54943	6.30981
612271508	Vip Rspo4 Rxfp1 Chat	-40.0647	10.551866
613432876	Vip Rspo4 Rxfp1 Chat	-34.751183	0.10880973
614728680	Pvalb Reln Itm2a	55.793312	-5.3977375
873854264	Sst Chodl	-41.016014	41.748043
874892226	Pvalb Tpbg	60.1932	13.954958
874375335	Pvalb Tpbg	53.141693	5.8100567
872026690	Pvalb Akr1c18 Ntf3	33.738853	6.402356
874471721	Lamp5 Lhx6	11.841428	-60.14232
874321805	Pvalb Tpbg	51.807682	12.460279
872211286	Pvalb Gabrg1	26.848722	0.9112716
875116973	Pvalb Tpbg	59.971275	6.7018046
875020601	Pvalb Sema3e Kank4	39.41586	8.670003
874325086	Pvalb Tpbg	57.79819	11.496674
873587758	Pvalb Tpbg	61.54787	9.404758
871867923	Pvalb Reln Itm2a	52.089943	-1.4029619
873689501	Sst Crhr2 Efemp1	0.084585965	16.311691
872555611	Pvalb Vipr2	55.019985	10.084078
874417550	Pvalb Tpbg	60.93904	7.8220196
873848729	Sst Chodl	-38.572617	40.77822
872210735	Sst Chodl	-37.19702	44.899334
872054508	Pvalb Reln Itm2a	51.821926	-13.046795
871888742	Sst Tac1 Tacr3	54.530518	13.310218
872162438	Sst Chodl	-39.647655	41.732075
873712332	Sst Rxfp1 Prdm8	6.5072756	-14.331743
875328808	Pvalb Tpbg	59.277924	8.710909
837220561	Sst Esm1	-3.8027105	5.5440617
837084094	Pvalb Reln Itm2a	47.214924	-0.21158735
838639200	Sst Crh 4930553C11Rik 	7.2547903	19.458193
837661901	Sst Esm1	3.40457	6.868616
838434691	Sst Chodl	-36.71807	37.97436
837064282	Pvalb Reln Tac1	41.424484	12.828708
837560603	Pvalb Tpbg	58.313553	-0.74655735
838401817	Sst Chodl	-41.679913	40.863827
837121769	Pvalb Akr1c18 Ntf3	33.223186	8.302527
837095993	Pvalb Akr1c18 Ntf3	36.098522	-1.0051389
837072861	Pvalb Tpbg	59.943974	11.9493265
837664866	Sst Crhr2 Efemp1	2.038838	16.75697
838313088	Sst Chodl	-37.029194	43.845078
838683930	Sst Tac2 Tacstd2	6.164362	-25.68119
837141835	Pvalb Tpbg	50.840534	9.411527
838370571	Sst Chodl	-41.657223	40.669357
838350383	Sst Chodl	-38.5515	39.32553
837115961	Pvalb Reln Itm2a	45.4732	-5.142245
837641396	Sst Nts	8.831204	3.8076546
837661310	Sst Tac2 Tacstd2	0.62282026	-16.051395
837212120	Pvalb Th Sst	22.293806	4.6359916
837207669	Sst Esm1	4.887083	5.638633
837578188	Pvalb Reln Itm2a	44.36268	-5.269686
837594867	Pvalb Reln Itm2a	54.272316	-2.1361039
837212696	Sst Crhr2 Efemp1	3.3337154	18.847725
837672173	Sst Esm1	-0.56747866	8.787956
837127659	Pvalb Reln Itm2a	48.926804	-7.7829704
837221885	Sst Hpse Cbln4	-7.221871	40.317112
837080471	Pvalb Reln Itm2a	57.012215	-7.0999665
839571159	Sst Esm1	-1.5138485	11.538238
839537924	Sst Crhr2 Efemp1	-3.512359	20.225752
839530923	Sst Crhr2 Efemp1	3.1352665	26.256796
839218629	Sst Hpse Cbln4	-0.1050906	35.975124
839524416	Sst Hpse Cbln4	-1.7147895	40.075165
839288464	Sst Rxfp1 Prdm8	7.6137204	-13.99175
839532478	Sst Crhr2 Efemp1	0.32047847	25.171928
839118825	Sst Hpse Sema3c	-1.339223	34.75484
839527672	Sst Calb2 Pdlim5	3.9526153	48.19482
839580927	Sst Crhr2 Efemp1	-3.7284162	20.433744
838515407	Sst Tac2 Tacstd2	14.291963	-17.22757
839118679	Sst Crhr2 Efemp1	0.78993833	14.19534
838643565	Sst Tac2 Tacstd2	12.647684	-13.161519
839522809	Sst Rxfp1 Prdm8	15.216048	-10.6105585
839220920	Sst Rxfp1 Eya1	14.054709	-14.696089
839513135	Sst Mme Fam114a1	5.8423705	25.052431
839571200	Sst Rxfp1 Eya1	0.34333363	-9.702906
839101611	Sst Rxfp1 Eya1	10.0939665	-26.516552
839236393	Sst Calb2 Pdlim5	9.195189	46.314285
842721522	Sst Chodl	-36.453377	43.651794
842157658	Sst Chodl	-41.07212	37.533478
843224344	Sst Chodl	-38.311882	42.62195
843407967	Pvalb Tpbg	53.922	3.684267
841746820	Sst Calb2 Pdlim5	13.024993	47.014896
842834131	Sst Calb2 Pdlim5	1.7532525	54.923355
842766700	Sst Chodl	-40.484585	37.447556
843320265	Sst Chodl	-41.811333	37.589344
841765437	Sst Calb2 Pdlim5	9.610324	44.7769
844299535	Pvalb Reln Itm2a	57.20555	-0.22291881
843366621	Sst Chodl	-40.498077	42.68225
842796508	Sst Chodl	-40.75663	43.208347
841770570	Sst Calb2 Pdlim5	1.5325553	45.76301
843276148	Sst Calb2 Pdlim5	4.517286	55.007103
844069975	Vip Pygm C1ql1	-53.136814	-3.980787
844232846	Lamp5 Plch2 Dock5	-2.8453686	-63.817623
842841654	Sst Calb2 Necab1	4.7688203	52.581955
844269667	Lamp5 Lsp1	0.649344	-57.792835
844254029	Lamp5 Lsp1	0.7840806	-55.99954
844242654	Lamp5 Ntn1 Npy2r	-11.090254	-56.83119
