Cell	CellType	Plot_X	Plot_Y
GSM2656741	Pvalb.C1ql1.Pvalb	-5.322674	-10.15801
GSM2656743	Calb2.Vip.Nos1	2.5865743	2.602467
GSM2656749	Sst.Nos1	-4.803486	6.218366
GSM2656751	Cacna2d1.Ndnf.Npy	4.9631596	-6.218566
GSM2656770	Cacna2d1.Lhx6.Reln	2.485573	-17.753256
GSM2656788	Cacna2d1.Lhx6.Reln	1.8118994	-17.372921
GSM2656797	Calb2.Cryab	5.6931853	-1.3335809
GSM2656804	Calb2.Cryab	6.2028103	-2.0390317
GSM2656809	Cacna2d1.Lhx6.Reln	2.4909496	-17.312288
GSM2656829	Calb2.Vip.Nos1	2.8585775	2.7332928
GSM2656831	Calb2.Vip.Gpd1	2.498375	2.1439757
GSM2656835	Cacna2d1.Lhx6.Reln	2.115965	-16.89424
GSM2656836	Sst.Npy.Serpine2	-9.298454	8.549946
GSM2656837	Pvalb.C1ql1.Pvalb	-5.2587633	-9.974678
GSM2656842	Cck.Cxcl14.Calb1.Kctd12	10.880055	1.8998715
GSM2656850	Pvalb.Tac1.Sst	-8.754507	2.9483078
GSM2656852	Cacna2d1.Lhx6.Reln	1.9589243	-15.554124
GSM2656855	Pvalb.C1ql1.Cpne5	-5.028108	-9.089265
GSM2656867	Sst.Pnoc.Calb1.Pvalb	-11.363888	7.942913
GSM2656868	Ntng1.Synpr	7.8362846	1.9650527
GSM2656869	Calb2.Vip.Igfbp4	1.6827556	1.5250239
GSM2656870	Cacna2d1.Lhx6.Reln	1.7140678	-17.70944
GSM2656892	Cck.Calca	8.929158	7.3497844
GSM2656894	Calb2.Cntnap5a.Rspo3	5.2398844	-0.1772818
GSM2656896	Pvalb.Tac1.Syt2	-7.948215	1.4181614
GSM2656900	Cacna2d1.Ndnf.Cxcl14	5.495157	-3.7531452
GSM2656903	Cacna2d1.Lhx6.Reln	2.677282	-17.570665
GSM2656905	Cck.Lmo1.Npy	9.916365	5.8409977
GSM2656924	Sst.Npy.Serpine2	-7.9901886	6.918023
GSM2656926	Cck.Cxcl14.Calb1.Tac2	11.06426	1.0667361
GSM2656928	Cck.Cxcl14.Calb1.Igfbp5	10.868408	0.5876367
GSM2656931	Cacna2d1.Lhx6.Reln	2.5342424	-17.271778
GSM2656934	Cck.Cxcl14.Vip	8.386239	0.3067852
GSM2656942	Pvalb.Tac1.Syt2	-8.641576	1.3562742
GSM2656944	Pvalb.Tac1.Sst	-8.338447	3.651894
GSM2656957	Calb2.Vip.Gpd1	3.4165819	2.2150688
GSM2656965	Cacna2d1.Lhx6.Reln	1.8951744	-16.368473
GSM2656973	Sst.Pnoc.Calb1.Igfbp5	-12.203202	7.898414
GSM2656979	Cacna2d1.Ndnf.Rgs10	4.3488803	-4.6124754
GSM2656983	Pvalb.C1ql1.Npy	0.8778837	-15.5786915
GSM2656984	Cacna2d1.Lhx6.Reln	2.4387233	-17.78967
GSM2656996	Cacna2d1.Ndnf.Cxcl14	5.9447584	-1.6659243
GSM2656998	Sst.Pnoc.Calb1.Igfbp5	-11.355045	7.112658
GSM2657003	Ntng1.Chrm2	3.6958036	6.79498
GSM2657007	Cacna2d1.Lhx6.Vwa5a	2.0626554	-16.808228
GSM2657016	Cacna2d1.Lhx6.Reln	2.4877522	-17.19299
GSM2657025	Ntng1.Synpr	4.763319	0.8008762
GSM2657027	Calb2.Cntnap5a.Rspo3	3.1027803	-0.08859364
GSM2657031	Sst.Npy.Serpine2	-8.336718	8.167479
GSM2657039	Ntng1.Rgs10	5.025964	5.0908375
GSM2657040	Cck.Sema5a	6.712276	7.410284
GSM2657042	Ntng1.Synpr	8.029179	2.8350184
GSM2657045	Sst.Pnoc.Pvalb	-8.775208	6.5354767
GSM2657048	Cacna2d1.Ndnf.Npy	4.698299	-4.8761344
GSM2657051	Cacna2d1.Ndnf.Npy	5.955166	-6.4024286
GSM2657058	Cacna2d1.Ndnf.Npy	4.9954777	-6.1965804
GSM2657064	Sst.Npy.Serpine2	-7.5118294	8.46339
GSM2657072	Cck.Calca	8.294726	7.1196585
GSM2657075	Pvalb.Tac1.Sst	-7.542993	3.9840488
GSM2657077	Cacna2d1.Lhx6.Reln	-0.29319394	-17.567839
GSM2657086	Cacna2d1.Lhx6.Reln	0.4525761	-19.19768
GSM2657105	Cck.Sema5a	6.1902747	6.620873
GSM2657113	Sst.Cryab	0.08017413	-18.189667
GSM2657118	Pvalb.Tac1.Syt2	-8.751121	1.5287491
GSM2657126	Cck.Sema5a	5.9845634	5.7330832
GSM2657129	Pvalb.Tac1.Syt2	-9.057846	1.3805215
GSM2657132	Calb2.Vip.Igfbp4	2.7938163	0.8402278
GSM2657134	Sst.Npy.Serpine2	-7.8517528	8.611062
GSM2657137	Cck.Lmo1.Npy	9.21922	6.3707585
GSM2657144	Cacna2d1.Ndnf.Npy	4.427458	-4.603471
GSM2657153	Sst.Erbb4.Th	-10.323361	3.0231273
GSM2657158	Sst.Erbb4.Crh	-9.791946	3.8269563
GSM2657161	Cacna2d1.Lhx6.Reln	1.1830144	-16.46842
GSM2657167	Cacna2d1.Ndnf.Rgs10	4.267058	-5.522789
GSM2657173	Sst.Npy.Serpine2	-9.273666	8.492856
GSM2657176	Calb2.Vip.Igfbp4	4.721596	-0.36621836
GSM2657182	Pvalb.Tac1.Sst	-7.9325657	4.6765914
GSM2657185	Pvalb.Tac1.Syt2	-7.5664253	1.6506702
GSM2657191	Pvalb.Tac1.Akr1c18	-6.7583528	3.1652148
GSM2657196	Cacna2d1.Lhx6.Reln	0.8380744	-18.935577
GSM2657197	Cacna2d1.Lhx6.Reln	1.5036551	-15.576634
GSM2657198	Pvalb.C1ql1.Pvalb	-5.338412	-9.44053
GSM2657199	Cacna2d1.Lhx6.Vwa5a	1.8752043	-17.665154
GSM2657200	Pvalb.Tac1.Sst	-6.7270813	5.068461
GSM2657214	Cck.Lypd1	8.179461	2.8051987
GSM2657235	Pvalb.Tac1.Nr4a2	-9.197704	2.3962343
GSM2657237	Cacna2d1.Lhx6.Vwa5a	1.9437745	-18.300444
GSM2657240	Cck.Sema5a	6.8609667	6.359541
GSM2657241	Cacna2d1.Lhx6.Reln	1.0299788	-18.831524
GSM2657247	Sst.Erbb4.Th	-10.457381	2.837065
GSM2657254	Cck.Lmo1.Vip.Crh	7.192303	3.574488
GSM2657262	Calb2.Vip.Igfbp4	3.0523567	0.97895694
GSM2657264	Pvalb.Tac1.Syt2	-8.356251	2.1537395
GSM2657269	Cacna2d1.Lhx6.Reln	0.856986	-15.7998495
GSM2657270	Sst.Npy.Zbtb20	-7.355289	6.161262
GSM2657280	Cck.Lmo1.Vip.Crh	7.564194	4.8124
GSM2657287	Sst.Npy.Cort	-8.967838	8.522602
GSM2657291	Calb2.Vip.Igfbp4	3.2529318	0.11792281
GSM2657295	Cck.Lmo1.Vip.Tac2	9.593589	4.673506
GSM2657299	Cck.Lmo1.Npy	8.133411	6.2356834
GSM2657300	Cck.Lmo1.Npy	7.4117694	5.83217
GSM2657305	Sst.Npy.Cort	-8.343678	5.5126724
GSM2657306	Sst.Erbb4.Th	-9.426964	3.338434
GSM2657310	Sst.Npy.Serpine2	-7.7124896	7.1237817
GSM2657325	Sst.Npy.Serpine2	-7.6588492	7.837604
GSM2657342	Sst.Npy.Mgat4c	-9.296446	9.181064
GSM2657345	Pvalb.Tac1.Syt2	-7.951319	1.5802703
GSM2657358	Vip.Crh.Pcp4	3.4863067	5.1548576
GSM2657362	Cck.Sema5a	7.7950354	6.799567
GSM2657376	Ntng1.Synpr	5.2228613	1.2519249
GSM2657385	Sst.Erbb4.Th	-9.282668	3.1125116
GSM2657396	Pvalb.Tac1.Syt2	-8.273138	2.0538983
GSM2657399	Calb2.Cryab	5.1527057	-0.69780904
GSM2657400	Cacna2d1.Ndnf.Cxcl14	5.2859254	-1.8737813
GSM2657404	Cck.Lmo1.Npy	9.987182	5.8975267
GSM2657410	Cacna2d1.Lhx6.Reln	2.1533015	-17.528063
GSM2657423	Cck.Lmo1.Vip.Crh	7.8841534	4.678629
GSM2657434	Calb2.Cryab	4.8882666	-1.0722897
GSM2657436	Cacna2d1.Lhx6.Reln	-0.104376696	-16.922989
GSM2657444	Pvalb.C1ql1.Cpne5	-4.235982	-9.138099
