Cell	CellType	Plot_X	Plot_Y
GSM2656741	Pvalb.C1ql1.Pvalb	3.4678621	-0.19819
GSM2656743	Calb2.Vip.Nos1	-10.881108	2.3925416
GSM2656749	Sst.Nos1	8.100239	-6.8887725
GSM2656751	Cacna2d1.Ndnf.Npy	-3.3881953	6.3656816
GSM2656770	Cacna2d1.Lhx6.Reln	-3.51522	14.036578
GSM2656788	Cacna2d1.Lhx6.Reln	-3.857879	13.824298
GSM2656797	Calb2.Cryab	-5.629156	1.8512266
GSM2656804	Calb2.Cryab	-4.653466	2.1409192
GSM2656809	Cacna2d1.Lhx6.Reln	-3.2369998	13.7640295
GSM2656829	Calb2.Vip.Nos1	-10.947565	1.2976145
GSM2656831	Calb2.Vip.Gpd1	-11.014531	2.258604
GSM2656835	Cacna2d1.Lhx6.Reln	-3.332526	13.173439
GSM2656836	Sst.Npy.Serpine2	4.2610707	-9.477098
GSM2656837	Pvalb.C1ql1.Pvalb	3.557485	-0.17219543
GSM2656842	Cck.Cxcl14.Calb1.Kctd12	-5.661914	-5.5801287
GSM2656850	Pvalb.Tac1.Sst	2.4784362	-4.237414
GSM2656852	Cacna2d1.Lhx6.Reln	-2.2883391	12.228142
GSM2656855	Pvalb.C1ql1.Cpne5	4.3109736	-0.24537048
GSM2656867	Sst.Pnoc.Calb1.Pvalb	1.693717	-9.058203
GSM2656868	Ntng1.Synpr	-4.8032565	-2.7738216
GSM2656869	Calb2.Vip.Igfbp4	-10.234	3.1745286
GSM2656870	Cacna2d1.Lhx6.Reln	-3.7974353	13.314787
GSM2656892	Cck.Calca	-8.572475	-4.11393
GSM2656894	Calb2.Cntnap5a.Rspo3	-6.4158254	1.3760116
GSM2656896	Pvalb.Tac1.Syt2	3.1247325	-2.8762164
GSM2656900	Cacna2d1.Ndnf.Cxcl14	-3.9972672	4.3463664
GSM2656903	Cacna2d1.Lhx6.Reln	-3.3077736	14.04907
GSM2656905	Cck.Lmo1.Npy	-9.919171	-4.79502
GSM2656924	Sst.Npy.Serpine2	4.5748377	-8.172376
GSM2656926	Cck.Cxcl14.Calb1.Tac2	-6.6871123	-5.031
GSM2656928	Cck.Cxcl14.Calb1.Igfbp5	-6.296485	-4.4456406
GSM2656931	Cacna2d1.Lhx6.Reln	-3.1111617	13.557271
GSM2656934	Cck.Cxcl14.Vip	-6.993614	-2.0295079
GSM2656942	Pvalb.Tac1.Syt2	2.033093	-2.5079746
GSM2656944	Pvalb.Tac1.Sst	3.1541803	-4.9274297
GSM2656957	Calb2.Vip.Gpd1	-10.21612	1.7136362
GSM2656965	Cacna2d1.Lhx6.Reln	-2.616937	13.166712
GSM2656973	Sst.Pnoc.Calb1.Igfbp5	1.0334953	-9.166801
GSM2656979	Cacna2d1.Ndnf.Rgs10	-2.9297986	4.491425
GSM2656983	Pvalb.C1ql1.Npy	-3.0046024	11.173217
GSM2656984	Cacna2d1.Lhx6.Reln	-3.432068	13.821393
GSM2656996	Cacna2d1.Ndnf.Cxcl14	-5.348543	2.1589134
GSM2656998	Sst.Pnoc.Calb1.Igfbp5	1.4913504	-8.89199
GSM2657003	Ntng1.Chrm2	-2.5438478	-0.6834914
GSM2657007	Cacna2d1.Lhx6.Vwa5a	-3.1420038	13.058653
GSM2657016	Cacna2d1.Lhx6.Reln	-2.803549	13.622767
GSM2657025	Ntng1.Synpr	-6.863397	0.67246777
GSM2657027	Calb2.Cntnap5a.Rspo3	-8.293789	2.7416465
GSM2657031	Sst.Npy.Serpine2	4.8004575	-9.129707
GSM2657039	Ntng1.Rgs10	-4.411217	-0.6917999
GSM2657040	Cck.Sema5a	-7.3489113	-2.9893136
GSM2657042	Ntng1.Synpr	-4.744644	-3.158878
GSM2657045	Sst.Pnoc.Pvalb	3.8603919	-7.4522204
GSM2657048	Cacna2d1.Ndnf.Npy	-3.0031283	4.973786
GSM2657051	Cacna2d1.Ndnf.Npy	-4.0087047	6.8471403
GSM2657058	Cacna2d1.Ndnf.Npy	-3.0886102	6.2211885
GSM2657064	Sst.Npy.Serpine2	5.2957654	-8.700652
GSM2657072	Cck.Calca	-8.790398	-3.302656
GSM2657075	Pvalb.Tac1.Sst	3.9452703	-4.811711
GSM2657077	Cacna2d1.Lhx6.Reln	-5.583118	12.315728
GSM2657086	Cacna2d1.Lhx6.Reln	-5.928398	13.434204
GSM2657105	Cck.Sema5a	-7.0005374	-2.1521707
GSM2657113	Sst.Cryab	-5.507152	12.699975
GSM2657118	Pvalb.Tac1.Syt2	2.1218123	-2.9188578
GSM2657126	Cck.Sema5a	-5.989813	-1.2660596
GSM2657129	Pvalb.Tac1.Syt2	1.6351105	-2.7284896
GSM2657132	Calb2.Vip.Igfbp4	-9.267529	2.6595197
GSM2657134	Sst.Npy.Serpine2	5.2124825	-9.152158
GSM2657137	Cck.Lmo1.Npy	-9.462332	-4.383029
GSM2657144	Cacna2d1.Ndnf.Npy	-3.5868554	4.6305747
GSM2657153	Sst.Erbb4.Th	1.1646641	-4.7677717
GSM2657158	Sst.Erbb4.Crh	1.8080724	-5.3415933
GSM2657161	Cacna2d1.Lhx6.Reln	-3.519172	12.612429
GSM2657167	Cacna2d1.Ndnf.Rgs10	-2.5965908	5.211213
GSM2657173	Sst.Npy.Serpine2	4.081609	-9.989285
GSM2657176	Calb2.Vip.Igfbp4	-7.2564883	1.4256859
GSM2657182	Pvalb.Tac1.Sst	4.142698	-5.702868
GSM2657185	Pvalb.Tac1.Syt2	3.2006683	-2.4528308
GSM2657191	Pvalb.Tac1.Akr1c18	4.418039	-3.7662356
GSM2657196	Cacna2d1.Lhx6.Reln	-5.420599	13.513563
GSM2657197	Cacna2d1.Lhx6.Reln	-2.4536767	12.222833
GSM2657198	Pvalb.C1ql1.Pvalb	4.1090603	-0.42742872
GSM2657199	Cacna2d1.Lhx6.Vwa5a	-3.6580005	13.73445
GSM2657200	Pvalb.Tac1.Sst	2.9399786	-5.8153644
GSM2657214	Cck.Lypd1	-4.1024103	-2.1006515
GSM2657235	Pvalb.Tac1.Nr4a2	1.8272731	-3.7267575
GSM2657237	Cacna2d1.Lhx6.Vwa5a	-4.372149	13.922558
GSM2657240	Cck.Sema5a	-7.733904	-2.4593573
GSM2657241	Cacna2d1.Lhx6.Reln	-5.2481594	13.830799
GSM2657247	Sst.Erbb4.Th	0.84834987	-4.5649385
GSM2657254	Cck.Lmo1.Vip.Crh	-10.768904	-1.5154582
GSM2657262	Calb2.Vip.Igfbp4	-9.121281	2.2715738
GSM2657264	Pvalb.Tac1.Syt2	2.5240386	-3.3726892
GSM2657269	Cacna2d1.Lhx6.Reln	-3.2512224	11.963964
GSM2657270	Sst.Npy.Zbtb20	3.959005	-6.499211
GSM2657280	Cck.Lmo1.Vip.Crh	-10.427582	-2.2752235
GSM2657287	Sst.Npy.Cort	4.080099	-9.563476
GSM2657291	Calb2.Vip.Igfbp4	-8.233914	2.9793742
GSM2657295	Cck.Lmo1.Vip.Tac2	-11.1842	-4.3305554
GSM2657299	Cck.Lmo1.Npy	-8.93817	-3.5194664
GSM2657300	Cck.Lmo1.Npy	-8.643251	-2.5468364
GSM2657305	Sst.Npy.Cort	3.8539298	-6.6101975
GSM2657306	Sst.Erbb4.Th	2.1840813	-4.5817723
GSM2657310	Sst.Npy.Serpine2	5.205024	-7.8115473
GSM2657325	Sst.Npy.Serpine2	5.519331	-8.032695
GSM2657342	Sst.Npy.Mgat4c	4.114715	-10.018349
GSM2657345	Pvalb.Tac1.Syt2	2.8684194	-2.428823
GSM2657358	Vip.Crh.Pcp4	-3.5963397	0.19242494
GSM2657362	Cck.Sema5a	-8.530298	-3.1167765
GSM2657376	Ntng1.Synpr	-6.696206	0.48277557
GSM2657385	Sst.Erbb4.Th	2.2200284	-4.5147567
GSM2657396	Pvalb.Tac1.Syt2	2.9400394	-3.1960795
GSM2657399	Calb2.Cryab	-5.9082446	1.3697598
GSM2657400	Cacna2d1.Ndnf.Cxcl14	-4.9831567	1.9938817
GSM2657404	Cck.Lmo1.Npy	-9.698495	-5.065263
GSM2657410	Cacna2d1.Lhx6.Reln	-3.4360485	13.75806
GSM2657423	Cck.Lmo1.Vip.Crh	-10.535938	-2.5427072
GSM2657434	Calb2.Cryab	-6.7114415	2.2723343
GSM2657436	Cacna2d1.Lhx6.Reln	-4.678984	11.864001
GSM2657444	Pvalb.C1ql1.Cpne5	4.248003	0.24596493
GSM2657461	Cck.Cxcl14.Calb1.Tac2	-8.621509	-6.1105237
GSM2657479	Ntng1.Chrm2	-2.5141509	-0.73464966
GSM2657485	Sst.Npy.Cort	5.46647	-6.6188164
GSM2657488	Ntng1.Chrm2	-1.9616929	-0.58158565
GSM2657490	Sst.Npy.Serpine2	4.4996223	-7.2610965
GSM2657494	Pvalb.Tac1.Akr1c18	2.536281	-2.6696124
GSM2657517	Cacna2d1.Lhx6.Reln	-4.568154	13.317495
GSM2657523	Pvalb.C1ql1.Npy	2.6162477	1.5288732
GSM2657532	Cacna2d1.Lhx6.Vwa5a	-5.655773	13.729817
GSM2657536	Calb2.Cntnap5a.Vip	-6.748056	1.1952105
GSM2657548	Sst.Npy.Zbtb20	5.2267165	-6.1814404
GSM2657567	Pvalb.C1ql1.Cpne5	3.3044555	1.1057463
GSM2657570	Sst.Pnoc.Pvalb	1.6312572	-6.8901286
GSM2657579	Calb2.Cryab	-4.3799825	0.5835324
GSM2657582	Calb2.Vip.Igfbp4	-7.6677456	2.640384
GSM2657586	Pvalb.Tac1.Sst	0.3393333	-4.323758
GSM2657588	Calb2.Vip.Gpd1	-11.138601	1.5847733
GSM2657589	Cacna2d1.Lhx6.Vwa5a	-5.217085	13.512443
GSM2657590	Pvalb.Tac1.Sst	2.3826842	-4.3308578
GSM2657611	Pvalb.C1ql1.Pvalb	3.1759937	-0.12534632
GSM2657616	Pvalb.Tac1.Nr4a2	1.4306525	-3.516541
GSM2657618	Cck.Lmo1.Vip.Crh	-10.88748	-1.7955904
GSM2657627	Pvalb.Tac1.Syt2	3.3952026	-2.3202896
GSM2657634	Vip.Crh.Pcp4	-9.292329	1.8608409
GSM2657635	Sst.Npy.Serpine2	4.6300483	-8.242793
GSM2657640	Cacna2d1.Lhx6.Reln	-2.7852292	12.986634
GSM2657641	Sst.Pnoc.Pvalb	2.5681036	-6.5990586
GSM2657648	Pvalb.Tac1.Akr1c18	4.499724	-2.971283
GSM2657663	Sst.Erbb4.Rgs10	4.65499	-6.6161604
GSM2657665	Sst.Erbb4.Crh	1.9879432	-4.6680927
GSM2657668	Cck.Sema5a	-6.6356606	-1.9799626
GSM2657671	Sst.Npy.Serpine2	4.764556	-9.447649
GSM2657673	Pvalb.C1ql1.Pvalb	3.9093623	1.6753186
GSM2657675	Calb2.Cryab	-6.086775	2.037294
GSM2657684	Calb2.Cntnap5a.Rspo3	-8.079265	2.6284544
GSM2657701	Sst.Pnoc.Calb1.Igfbp5	1.2926011	-6.9113946
GSM2657729	Pvalb.C1ql1.Cpne5	4.204959	0.68275213
GSM2657731	Calb2.Cntnap5a.Vip	-8.416091	1.9782668
GSM2657733	Calb2.Cntnap5a.Igfbp6	-6.3636575	0.93638927
GSM2657754	Pvalb.Tac1.Sst	2.0940516	-3.9288902
GSM2657769	Cacna2d1.Lhx6.Vwa5a	-5.001217	13.92189
GSM2657780	Vip.Crh.Pcp4	-7.716305	-0.4817802
GSM2657781	Ntng1.Chrm2	-2.7853756	-0.8069523
GSM2657782	Vip.Crh.Pcp4	-8.082472	0.19521326
GSM2657783	Sst.Pnoc.Calb1.Igfbp5	0.82189786	-7.1600747
GSM2657796	Pvalb.Tac1.Sst	2.9985673	-4.795371
GSM2657799	Calb2.Cntnap5a.Vip	-7.7353144	1.4947897
GSM2657810	Cck.Cxcl14.Calb1.Tnfaip8l3	-6.1512704	-3.1449225
GSM2657811	Pvalb.Tac1.Sst	2.985275	-3.6079495
GSM2657815	Pvalb.Tac1.Syt2	3.0984218	-3.292093
GSM2657820	Sst.Npy.Serpine2	5.034549	-8.4671755
GSM2657826	Pvalb.Tac1.Akr1c18	3.1782014	-2.7585819
GSM2657829	Cck.Calca	-8.699177	-4.2812924
GSM2657830	Sst.Npy.Cort	5.0358286	-5.539983
GSM2657835	Sst.Pnoc.Pvalb	2.8263097	-8.341623
GSM2657845	Cck.Calca	-7.8847046	-3.6559236
GSM2657851	Ntng1.Chrm2	-2.648821	-0.62266165
GSM2657860	Pvalb.C1ql1.Pvalb	2.9471235	0.4398852
GSM2657869	Cacna2d1.Ndnf.Cxcl14	-5.317003	1.6969545
GSM2657888	Cacna2d1.Ndnf.Rgs10	-2.8786726	5.719291
GSM2657908	Sst.Npy.Zbtb20	6.06035	-7.2965107
GSM2657913	Calb2.Vip.Gpd1	-9.747246	1.0261291
GSM2657925	Sst.Erbb4.Th	1.4038439	-4.6351366
GSM2657926	Calb2.Vip.Nos1	-10.610923	2.5552428
GSM2657930	Vip.Crh.Pcp4	-9.1253605	0.9113075
GSM2657933	Cacna2d1.Lhx6.Reln	-2.46943	12.056929
GSM2657934	Vip.Crh.Pcp4	-8.002716	-0.08150218
GSM2657935	Sst.Npy.Serpine2	2.818414	-8.414151
GSM2657942	Cck.Lmo1.Vip.Fam19a2	-9.59157	-3.0736806
GSM2657943	Calb2.Vip.Igfbp4	-8.718496	1.9467798
GSM2657944	Sst.Pnoc.Pvalb	1.7853813	-6.6079
GSM2657946	Cck.Lmo1.Vip.Fam19a2	-10.544617	-3.534231
GSM2657950	Cck.Cxcl14.Slc17a8	-9.529763	-6.1258116
GSM2657959	Sst.Npy.Serpine2	5.2626934	-7.887736
GSM2657961	Pvalb.C1ql1.Cpne5	2.9991033	0.47385895
GSM2657966	Cacna2d1.Ndnf.Cxcl14	-4.557416	2.7183042
GSM2657983	Cck.Lypd1	-4.286131	-2.712943
GSM2657989	Pvalb.Tac1.Syt2	3.0536962	-2.1565998
GSM2657996	Sst.Npy.Cort	4.1027484	-7.3893256
GSM2658017	Sst.Npy.Serpine2	4.7252173	-8.632097
GSM2658019	Cck.Cxcl14.Vip	-7.8665147	-2.1071103
GSM2658027	Sst.Npy.Zbtb20	3.2174177	-7.4123244
GSM2658045	Pvalb.C1ql1.Npy	-3.3341243	11.315496
GSM2658048	Pvalb.C1ql1.Pvalb	3.7134442	-0.26498014
GSM2658050	Ntng1.Chrm2	-2.1467519	-0.45784634
GSM2658052	Cacna2d1.Lhx6.Reln	-5.705483	13.246234
GSM2658053	Cacna2d1.Lhx6.Reln	-3.984187	11.36872
GSM2658063	Sst.Npy.Zbtb20	3.4418302	-6.6742067
GSM2658087	Sst.Pnoc.Calb1.Igfbp5	0.98062885	-7.6397023
GSM2658095	Ntng1.Chrm2	-2.541676	-0.42963058
GSM2658096	Pvalb.C1ql1.Pvalb	3.8044658	0.021816527
GSM2658101	Cacna2d1.Lhx6.Reln	-4.500557	12.66719
GSM2658104	Cacna2d1.Lhx6.Vwa5a	-4.5488696	13.363035
GSM2658109	Sst.Pnoc.Calb1.Pvalb	3.5605547	-9.391594
GSM2658112	Sst.Pnoc.Calb1.Igfbp5	0.81907815	-8.332837
GSM2658114	Vip.Crh.C1ql1	-7.130317	1.6025958
GSM2658116	Sst.Pnoc.Calb1.Igfbp5	0.99441266	-7.659964
GSM2658119	Calb2.Vip.Gpd1	-8.478437	0.9410479
GSM2658124	Pvalb.Tac1.Syt2	3.7840445	-2.5455825
GSM2658131	Calb2.Cntnap5a.Vip	-7.832837	2.2831073
GSM2658143	Sst.Pnoc.Pvalb	3.0398593	-7.158324
GSM2658149	Sst.Erbb4.Crh	1.7884715	-4.7838326
GSM2658154	Cacna2d1.Lhx6.Reln	-2.8921032	11.90222
GSM2658166	Cck.Cxcl14.Calb1.Tnfaip8l3	-5.73398	-4.2985406
GSM2658188	Cacna2d1.Lhx6.Vwa5a	-5.2825556	13.05359
GSM2658191	Calb2.Vip.Igfbp4	-8.160857	2.9842963
