Cell	CellType	Plot_X	Plot_Y
GSM2656741	Pvalb.C1ql1.Pvalb	-59.61642	-9.635726
GSM2656743	Calb2.Vip.Nos1	-2.6195083	49.56076
GSM2656749	Sst.Nos1	-4.64769	-68.83507
GSM2656751	Cacna2d1.Ndnf.Npy	-18.843498	19.954206
GSM2656770	Cacna2d1.Lhx6.Reln	-43.908466	24.986628
GSM2656788	Cacna2d1.Lhx6.Reln	-43.63317	22.575102
GSM2656797	Calb2.Cryab	2.85229	20.725382
GSM2656804	Calb2.Cryab	-1.6568211	20.756214
GSM2656809	Cacna2d1.Lhx6.Reln	-44.379486	24.234367
GSM2656829	Calb2.Vip.Nos1	4.962837	51.16263
GSM2656831	Calb2.Vip.Gpd1	-1.2037022	54.13768
GSM2656835	Cacna2d1.Lhx6.Reln	-47.192726	24.731766
GSM2656836	Sst.Npy.Serpine2	-16.116344	-42.698185
GSM2656837	Pvalb.C1ql1.Pvalb	-62.3289	-8.060097
GSM2656842	Cck.Cxcl14.Calb1.Kctd12	53.75802	23.702368
GSM2656850	Pvalb.Tac1.Sst	14.073227	-40.909256
GSM2656852	Cacna2d1.Lhx6.Reln	-50.54435	18.832922
GSM2656855	Pvalb.C1ql1.Cpne5	-64.248474	-11.03495
GSM2656867	Sst.Pnoc.Calb1.Pvalb	-22.024313	-31.754272
GSM2656868	Ntng1.Synpr	31.57347	23.965752
GSM2656869	Calb2.Vip.Igfbp4	-2.0251713	48.299236
GSM2656870	Cacna2d1.Lhx6.Reln	-36.381462	25.947182
GSM2656892	Cck.Calca	37.883392	-11.708584
GSM2656894	Calb2.Cntnap5a.Rspo3	8.641237	23.447023
GSM2656896	Pvalb.Tac1.Syt2	23.665264	-41.33822
GSM2656900	Cacna2d1.Ndnf.Cxcl14	-11.3829	14.532638
GSM2656903	Cacna2d1.Lhx6.Reln	-43.9774	23.630583
GSM2656905	Cck.Lmo1.Npy	45.09053	-6.0859685
GSM2656924	Sst.Npy.Serpine2	-17.351534	-51.081917
GSM2656926	Cck.Cxcl14.Calb1.Tac2	50.104404	29.432257
GSM2656928	Cck.Cxcl14.Calb1.Igfbp5	47.45324	30.113432
GSM2656931	Cacna2d1.Lhx6.Reln	-45.127735	21.279993
GSM2656934	Cck.Cxcl14.Vip	32.40542	38.176224
GSM2656942	Pvalb.Tac1.Syt2	26.658731	-36.953358
GSM2656944	Pvalb.Tac1.Sst	13.904284	-44.62922
GSM2656957	Calb2.Vip.Gpd1	5.6865907	49.602806
GSM2656965	Cacna2d1.Lhx6.Reln	-52.932854	23.637695
GSM2656973	Sst.Pnoc.Calb1.Igfbp5	-31.834587	-24.639866
GSM2656979	Cacna2d1.Ndnf.Rgs10	-11.046244	16.190237
GSM2656983	Pvalb.C1ql1.Npy	-54.875698	22.107405
GSM2656984	Cacna2d1.Lhx6.Reln	-42.54203	25.971119
GSM2656996	Cacna2d1.Ndnf.Cxcl14	-0.15402935	21.664263
GSM2656998	Sst.Pnoc.Calb1.Igfbp5	-18.510586	-25.875362
GSM2657003	Ntng1.Chrm2	6.0328684	-2.7597616
GSM2657007	Cacna2d1.Lhx6.Vwa5a	-45.847866	22.469084
GSM2657016	Cacna2d1.Lhx6.Reln	-46.280704	24.116674
GSM2657025	Ntng1.Synpr	15.349767	27.529997
