Cell	CellType	Plot_X	Plot_Y
GSM2656741	Pvalb.C1ql1.Pvalb	-42.097374	27.33089
GSM2656743	Calb2.Vip.Nos1	6.1044602	-4.819714
GSM2656749	Sst.Nos1	-62.019352	-0.76730675
GSM2656751	Cacna2d1.Ndnf.Npy	22.217646	47.0894
GSM2656770	Cacna2d1.Lhx6.Reln	-14.770212	58.990284
GSM2656788	Cacna2d1.Lhx6.Reln	-17.869183	60.90993
GSM2656797	Calb2.Cryab	15.76462	27.099264
GSM2656804	Calb2.Cryab	20.550661	28.04416
GSM2656809	Cacna2d1.Lhx6.Reln	-15.487004	57.974022
GSM2656829	Calb2.Vip.Nos1	13.25305	-6.0892982
GSM2656831	Calb2.Vip.Gpd1	9.641709	-9.024934
GSM2656835	Cacna2d1.Lhx6.Reln	-14.388961	56.521988
GSM2656836	Sst.Npy.Serpine2	-39.44548	-24.346317
GSM2656837	Pvalb.C1ql1.Pvalb	-44.256393	28.001589
GSM2656842	Cck.Cxcl14.Calb1.Kctd12	53.699608	-0.7903774
GSM2656850	Pvalb.Tac1.Sst	-24.076912	1.2081567
GSM2656852	Cacna2d1.Lhx6.Reln	-17.349863	51.10426
GSM2656855	Pvalb.C1ql1.Cpne5	-47.205845	28.970423
GSM2656867	Sst.Pnoc.Calb1.Pvalb	-29.121344	-32.280876
GSM2656868	Ntng1.Synpr	41.40004	0.25122347
GSM2656869	Calb2.Vip.Igfbp4	5.739851	-5.2526217
GSM2656870	Cacna2d1.Lhx6.Reln	-16.661314	55.605972
GSM2656892	Cck.Calca	40.218132	-35.57769
GSM2656894	Calb2.Cntnap5a.Rspo3	7.646872	19.884449
GSM2656896	Pvalb.Tac1.Syt2	-23.886227	11.1630945
GSM2656900	Cacna2d1.Ndnf.Cxcl14	18.920694	38.263515
GSM2656903	Cacna2d1.Lhx6.Reln	-16.148872	58.83135
GSM2656905	Cck.Lmo1.Npy	43.88419	-26.469755
GSM2656924	Sst.Npy.Serpine2	-41.135254	-13.199765
GSM2656926	Cck.Cxcl14.Calb1.Tac2	58.379375	4.526911
GSM2656928	Cck.Cxcl14.Calb1.Igfbp5	56.3623	5.787648
GSM2656931	Cacna2d1.Lhx6.Reln	-18.423296	59.461372
GSM2656934	Cck.Cxcl14.Vip	39.83431	14.739948
GSM2656942	Pvalb.Tac1.Syt2	-19.053238	14.18575
GSM2656944	Pvalb.Tac1.Sst	-27.845928	1.7321856
GSM2656957	Calb2.Vip.Gpd1	17.351303	-4.0279903
GSM2656965	Cacna2d1.Lhx6.Reln	-19.822817	55.367958
GSM2656973	Sst.Pnoc.Calb1.Igfbp5	-24.655416	-45.688072
GSM2656979	Cacna2d1.Ndnf.Rgs10	21.049328	38.32179
GSM2656983	Pvalb.C1ql1.Npy	-23.142101	49.802307
GSM2656984	Cacna2d1.Lhx6.Reln	-12.588323	59.862305
GSM2656996	Cacna2d1.Ndnf.Cxcl14	19.254835	26.545649
GSM2656998	Sst.Pnoc.Calb1.Igfbp5	-25.678242	-32.811295
GSM2657003	Ntng1.Chrm2	11.114569	-56.618557
GSM2657007	Cacna2d1.Lhx6.Vwa5a	-16.872559	61.079475
GSM2657016	Cacna2d1.Lhx6.Reln	-16.028725	57.478264
GSM2657025	Ntng1.Synpr	22.277292	12.450027
GSM2657027	Calb2.Cntnap5a.Rspo3	14.78724	7.8876076
GSM2657031	Sst.Npy.Serpine2	-38.87422	-23.241518
GSM2657039	Ntng1.Rgs10	17.639843	-44.501762
GSM2657040	Cck.Sema5a	31.436678	-40.22622
GSM2657042	Ntng1.Synpr	45.302402	-2.2705505
GSM2657045	Sst.Pnoc.Pvalb	-32.30266	-16.46211
GSM2657048	Cacna2d1.Ndnf.Npy	22.415953	41.733154
GSM2657051	Cacna2d1.Ndnf.Npy	20.584986	49.430115
GSM2657058	Cacna2d1.Ndnf.Npy	21.967499	46.63437
GSM2657064	Sst.Npy.Serpine2	-44.683437	-18.054136
GSM2657072	Cck.Calca	34.30639	-35.82111
GSM2657075	Pvalb.Tac1.Sst	-32.16199	3.8257518
GSM2657077	Cacna2d1.Lhx6.Reln	1.3768005	58.35018
GSM2657086	Cacna2d1.Lhx6.Reln	-2.817303	63.801285
GSM2657105	Cck.Sema5a	29.370714	-39.70005
GSM2657113	Sst.Cryab	2.0871153	59.439423
GSM2657118	Pvalb.Tac1.Syt2	-22.221104	9.53581
GSM2657126	Cck.Sema5a	25.939291	-44.26088
GSM2657129	Pvalb.Tac1.Syt2	-19.004286	14.220043
GSM2657132	Calb2.Vip.Igfbp4	11.558828	4.189496
GSM2657134	Sst.Npy.Serpine2	-40.354816	-22.956385
GSM2657137	Cck.Lmo1.Npy	40.18237	-32.8769
GSM2657144	Cacna2d1.Ndnf.Npy	21.091242	38.243954
GSM2657153	Sst.Erbb4.Th	-17.247263	-1.8267959
GSM2657158	Sst.Erbb4.Crh	-23.306213	-2.863025
GSM2657161	Cacna2d1.Lhx6.Reln	-15.599334	49.88884
GSM2657167	Cacna2d1.Ndnf.Rgs10	17.713558	42.427666
GSM2657173	Sst.Npy.Serpine2	-39.431255	-24.722338
GSM2657176	Calb2.Vip.Igfbp4	9.109166	15.256967
GSM2657182	Pvalb.Tac1.Sst	-33.739475	0.5751731
GSM2657185	Pvalb.Tac1.Syt2	-24.845537	12.057738
GSM2657191	Pvalb.Tac1.Akr1c18	-32.47594	12.630171
GSM2657196	Cacna2d1.Lhx6.Reln	-4.943546	63.323776
GSM2657197	Cacna2d1.Lhx6.Reln	-14.493541	49.164124
GSM2657198	Pvalb.C1ql1.Pvalb	-46.607487	29.223074
GSM2657199	Cacna2d1.Lhx6.Vwa5a	-12.952899	58.516582
GSM2657200	Pvalb.Tac1.Sst	12.1221895	-46.056057
GSM2657214	Cck.Lypd1	38.940933	-4.8738728
GSM2657235	Pvalb.Tac1.Nr4a2	-15.142481	8.169962
GSM2657237	Cacna2d1.Lhx6.Vwa5a	-9.873972	61.324196
GSM2657240	Cck.Sema5a	31.624687	-35.3983
GSM2657241	Cacna2d1.Lhx6.Reln	-5.261838	62.183105
GSM2657247	Sst.Erbb4.Th	-16.554316	1.1923372
GSM2657254	Cck.Lmo1.Vip.Crh	30.91084	-17.459114
GSM2657262	Calb2.Vip.Igfbp4	13.825246	4.7029147
GSM2657264	Pvalb.Tac1.Syt2	-21.750183	8.5367775
GSM2657269	Cacna2d1.Lhx6.Reln	-14.26757	49.172623
GSM2657270	Sst.Npy.Zbtb20	-48.131214	-12.784052
GSM2657280	Cck.Lmo1.Vip.Crh	31.683268	-22.050528
GSM2657287	Sst.Npy.Cort	-42.074883	-29.541807
GSM2657291	Calb2.Vip.Igfbp4	11.052154	10.298646
GSM2657295	Cck.Lmo1.Vip.Tac2	42.052456	-20.456573
