Cell	PCA_X	PCA_Y	t-SNE_X	t-SNE_Y	FIt-SNE_X	FIt-SNE_Y	UMAP_X	UMAP_Y	nbt-SNE_X	nbt-SNE_Y
O24	3.5563339506731833	-20.190676769974612	-52.298465728759766	67.09921264648438	7.142262469838682	-6.435447155650886	-1.5960988998413086	-1.2925262451171875	2.3538759999999996	-214.0214
O31	8.354672453942555	-5.76360225076412	-78.8681869506836	-21.928863525390625	4.906621885100072	-2.1143804463447324	-2.0661420822143555	0.16806495189666748	114.1642	-60.21845
O32	-22.51133353828882	9.6986807999851	44.96856689453125	-3.232206106185913	3.891529400106187	6.6345321061446665	-1.676882028579712	2.9236795902252197	-45.84122	-156.9425
O36	-15.45560942138415	10.27928578209136	75.59344482421875	-74.88016510009766	-5.883317932717411	10.726455883750969	-3.3154356479644775	3.3876640796661377	-14.398439999999999	133.3282
O39	12.474664064453457	-10.709265634321506	-94.4499740600586	4.546950817108154	-0.5947375987069189	-8.599502205971447	-2.7122631072998047	-0.38692256808280945	11.25458	16.96714
O41	22.95996128165149	-13.121110315409672	-75.41996002197266	70.71707153320312	6.819047132427448	-9.409174221373409	-2.291581869125366	-1.1802055835723877	-172.7244	2.73585
O44	-12.2723906803484	-4.235867147036353	-12.374834060668945	16.85062026977539	3.511856818404258	-0.10121237400639463	-1.2829082012176514	1.497828483581543	-97.45111	-111.6742
O46	-5.967057351266803	-12.222920284628753	-35.23714828491211	20.148160934448242	3.013791146819183	-2.934145796526925	-1.681054949760437	0.3319975733757019	-78.84253000000001	-92.05159
O47	-15.484141384732187	3.392483597977586	54.20246887207031	-49.18820571899414	-0.6243291020831232	8.786705043514894	-2.4416344165802	2.9700753688812256	-75.2014	17.88928
O48	-4.1273367672460175	-13.379487189255167	-75.99752807617188	6.862037181854248	-0.13086776825452784	-6.651256205299719	-2.519314765930176	-0.25880128145217896	-113.0825	105.4452
