Cell	CellType	UMAP X-coordinate	UMAP Y-coordinate
O24	hBIC	-3.8622847	-2.6574385
O31	vBIC	-4.91888	-2.7452502
O32	vBIC	-6.9155097	-3.1112773
O36	vBC	-6.938744	-1.8579786
O39	vBC	-3.3648183	-2.3021986
O41	vAAC	-3.281414	-3.4693613
O44	vBIC	-5.261251	-3.0086868
O46	vBC	-4.538402	-2.8388762
O47	vBC	-6.8292	-1.5583906
O48	vBC	-3.4878	-1.8131596
O49	vBC	-7.57522	-1.9422702
O52	vBC	-4.593912	-2.3479064
O54	hBC	-3.3745003	-3.755897
O55	vBC	-2.8937602	-3.5958793
O56	vBIC	-7.0688195	-3.367971
O58	hBC	-5.8552036	-0.9752122
O60	vBC	-2.5844688	-3.4689417
O61	hBIC	-4.9478517	-2.1815798
O62	vBC	-7.1645393	-1.0478358
O65	hBC	-3.5084472	-2.7346575
O66	hBIC	-5.501254	-3.1659315
O71	hBIC	-4.00577	-2.2717218
O73	vBC	-7.3537145	-1.1049469
O76	vBIC	-7.8434916	-2.1183276
O78	hBIC	-6.482916	-3.2827268
O80	vBC	-6.809583	-0.68073934
O87	vBIC	-7.5666385	-1.2884783
O89	vAAC	-7.0688195	-1.7908494
O90	vBC	-6.4594035	-0.78357905
O100	vBC	-3.387271	-2.2178185
O102	hBC	-7.129752	-0.9023705
O103	vBC	-6.9153757	-0.9613381
O104	hBIC	-6.235511	-2.9592397
O106	hBC	-4.226423	-2.355851
O109	vBC	-4.2739196	-3.131194
O111	vBC	-4.17898	-2.9068236
O113	vBC	-7.5107927	-1.894013
O117	vBC	-2.9137175	-3.7062702
O125	hBIC	-6.815644	-2.5555573
O127	vAAC	-4.6903367	-1.2111267
O128	vBC	-4.058338	-1.5510174
O129	vBC	-3.821332	-2.1741548
O130	vBC	-5.078339	-1.1420515
O131	vBC	-3.2197495	-3.7115927
O132	vAAC	-7.0280933	-1.7579502
O134	vBIC	-5.1162715	-2.56697
O135	vBC	-5.486052	-1.2304087
O137	vBC	-3.670563	-3.13307
O141	vBIC	-6.5557046	-3.0889506
O145	vBC	-3.8976977	-1.914322
O147	vAAC	-4.9004426	-1.3631599
O149	vAAC	-4.871354	-1.4400663
O151	hBIC	-5.982085	-3.0118124
O159	hBIC	-2.812265	-3.4631264
O160	vBC	-4.4443426	-2.52192
O162	hBC	-6.250555	-1.4366381
O164	vAAC	-5.7878895	-1.0669357
O165	vBIC	-5.1863737	-2.126365
O171	vBC	-3.688898	-3.448017
O427	hBIC	-6.8899903	-2.936114
O430	vBC	-6.2088785	-1.7455962
O433	hBIC	-7.6394696	-2.26806
O434	hBC	-6.602332	-1.3183073
O435	vBC	-5.15815	-0.9588069
O439	hBC	-7.0975633	-2.3785512
O440	hBC	-4.2244062	-3.1821423
O454	vBC	-6.334834	-2.7873688
