Cell	Age	UMAP X-coordinate	UMAP Y-coordinate
O36	38	9.311992	1.8668693
O39	24	7.070186	1.6568483
O46	29	8.620793	1.8003814
O47	30	9.919605	2.4194942
O48	30	7.527606	2.3022356
O49	30	9.107864	2.5199332
O52	31	4.8726187	1.6296211
O55	31	5.673794	1.5671973
O60	32	8.450348	2.289608
O62	37	4.9953623	1.7282993
O73	47	6.078372	1.4279844
O80	58	6.882082	2.2302313
O90	68	6.5290833	2.6283112
O100	77	7.144667	3.2251482
O103	29	6.8018365	3.3590128
O109	34	7.844624	2.0716581
O111	34	5.9657383	2.0124512
O113	36	8.879107	2.1628659
O117	36	6.0888124	2.2309053
O128	46	9.562652	2.3916128
O129	46	6.0207324	2.527152
O130	47	9.313708	2.4103582
O131	47	7.5396323	2.789947
O135	26	7.1776505	2.5393054
O137	26	7.4124994	1.6575263
O145	24	5.845036	1.9259759
O160	22	9.200506	2.4975474
O171	23	5.5248337	2.190186
O204	11	4.3477287	4.382012
O210	15	6.0871773	3.2819521
O216	16	7.9228897	1.6996047
O222	17	5.1784477	2.040965
O240	10	5.798751	4.3332844
O242	10	5.768749	4.3058643
O243	10	5.924514	4.181488
O250	11	5.5715904	4.5160327
O255	20	5.5046735	2.7759857
O284	18	4.597772	4.543824
O285	18	9.627473	2.017802
O286	18	5.2637753	3.891705
O287	18	4.812704	4.1894336
O290	19	7.9771075	3.068109
O292	19	8.162843	3.0047848
O296	19	5.6726375	2.924261
O297	19	5.7841268	3.512986
O299	19	4.7211566	4.7536316
O301	19	7.379118	1.3846625
O430	24	5.0283127	4.2466288
O435	25	4.459209	4.5993896
O454	27	9.790495	2.1230147
