Cell	CellType	Plot_X	Plot_Y
O24	hBIC	-2.717972	-71.64043649999999
O31	vBIC	-0.636209	-47.32405
O32	vBIC	2.49282	-72.047418
O36	vBC	-8.064053	-77.0545975
O39	vBC	-4.172462	-76.915645
O41	vAAC	-4.598746	-39.249673
O44	vBIC	0.202765	-73.84370150000001
O46	vBC	-2.515524	-73.84370150000001
O47	vBC	-2.7921625	-77.158558
O48	vBC	-46.953271	-83.28657749999999
O49	vBC	45.65015700000001	-47.162392
O52	vBC	-2.515524	-77.158558
O54	hBC	29.829057	-18.2538265
O55	vBC	-45.671438	-43.483396
O56	vBIC	0.202765	-76.865408
O58	hBC	-2.704284	-73.25705049999999
O60	vBC	-50.991552999999996	37.835967499999995
O61	hBIC	3.242364	-69.96569000000001
O62	vBC	2.278898	-67.1409335
O65	hBC	-2.717972	-71.836427
O66	hBIC	8.145553	-72.113546
O71	hBIC	1.5067685	-71.74821899999998
O73	vBC	-2.326764	-73.615717
O76	vBIC	51.463091	32.686308000000004
O78	hBIC	-2.5477024999999998	-72.98216500000001
O80	vBC	-40.226894	-81.22911400000001
O87	vBIC	0.178181	-70.43387849999999
O89	vAAC	-48.67302	-84.165098
O90	vBC	-1.2576035	-65.38204
O100	vBC	-4.833406	-76.965518
O102	hBC	2.0649759999999997	-72.113546
O103	vBC	-48.825567500000005	-85.09753599999999
O104	hBIC	-2.326764	-74.127903
O106	hBC	-3.767312500000001	-71.836427
O109	vBC	-2.717972	-72.31631800000002
O111	vBC	-2.515524	-75.95122599999999
O113	vBC	-49.4717775	-37.876307000000004
O117	vBC	-7.3443765	-13.110178
O125	hBIC	0.18394	-73.615717
O127	vAAC	-3.2971445	-75.850976
O128	vBC	-2.8663529999999997	-74.9894395
O129	vBC	-2.711128	-71.836427
O130	vBC	-2.8663529999999997	-75.95122599999999
O131	vBC	-33.597285	-13.350963
O132	vAAC	-9.980469	-72.57602949999999
O134	vBIC	0.202765	-72.48106800000002
O135	vBC	-2.326764	-71.8405545
O137	vBC	-13.707324	-70.230583
O141	vBIC	-0.3412455	-76.3021565
O145	vBC	-46.107994500000004	-84.37764000000001
O147	vAAC	-8.349082000000001	-75.53927
O149	vAAC	-2.704284	-73.116742
O151	hBIC	2.835356	-71.53265400000002
O159	hBIC	-27.580547	-26.1253795
O160	vBC	-2.704284	-74.26627200000001
O162	hBC	-2.704284	-71.812457
O164	vAAC	-64.7687645	-39.255912
O165	vBIC	-2.717972	-73.631332
O171	vBC	-3.131055	-73.6223225
O204	vBC	2.0647279999999997	-71.836427
O205	hBC	-0.8852559999999999	-71.833451
O210	vBC	-2.711128	-75.850976
O216	vBC	0.178181	-75.005409
O222	vBC	0.178181	-72.711051
O240	vBC	32.514283	27.1757335
O242	vBC	0.178181	-74.6722895
O243	vBC	-2.717972	-75.08968949999999
O248	hBC	-1.0619995	-72.48106800000002
O250	vBC	-51.307989	-90.194067
O255	vBC	-2.8663529999999997	-76.45844199999999
O284	vBC	-48.0759495	-86.56584149999999
O285	vBC	0.178181	-76.051476
O286	vBC	-1.0742915	-73.615717
O287	vBC	-5.478083	-64.36145450000001
O290	vBC	-2.686595	-76.605017
O292	vBC	-2.515524	-74.159842
O296	vBC	0.165115	-69.96569000000001
O297	vBC	-2.7921625	-76.915645
O299	vBC	6.8215135	-72.58801
O301	vBC	-4.76422	-72.05540950000001
O427	hBIC	1.1238635	-73.8796175
O430	vBC	-2.515524	-70.79771350000001
O433	hBIC	26.680485	-56.2693695
O434	hBC	-3.2903005	-71.812457
O435	vBC	2.044962	-47.20395300000001
O439	hBC	33.065324	-49.730493499999994
O440	hBC	0.178181	-71.712088
O454	vBC	8.145553	-59.23602700000001
