Cell	CellType	Plot_X	Plot_Y
O24	hBIC	-45.471302	-72.70792449999999
O31	vBIC	18.5611995	30.431234000000003
O32	vBIC	-2.3821920000000003	-58.747234
O36	vBC	-1.6786935	-76.753337
O39	vBC	-4.172462	-72.71706400000002
O41	vAAC	-8.064053	-33.562417499999995
O44	vBIC	0.202765	-72.0467965
O46	vBC	-0.8852559999999999	-74.127903
O47	vBC	-2.515524	-77.158558
O48	vBC	-6.754307	-75.850976
O49	vBC	11.975752	-60.580152999999996
O52	vBC	-2.326764	-77.0371015
O54	hBC	30.5571215	17.710348
O55	vBC	-13.2650855	-20.015712
O56	vBIC	-0.8852559999999999	-72.73836599999998
O58	hBC	-3.131055	-72.386198
O60	vBC	16.546623	-16.350447000000003
O61	hBIC	1.7167835	-58.745794
O62	vBC	10.859468	-38.6894
O65	hBC	-3.059269	-71.794439
O66	hBIC	2.0649759999999997	-73.103531
O71	hBIC	2.044962	-73.103531
O73	vBC	-1.0808244999999999	-73.615717
O76	vBIC	34.507067	33.985174
O78	hBIC	1.3690870000000002	-69.96569000000001
O80	vBC	-3.131055	-76.197177
O87	vBIC	-4.332879999999999	-62.564682
O89	vAAC	-47.915031	-88.283894
O90	vBC	3.121884	-65.84117950000001
O100	vBC	-4.7482310000000005	-76.965518
O102	hBC	1.3690870000000002	-74.127903
O103	vBC	-7.495508	-78.034419
O104	hBIC	2.5934299999999997	-65.676449
O106	hBC	-2.326764	-72.386198
O109	vBC	-0.47883849999999983	-71.47236500000001
O111	vBC	-0.8852559999999999	-76.834491
O113	vBC	3.2503065000000007	-11.587010000000001
O117	vBC	32.800162	-13.230570499999999
O125	hBIC	-2.326764	-75.850976
O127	vAAC	-2.9176694999999997	-74.127903
O128	vBC	-2.326764	-74.9894395
O129	vBC	2.49282	-70.463662
O130	vBC	-2.515524	-74.127903
O131	vBC	-29.574891	10.902280000000001
O132	vAAC	-5.6547279999999995	-71.629737
O134	vBIC	0.335491	-71.794439
O135	vBC	2.593182	-23.018922
O137	vBC	-8.87016	-65.520425
O141	vBIC	0.7859260000000001	-75.850976
O145	vBC	10.859468	-51.516077
O147	vAAC	-3.131055	-75.4565895
O149	vAAC	-1.849068	-74.127903
O151	hBIC	2.867592	-64.393383
O159	hBIC	46.895064	-26.2308695
O160	vBC	-2.326764	-77.158558
O162	hBC	-3.131055	-72.43363300000001
O164	vAAC	-3.131055	-75.31771900000001
O165	vBIC	-8.115492	-70.214676
O171	vBC	-0.8852559999999999	-72.386198
O204	vBC	2.0649759999999997	-72.1587475
O205	hBC	0.202765	-72.1587475
O210	vBC	-2.9149119999999997	-74.127903
O216	vBC	0.202765	-74.1438725
O222	vBC	-3.131055	-72.386198
O240	vBC	32.687098999999996	-14.75094
O242	vBC	0.202765	-74.6722895
O243	vBC	-3.131055	-75.005409
O248	hBC	0.190473	-72.79229950000001
O250	vBC	-49.5201685	-88.52006999999998
O255	vBC	-2.8663529999999997	-75.850976
O284	vBC	-9.2180735	-78.034419
O285	vBC	-3.1015404999999996	-76.753337
O286	vBC	1.3690870000000002	-73.103531
O287	vBC	-3.694382	-34.105919
O290	vBC	-2.704284	-77.158558
O292	vBC	0.468217	-73.30448550000001
O296	vBC	-3.131055	-77.189024
O297	vBC	-2.515524	-76.753337
O299	vBC	3.342401	-38.912269
O301	vBC	2.0649759999999997	-71.629751
O427	hBIC	46.2459805	-21.101605499999998
O430	vBC	-2.515524	-72.1587475
O433	hBIC	-2.1963365	-50.1378
O434	hBC	-3.876317	-72.43363300000001
O435	vBC	3.242364	-13.659329999999999
O439	hBC	41.510667	-43.483396
O440	hBC	-2.704284	-73.103531
O454	vBC	2.06448	-53.026003
