Cell	CellType	Plot_X	Plot_Y
O24	hBIC	-8.166931	-69.119698
O31	vBIC	-4.129167	54.25439
O32	vBIC	10.71673	-58.760870999999995
O36	vBC	-2.704284	-76.915645
O39	vBC	1.369564	-74.127903
O41	vAAC	-6.447197000000001	-62.117601
O44	vBIC	0.178181	-73.631332
O46	vBC	-0.8852559999999999	-74.127903
O47	vBC	-2.711128	-77.158558
O48	vBC	-46.98757	-83.60759150000001
O49	vBC	38.241065500000005	-47.162392
O52	vBC	-2.326764	-77.230142
O54	hBC	51.691226	-20.613354
O55	vBC	-48.996942000000004	-59.54182400000001
O56	vBIC	0.468217	-72.386198
O58	hBC	-2.704284	-72.1113125
O60	vBC	-31.0621845	40.585654999999996
O61	hBIC	21.773283499999998	-40.9334275
O62	vBC	1.6878015	-67.676681
O65	hBC	-2.326764	-71.830475
O66	hBIC	9.418173	-70.407951
O71	hBIC	0.178181	-71.64043649999999
O73	vBC	0.17164800000000002	-73.103531
O76	vBIC	36.914584	17.313568
O78	hBIC	0.202765	-74.127903
O80	vBC	-40.516053	-78.034419
O87	vBIC	1.1336225	-71.74821899999998
O89	vAAC	-48.67302	-84.495711
O90	vBC	0.202765	-65.769049
O100	vBC	-4.7482310000000005	-77.062038
O102	hBC	1.310627	-73.25705049999999
O103	vBC	-48.825567500000005	-87.592007
O104	hBIC	2.054721	-72.386198
O106	hBC	-2.326764	-71.836427
O109	vBC	-2.704284	-71.53265400000002
O111	vBC	-2.7853185	-75.850976
O113	vBC	5.6917485	-40.7381315
O117	vBC	36.426838000000004	-28.639415000000003
O125	hBIC	-2.326764	-72.7338795
O127	vAAC	-3.131055	-75.850976
O128	vBC	-3.8970555	-77.158558
O129	vBC	-1.0742915	-72.386198
O130	vBC	-3.131055	-76.865408
O131	vBC	-41.612138	45.161276
O132	vAAC	-8.166931	-72.78580099999999
O134	vBIC	1.310627	-71.836427
O135	vBC	-4.865384	-73.21094000000002
O137	vBC	-8.825088000000001	-71.1470685
O141	vBIC	0.190473	-76.3021565
O145	vBC	-6.051231	-72.386198
O147	vAAC	-8.865988	-73.6223225
O149	vAAC	-3.2903005	-73.6223225
O151	hBIC	2.3593165000000003	-71.8955315
O159	hBIC	37.807838000000004	-15.488635
O160	vBC	-3.503686	-72.386198
O162	hBC	-3.876317	-72.386198
O164	vAAC	-47.478879	-73.492816
O165	vBIC	-2.8663529999999997	-76.45844199999999
O171	vBC	-3.876317	-73.116742
O204	vBC	2.06448	-72.258409
O205	hBC	1.6878015	-72.258409
O210	vBC	-6.447197000000001	-76.852067
O216	vBC	0.178181	-74.159842
O222	vBC	0.323199	-73.035904
O240	vBC	37.467991999999995	21.238763
O242	vBC	-0.35353749999999995	-74.159842
O243	vBC	-3.503686	-77.506957
O248	hBC	-0.35353749999999995	-73.615717
O250	vBC	-50.24074400000001	-88.5827125
O255	vBC	-2.9176694999999997	-76.197177
O284	vBC	-48.953051	-89.06399250000001
O285	vBC	0.190473	-76.915645
O286	vBC	1.1213305	-74.127903
O287	vBC	-4.276027	-51.366539
O290	vBC	-2.9176694999999997	-75.850976
O292	vBC	1.310627	-74.127903
O296	vBC	-1.2695845	-72.386198
O297	vBC	-3.131055	-76.89052649999999
O299	vBC	6.494705499999999	-72.113546
O301	vBC	-4.746698500000001	-71.018844
O427	hBIC	0.178181	-72.258409
O430	vBC	-2.326764	-70.74917200000002
O433	hBIC	42.796477	-37.462847
O434	hBC	-5.970185	-72.386198
O435	vBC	51.76241400000001	-33.403997
O439	hBC	-1.990433	-45.809637
O440	hBC	0.878235	-72.0079675
O454	vBC	3.121884	-49.728464
