Cell	CellType	Plot_X	Plot_Y
O24	hBIC	2.835356	-59.19504000000001
O31	vBIC	-17.535343	82.4861775
O32	vBIC	30.7707135	-31.642218
O36	vBC	-3.876317	-77.2875755
O39	vBC	-12.755174	-73.11013650000001
O41	vAAC	-7.732657	-44.123929499999996
O44	vBIC	2.0649759999999997	-72.258409
O46	vBC	2.0649759999999997	-71.93289
O47	vBC	-2.8663529999999997	-76.865408
O48	vBC	-39.096939	-77.416593
O49	vBC	8.956777	-58.802800500000004
O52	vBC	-2.8663529999999997	-77.416593
O54	hBC	32.800162	-19.582023500000002
O55	vBC	-39.937734999999996	-42.935347
O56	vBIC	2.0649759999999997	-73.721573
O58	hBC	-2.326764	-72.51821050000001
O60	vBC	-11.696185	39.32631
O61	hBIC	32.687098999999996	-23.092347
O62	vBC	5.604247	-63.75678900000001
O65	hBC	-2.326764	-71.836427
O66	hBIC	33.065324	-40.772529
O71	hBIC	0.178181	-69.55459499999998
O73	vBC	-2.326764	-72.79229950000001
O76	vBIC	41.148157	-26.394089
O78	hBIC	-0.13089400000000007	-73.8407255
O80	vBC	-9.276297999999999	-74.4772535
O87	vBIC	2.0647279999999997	-66.49117700000001
O89	vAAC	-49.1849785	-84.965237
O90	vBC	47.42890799999999	-37.094571
O100	vBC	-4.833406	-76.0240765
O102	hBC	2.49282	-66.156058
O103	vBC	-46.496261	-80.56173049999998
O104	hBIC	10.3257575	-69.29055600000001
O106	hBC	6.4314385000000005	-63.741142
O109	vBC	2.06448	-71.830475
O111	vBC	-0.35353749999999995	-72.386198
O113	vBC	-8.181495	-31.569258
O117	vBC	17.382158	-20.246369
O125	hBIC	2.0649759999999997	-71.74821899999998
O127	vAAC	-2.5965584999999995	-76.865408
O128	vBC	-4.865384	-77.653159
O129	vBC	0.202765	-74.127903
O130	vBC	-2.8663529999999997	-76.9080225
O131	vBC	-16.514459499999997	36.668436
O132	vAAC	-3.503686	-76.358192
O134	vBIC	6.776043	-65.47162949999999
O135	vBC	2.054721	-66.49117700000001
O137	vBC	-13.052871000000001	-62.344084
O141	vBIC	1.1338704999999998	-75.850976
O145	vBC	-2.7853185	-72.42224300000002
O147	vAAC	-6.275549	-73.11013650000001
O149	vAAC	-2.704284	-75.66930249999999
O151	hBIC	5.604247	-71.46484699999998
O159	hBIC	-41.339046999999994	-23.9560515
O160	vBC	-2.3589425	-76.051476
O162	hBC	2.06448	-72.06720849999999
O164	vAAC	-8.780016	-73.11013650000001
O165	vBIC	0.165115	-73.631332
O171	vBC	-7.127469	-69.73898550000001
O204	vBC	2.0649759999999997	-72.1113125
O205	hBC	53.35906800000001	-57.2597995
O210	vBC	-3.5038865	-76.950637
O216	vBC	0.773634	-75.184737
O222	vBC	2.06448	-72.7448645
O240	vBC	23.6994635	-3.02298
O242	vBC	2.0649759999999997	-75.184737
O243	vBC	-2.7289095	-76.95594750000001
O248	hBC	2.0649759999999997	-73.008765
O250	vBC	-48.67302	-87.239078
O255	vBC	-2.704284	-77.416593
O284	vBC	-48.0759495	-85.33809600000001
O285	vBC	-2.4978350000000002	-72.48106800000002
O286	vBC	2.278898	-72.386198
O287	vBC	6.9920860000000005	-48.176588
O290	vBC	1.3690870000000002	-72.76949250000001
O292	vBC	-0.13089400000000007	-72.50544150000002
O296	vBC	-0.8852559999999999	-72.386198
O297	vBC	-2.704284	-77.158558
O299	vBC	2.9786200000000003	-72.3216805
O301	vBC	2.0649759999999997	-71.836427
O427	hBIC	-2.326764	-72.7448645
O430	vBC	-6.5287495	-40.772529
O433	hBIC	51.047417499999995	-39.108999
O434	hBC	-8.064053	-71.830475
O435	vBC	59.2577	-37.094571
O439	hBC	1.1215784999999998	-65.627258
O440	hBC	2.7135569999999998	-66.158996
O454	vBC	44.440419999999996	-40.26703300000001
