Cell	CellType	Plot_X	Plot_Y
O24	hBIC	-7.347548	-66.3221595
O31	vBIC	-1.654102	-39.400625
O32	vBIC	7.061267	-58.760870999999995
O36	vBC	-3.876317	-74.9894395
O39	vBC	1.428501	-72.71706400000002
O41	vAAC	-5.357085000000001	-49.0857525
O44	vBIC	0.202765	-73.8796175
O46	vBC	0.666393	-74.127903
O47	vBC	-2.717972	-76.865408
O48	vBC	-46.496261	-83.97757050000001
O49	vBC	30.186619999999998	-42.1284815
O52	vBC	-2.326764	-77.230142
O54	hBC	39.892614	-38.584776
O55	vBC	-44.590633499999996	-19.1830005
O56	vBIC	2.0649759999999997	-71.75835699999998
O58	hBC	0.178181	-71.836427
O60	vBC	-9.721807	27.399928999999997
O61	hBIC	6.990676	-65.2021225
O62	vBC	1.1338704999999998	-67.945317
O65	hBC	0.178181	-71.836427
O66	hBIC	8.574373	-73.035904
O71	hBIC	1.6777945	-73.631332
O73	vBC	0.178181	-73.36743150000001
O76	vBIC	33.594038999999995	-28.872892
O78	hBIC	0.524029	-74.127903
O80	vBC	-20.5747875	-77.158558
O87	vBIC	1.428501	-72.06720849999999
O89	vAAC	-48.948508000000004	-87.612158
O90	vBC	2.0649759999999997	-65.520425
O100	vBC	-4.833406	-76.961455
O102	hBC	1.7170315	-72.386198
O103	vBC	-48.67302	-85.846908
O104	hBIC	2.7135569999999998	-71.68454050000001
O106	hBC	-2.326764	-71.55452500000001
O109	vBC	2.49282	-71.46484699999998
O111	vBC	-2.515524	-74.11858699999999
O113	vBC	-4.663056	-40.996990000000004
O117	vBC	40.840182	-33.604836
O125	hBIC	1.6908595	-74.127903
O127	vAAC	-2.515524	-73.8796175
O128	vBC	-3.52208	-76.051476
O129	vBC	-1.0619995	-74.127903
O130	vBC	-2.998704	-74.9894395
O131	vBC	-23.0623105	-12.030735
O132	vAAC	-6.528165	-72.48106800000002
O134	vBIC	2.0649759999999997	-72.50544150000002
O135	vBC	2.044962	-73.36743150000001
O137	vBC	-42.67185900000001	-65.520425
O141	vBIC	2.06448	-75.184737
O145	vBC	-0.910214	-76.915645
O147	vAAC	-8.349082000000001	-73.6223225
O149	vAAC	-3.2903005	-73.116742
O151	hBIC	2.3462185	-71.836427
O159	hBIC	35.7655175	-13.1318945
O160	vBC	-2.5965584999999995	-71.53265400000002
O162	hBC	-4.072773	-72.43363300000001
O164	vAAC	-43.88664	-70.463662
O165	vBIC	-2.711128	-75.95122599999999
O171	vBC	-3.131055	-66.189464
O204	vBC	2.0649759999999997	-74.127903
O205	hBC	1.3656845	-71.836427
O210	vBC	-3.876317	-74.9894395
O216	vBC	0.202765	-75.95122599999999
O222	vBC	2.5934299999999997	-73.0697175
O240	vBC	33.820122999999995	18.617911
O242	vBC	0.178181	-75.850976
O243	vBC	-2.717972	-74.127903
O248	hBC	0.202765	-74.159842
O250	vBC	-50.947644999999994	-88.631035
O255	vBC	-2.998704	-77.158558
O284	vBC	-48.8130355	-87.933918
O285	vBC	0.190473	-75.005409
O286	vBC	0.798129	-74.127903
O287	vBC	-4.276027	-43.8081245
O290	vBC	-2.515524	-75.850976
O292	vBC	1.1336225	-73.615717
O296	vBC	0.165115	-72.06720849999999
O297	vBC	-2.8663529999999997	-76.85198700000001
O299	vBC	3.9793769999999995	-72.7828595
O301	vBC	-2.326764	-71.629751
O427	hBIC	0.202765	-74.440365
O430	vBC	-1.783983	-71.836427
O433	hBIC	6.2138025	-47.994305
O434	hBC	-5.970185	-72.48106800000002
O435	vBC	51.162976	-45.091666000000004
O439	hBC	0.7360675	-48.171614
O440	hBC	0.633173	-68.90799799999999
O454	vBC	45.113081	-51.516077
