Cell	CellType	Plot_X	Plot_Y
O24	hBIC	1.310627	-64.6305315
O31	vBIC	-2.326764	-73.895587
O32	vBIC	3.242364	-71.9749865
O36	vBC	-0.36007049999999996	-76.85198700000001
O39	vBC	-8.7927575	-74.64025350000001
O41	vAAC	-4.172462	-48.22395
O44	vBIC	0.756696	-74.9894395
O46	vBC	0.202765	-74.127903
O47	vBC	-2.326764	-75.850976
O48	vBC	-41.907451	-82.0586785
O49	vBC	-4.069057	-63.4652615
O52	vBC	-0.8798575	-76.961455
O54	hBC	4.340154	-52.96394850000001
O55	vBC	-43.61591	-77.042839
O56	vBIC	2.0649759999999997	-72.20511350000001
O58	hBC	-2.711128	-71.6455055
O60	vBC	-10.4127855	-69.520073
O61	hBIC	2.3890184999999997	-73.035904
O62	vBC	2.49282	-71.712088
O65	hBC	0.798129	-71.833451
O66	hBIC	4.048069999999999	-72.58801
O71	hBIC	2.0649759999999997	-72.529815
O73	vBC	0.178181	-73.36743150000001
O76	vBIC	-5.6718779999999995	-44.013853999999995
O78	hBIC	2.044962	-73.8796175
O80	vBC	-41.292961500000004	-83.148015
O87	vBIC	2.0649759999999997	-72.113546
O89	vAAC	-47.839959500000006	-84.026185
O90	vBC	-3.988736	-71.00587700000001
O100	vBC	-5.4423185	-76.956046
O102	hBC	2.7135569999999998	-71.629737
O103	vBC	-46.003513999999996	-83.42514
O104	hBIC	2.0649759999999997	-72.48106800000002
O106	hBC	2.054969	-71.629737
O109	vBC	-0.3264980000000002	-72.31631800000002
O111	vBC	2.054969	-75.850976
O113	vBC	-7.675354	-66.473016
O117	vBC	-3.8498795	-62.613158999999996
O125	hBIC	0.202765	-72.529815
O127	vAAC	-2.8663529999999997	-74.127903
O128	vBC	-4.847862500000001	-74.483859
O129	vBC	2.044962	-71.836427
O130	vBC	-1.0808244999999999	-73.631332
O131	vBC	-14.134452	-71.93289
O132	vAAC	-7.2996954999999994	-72.4324805
O134	vBIC	0.335491	-71.812457
O135	vBC	-4.865384	-73.103531
O137	vBC	-8.2065675	-71.8846585
O141	vBIC	2.49282	-74.159842
O145	vBC	-9.031676	-76.8093725
O147	vAAC	-8.115492	-72.79229950000001
O149	vAAC	0.178181	-73.116742
O151	hBIC	2.278898	-72.4765845
O159	hBIC	-8.281854	-66.161934
O160	vBC	-2.326764	-75.95122599999999
O162	hBC	-2.6689060000000002	-71.64043649999999
O164	vAAC	-8.064053	-76.961455
O165	vBIC	-0.36007049999999996	-74.745635
O171	vBC	-0.5380435000000001	-72.529815
O204	vBC	2.278898	-72.469979
O205	hBC	0.202765	-72.98216500000001
O210	vBC	-3.876718	-74.1438725
O216	vBC	1.3690870000000002	-75.005409
O222	vBC	0.202765	-74.127903
O240	vBC	-8.182278	-52.947979
O242	vBC	2.054969	-74.1438725
O243	vBC	0.17164800000000002	-74.127903
O248	hBC	2.835356	-73.631332
O250	vBC	-50.216468500000005	-87.0965015
O255	vBC	-2.326764	-77.0600065
O284	vBC	-47.806732000000004	-87.933918
O285	vBC	1.6777945	-75.850976
O286	vBC	0.815633	-74.159842
O287	vBC	-3.9818055	-60.56834300000001
O290	vBC	-2.326764	-75.5178565
O292	vBC	2.0649759999999997	-72.50544150000002
O296	vBC	0.767101	-72.39206149999998
O297	vBC	-2.998704	-76.865408
O299	vBC	2.9786200000000003	-73.25705049999999
O301	vBC	-2.8663529999999997	-73.8796175
O427	hBIC	0.524029	-71.93289
O430	vBC	-3.2903005	-69.530686
O433	hBIC	-8.166931	-65.520425
O434	hBC	-8.064053	-66.33655
O435	vBC	-0.043149999999999994	-56.123791000000004
O439	hBC	-2.326764	-69.997504
O440	hBC	2.044962	-69.110842
O454	vBC	3.2321425	-72.529815
