Cell	CellType	Plot_X	Plot_Y
O24	hBIC	2.9119508499999998	-8.80391
O31	vBIC	3.2652853	-8.323437
O32	vBIC	2.2642768	-9.150286000000001
O36	vBC	0.98776865	-10.555599
O39	vBC	1.4344598999999998	-9.993269999999999
O41	vAAC	2.18952	-8.508211
O44	vBIC	2.4742846000000003	-8.724221
O46	vBC	2.3849466	-9.421876
O47	vBC	1.6389971	-9.468132
O48	vBC	1.7118165	-9.796635
O49	vBC	1.9860235	-8.7195905
O52	vBC	1.3220296999999999	-10.140753
O54	hBC	2.0807078000000003	-9.544872999999999
O55	vBC	1.4765666000000002	-10.368371
O56	vBIC	1.420314125	-10.24896025
O58	hBC	1.3570643999999998	-10.561259
O60	vBC	3.4951440000000003	-8.784741
O61	hBIC	2.4742846000000003	-8.1173365
O62	vBC	1.8600179	-9.417277
O65	hBC	2.7112515	-9.717169
O66	hBIC	1.6997833999999998	-9.421876
O71	hBIC	2.4024522	-9.510463999999999
O73	vBC	1.0346324	-9.859401
O76	vBIC	2.8474189	-9.727992
O78	hBIC	2.36269275	-9.333861
O80	vBC	0.589400035	-9.802831
O87	vBIC	0.6940852	-9.817654
O89	vAAC	1.0912627499999998	-9.8962005
O90	vBC	2.2095275	-8.505192999999998
O100	vBC	2.0020356	-9.810231
O102	hBC	0.7957696	-9.175954
O103	vBC	0.722731	-10.019924000000001
O104	hBIC	2.4876097	-8.724221
O106	hBC	2.5149126	-8.9448565
O109	vBC	2.9586419999999998	-8.609496499999999
O111	vBC	2.456779	-9.252875
O113	vBC	2.8067349	-9.297217
O117	vBC	2.9850749	-9.486135
O125	hBIC	2.0020356	-9.417277
O127	vAAC	2.5149126	-8.7399405
O128	vBC	1.3776176000000002	-9.3567135
O129	vBC	2.417221	-9.417277
O130	vBC	2.4282472000000004	-9.421876
O131	vBC	0.7721196	-10.746402999999999
O132	vAAC	3.0147312	-8.730206500000001
O134	vBIC	2.4742846000000003	-8.8873975
O135	vBC	2.4964886	-9.6719245
O137	vBC	2.4876097	-8.758072
O141	vBIC	1.9123388499999998	-9.6228515
O145	vBC	2.114284	-9.385158
O147	vAAC	1.9307258000000003	-10.8752985
O149	vAAC	2.5574665000000003	-9.0647805
O151	hBIC	2.013641	-9.079526999999999
O159	hBIC	2.8279805	-10.09853
O160	vBC	2.0020356	-9.348856
O162	hBC	0.84205925	-10.280128
O164	vAAC	1.458457	-11.2123165
O165	vBIC	3.20211645	-8.354088350000001
O171	vBC	2.2095275	-9.124817499999999
O204	vBC	2.013641	-8.9101895
O205	hBC	2.37428615	-8.8567235
O210	vBC	2.6523175	-8.937997
O216	vBC	0.9427462	-9.5512035
O222	vBC	1.6263299	-8.781212
O240	vBC	1.4159153	-10.502322
O242	vBC	1.9877516	-9.1972715
O243	vBC	2.29398985	-9.611755
O248	hBC	2.6523175	-8.75566
O250	vBC	1.0760887	-10.194461
O255	vBC	2.2781790500000003	-9.859401
O284	vBC	1.2868392	-10.127158
O285	vBC	1.9307258000000003	-9.779015000000001
O286	vBC	1.90653615	-10.280128
O287	vBC	1.629163	-9.2225275
O290	vBC	1.064783725	-10.1036215
O292	vBC	0.84205925	-9.417277
O296	vBC	0.722731	-10.667809
O297	vBC	1.9123388499999998	-9.417277
O299	vBC	2.2742877	-8.587845
O301	vBC	1.9144328	-8.9448565
O427	hBIC	2.6139982	-9.823827
O430	vBC	1.8334464499999998	-9.828018
O433	hBIC	2.5896223	-7.974748599999999
O434	hBC	2.4024522	-9.3644575
O435	vBC	1.2712298	-8.962133999999999
O439	hBC	1.92535455	-10.55513
O440	hBC	1.9653759999999998	-8.784741
O454	vBC	0.3537417	-10.518134
