Cell	CellType	Plot_X	Plot_Y
O24	hBIC	-8.166931	-71.830475
O31	vBIC	-4.1612415	-51.490504
O32	vBIC	1.3690870000000002	-73.83290250000002
O36	vBC	-0.3412455	-76.950637
O39	vBC	-35.915486	-76.754008
O41	vAAC	-4.904288	-59.19504000000001
O44	vBIC	-2.326764	-76.950637
O46	vBC	-2.326764	-77.062038
O47	vBC	-3.503686	-76.865408
O48	vBC	-9.980469	-77.91689
O49	vBC	-5.883829	-69.96569000000001
O52	vBC	-2.717972	-77.416593
O54	hBC	-1.0523090000000002	-51.289373
O55	vBC	-36.638478500000005	-69.9549
O56	vBIC	-1.60601	-76.3021565
O58	hBC	-4.4661425	-72.1113125
O60	vBC	-4.833406	-72.004564
O61	hBIC	0.7859260000000001	-73.631332
O62	vBC	1.3690870000000002	-73.103531
O65	hBC	-4.833406	-72.1587475
O66	hBIC	2.06448	-73.80182400000001
O71	hBIC	-1.849068	-73.8796175
O73	vBC	-3.2903005	-74.127903
O76	vBIC	-3.6058519999999996	-50.053765999999996
O78	hBIC	-0.9716539999999999	-75.184737
O80	vBC	-8.281854	-79.011471
O87	vBIC	-0.874459	-72.113546
O89	vAAC	-47.157042	-86.886149
O90	vBC	-2.7921625	-75.005409
O100	vBC	-11.299992999999999	-77.74120149999999
O102	hBC	2.06448	-71.9539925
O103	vBC	-42.278341	-86.13882
O104	hBIC	1.6777945	-73.103531
O106	hBC	-3.876317	-71.794439
O109	vBC	0.8762715000000001	-76.3021565
O111	vBC	-0.3412455	-76.915645
O113	vBC	-7.108950500000001	-51.314087
O117	vBC	-5.9400235	-63.202484
O125	hBIC	0.202765	-73.09053399999998
O127	vAAC	-2.998704	-73.36743150000001
O128	vBC	-8.4627895	-77.1910555
O129	vBC	1.3690870000000002	-72.48106800000002
O130	vBC	-3.876317	-73.103531
O131	vBC	-6.6962145	-46.68632350000001
O132	vAAC	-4.865384	-73.9519785
O134	vBIC	-2.717972	-76.4024065
O135	vBC	0.039804000000000006	-73.631332
O137	vBC	-7.903887999999999	-71.93289
O141	vBIC	1.9309535000000002	-74.32997950000001
O145	vBC	-6.088007	-74.81025149999999
O147	vAAC	-3.131055	-73.631332
O149	vAAC	-5.970185	-75.005409
O151	hBIC	1.7167835	-74.14413400000001
O159	hBIC	0.4787875	-58.252370000000006
O160	vBC	-3.503686	-76.051476
O162	hBC	-3.876317	-71.812457
O164	vAAC	-2.391121	-76.051476
O165	vBIC	-2.7404409999999997	-76.93854999999999
O171	vBC	-6.535337999999999	-73.49942150000001
O204	vBC	2.06448	-72.58801
O205	hBC	0.202765	-75.184737
O210	vBC	-3.9822305	-75.850976
O216	vBC	0.7859260000000001	-74.9894395
O222	vBC	-3.131055	-75.850976
O240	vBC	2.986305	-47.546167
O242	vBC	1.7167835	-74.842427
O243	vBC	-3.876317	-77.4789595
O248	hBC	-0.3412455	-73.103531
O250	vBC	-47.806732000000004	-87.239078
O255	vBC	-2.704284	-75.850976
O284	vBC	-43.5314685	-83.79004300000003
O285	vBC	-2.711128	-76.051476
O286	vBC	0.178181	-74.9894395
O287	vBC	-4.857672	-65.10762
O290	vBC	-1.2330705000000002	-75.1755465
O292	vBC	0.202765	-72.81667300000001
O296	vBC	-3.632216000000001	-73.103531
O297	vBC	-2.6662505000000003	-74.9894395
O299	vBC	0.383456	-72.8457705
O301	vBC	-6.314070000000001	-73.631332
O427	hBIC	-3.069843	-67.247309
O430	vBC	-0.3412455	-75.850976
O433	hBIC	2.06448	-63.741142
O434	hBC	-6.460862499999999	-73.103531
O435	vBC	-5.660508999999999	-67.247309
O439	hBC	-0.13114199999999987	-70.407951
O440	hBC	-3.876317	-76.28598499999998
O454	vBC	1.1336225	-71.830475
