Cell	CellType	Plot_X	Plot_Y
O24	hBIC	2.255907	-9.417277
O31	vBIC	3.3005383000000004	-8.204632
O32	vBIC	1.92535455	-8.614707
O36	vBC	2.255907	-9.421876
O39	vBC	1.16570875	-9.364571
O41	vAAC	2.5877112	-8.318822
O44	vBIC	2.26509735	-8.6087115
O46	vBC	2.26509735	-8.8435105
O47	vBC	2.0078383	-9.445004
O48	vBC	2.5079237	-8.7178495
O49	vBC	2.8873868	-8.936539
O52	vBC	1.0550035000000002	-9.8148985
O54	hBC	1.5573477	-9.544872999999999
O55	vBC	1.88790755	-9.73845
O56	vBIC	2.1106415	-9.554475499999999
O58	hBC	0.69866985	-9.869058500000001
O60	vBC	3.3513236000000006	-8.475311999999999
O61	hBIC	1.9988931	-8.604102000000001
O62	vBC	0.6970102	-9.460158
O65	hBC	2.173091	-9.721326
O66	hBIC	1.6535642	-9.765767
O71	hBIC	2.1284895	-8.505192999999998
O73	vBC	0.6251517799999999	-10.010067
O76	vBIC	2.4223332500000003	-9.805571
O78	hBIC	2.2987088	-8.395914
O80	vBC	1.8853331000000002	-8.994845
O87	vBIC	0.51658754	-9.589485499999999
O89	vAAC	2.013641	-9.633906
O90	vBC	1.77886455	-8.714011
O100	vBC	1.2861702	-9.796635
O102	hBC	0.6970102	-9.001816499999999
O103	vBC	0.69786274	-9.498439999999999
O104	hBIC	2.0159238	-9.311638
O106	hBC	2.1611893	-8.9500655
O109	vBC	0.596581325	-8.994845
O111	vBC	2.4876097	-9.045068999999998
O113	vBC	2.9156255	-8.966857000000001
O117	vBC	2.8147729	-9.98661225
O125	hBIC	2.12484075	-9.186796000000001
O127	vAAC	2.4876097	-8.483983
O128	vBC	2.2327172500000003	-8.604102000000001
O129	vBC	2.3650958	-8.724221
O130	vBC	2.417221	-9.260428000000001
O131	vBC	2.0029368	-9.914609500000001
O132	vAAC	3.1412860499999997	-8.904269
O134	vBIC	2.1611893	-8.724221
O135	vBC	1.5650654	-10.215845
O137	vBC	3.4951440000000003	-8.483983
O141	vBIC	1.9877516	-9.6181915
O145	vBC	1.9202838	-8.9545985
O147	vAAC	2.4742846000000003	-8.428747
O149	vAAC	2.5009348	-9.192038499999999
O151	hBIC	1.63355915	-9.348856
O159	hBIC	2.0119076000000002	-9.783281500000001
O160	vBC	2.1196554	-9.333588
O162	hBC	2.2742877	-9.781201
O164	vAAC	0.9529582000000001	-10.055392000000001
O165	vBIC	2.5009348	-9.765767
O171	vBC	2.336564	-8.714553
O204	vBC	2.255907	-8.777951999999999
O205	hBC	2.123133	-9.366757
O210	vBC	2.255907	-8.7399405
O216	vBC	2.255907	-9.348856
O222	vBC	0.8610382	-9.680531
O240	vBC	1.55144825	-9.784049000000001
O242	vBC	2.4876097	-8.75566
O243	vBC	2.26509735	-8.9587165
O248	hBC	2.6605098	-8.632588
O250	vBC	1.3154952500000001	-9.460158
O255	vBC	2.26509735	-8.934679
O284	vBC	1.0760887	-9.635458499999999
O285	vBC	2.07062005	-9.364571
O286	vBC	2.09177815	-9.647537499999999
O287	vBC	2.46136065	-9.8200965
O290	vBC	1.81485635	-10.06177275
O292	vBC	0.7957696	-9.661133499999998
O296	vBC	0.870322555	-10.294456
O297	vBC	1.9892482	-9.065034
O299	vBC	1.4031101	-9.29354925
O301	vBC	1.9653759999999998	-8.955299
O427	hBIC	0.9511031999999999	-10.0519775
O430	vBC	2.255907	-8.7527165
O433	hBIC	1.68370145	-8.483983
O434	hBC	2.4637960000000003	-8.595667500000001
O435	vBC	1.19844595	-9.408494000000001
O439	hBC	2.0948023	-8.777951999999999
O440	hBC	2.255907	-9.128003999999999
O454	vBC	0.84886515	-10.923613500000002
