Cell	CellType	Plot_X	Plot_Y
O24	hBIC	1.310627	-68.99375450000002
O31	vBIC	0.202765	-72.7338795
O32	vBIC	3.2923825	-72.113546
O36	vBC	0.202765	-76.3021565
O39	vBC	-4.501401500000001	-73.42953100000003
O41	vAAC	-8.349082000000001	-45.192913
O44	vBIC	1.428501	-75.850976
O46	vBC	1.6777945	-75.184737
O47	vBC	0.190473	-74.159842
O48	vBC	-35.915797	-78.034419
O49	vBC	-2.5577854999999996	-64.373013
O52	vBC	-0.874459	-76.961455
O54	hBC	-0.23737699999999984	-54.864749
O55	vBC	-43.50892	-74.6338195
O56	vBIC	2.0649759999999997	-72.113546
O58	hBC	0.178181	-71.75835699999998
O60	vBC	-10.092696	-71.68507150000002
O61	hBIC	2.3892664999999997	-73.103531
O62	vBC	2.278898	-71.794439
O65	hBC	1.428501	-72.07637250000002
O66	hBIC	3.6925904999999997	-73.035904
O71	hBIC	2.0647279999999997	-72.386198
O73	vBC	1.428501	-73.36743150000001
O76	vBIC	-1.4909919999999999	-49.6197985
O78	hBIC	2.450166	-73.8796175
O80	vBC	-40.516053	-83.148015
O87	vBIC	1.428501	-73.25705049999999
O89	vAAC	-49.45922050000001	-85.846908
O90	vBC	-3.5598954999999997	-69.91346300000001
O100	vBC	-4.833406	-76.961455
O102	hBC	2.7744565	-71.68897799999999
O103	vBC	-44.84323	-83.42514
O104	hBIC	2.450166	-72.529815
O106	hBC	2.0649759999999997	-71.74821899999998
O109	vBC	2.278898	-72.48106800000002
O111	vBC	2.054969	-75.850976
O113	vBC	-8.064053	-50.9763385
O117	vBC	-4.556664	-57.0185255
O125	hBIC	2.054969	-72.42224300000002
O127	vAAC	-2.326764	-75.850976
O128	vBC	-4.847862500000001	-73.631332
O129	vBC	2.0649759999999997	-74.127903
O130	vBC	0.756696	-74.159842
O131	vBC	-8.349082000000001	-55.5259195
O132	vAAC	-8.064053	-73.09053399999998
O134	vBIC	1.310627	-71.9749865
O135	vBC	-1.2412020000000001	-73.103531
O137	vBC	-6.051231	-71.93289
O141	vBIC	2.49282	-74.127903
O145	vBC	-0.5430465	-75.1923345
O147	vAAC	-3.876317	-73.11013650000001
O149	vAAC	0.7859260000000001	-73.631332
O151	hBIC	2.664088	-72.4765845
O159	hBIC	-6.637986	-63.468847499999995
O160	vBC	0.190473	-75.850976
O162	hBC	-2.326764	-71.68156450000001
O164	vAAC	-3.876317	-75.5606485
O165	vBIC	0.165115	-76.4835605
O171	vBC	-1.2412020000000001	-72.8232785
O204	vBC	2.49282	-73.103531
O205	hBC	1.6878015	-74.1438725
O210	vBC	2.044962	-74.1438725
O216	vBC	1.7170315	-74.159842
O222	vBC	1.3690870000000002	-73.8796175
O240	vBC	-6.079689	-60.571632
O242	vBC	2.054969	-73.8796175
O243	vBC	0.7859260000000001	-74.127903
O248	hBC	2.6031885	-71.84562349999999
O250	vBC	-50.087286	-85.925693
O255	vBC	-1.0808244999999999	-76.9134315
O284	vBC	-48.0759495	-88.0204875
O285	vBC	1.428501	-75.850976
O286	vBC	1.7464905000000002	-74.1438725
O287	vBC	-4.269229	-60.30151899999999
O290	vBC	-2.3589425	-74.127903
O292	vBC	2.1322965	-72.48106800000002
O296	vBC	0.165115	-72.24045999999998
O297	vBC	0.18394	-76.358192
O299	vBC	2.664088	-72.7828595
O301	vBC	0.335491	-73.7403565
O427	hBIC	2.054721	-73.36743150000001
O430	vBC	-0.335847	-69.7220745
O433	hBIC	-5.34785	-64.109636
O434	hBC	-4.8303410000000016	-71.836427
O435	vBC	-0.043149999999999994	-51.467949
O439	hBC	2.044962	-69.997504
O440	hBC	2.054721	-69.75939650000001
O454	vBC	2.49282	-71.500797
