Cell	CellType	Plot_X	Plot_Y
O24	hBIC	2.8873868	-8.895774000000001
O31	vBIC	3.5491477999999996	-7.89669325
O32	vBIC	1.9653759999999998	-8.878364000000001
O36	vBC	1.0225791	-10.880397
O39	vBC	0.9018598	-10.162713
O41	vAAC	2.18952	-8.483983
O44	vBIC	2.0426621999999997	-9.07518
O46	vBC	2.4742846000000003	-9.417277
O47	vBC	2.5725496999999997	-9.859401
O48	vBC	1.7880634999999998	-9.7816215
O49	vBC	2.0516264	-9.6298505
O52	vBC	1.4977507	-9.925145
O54	hBC	2.25095215	-9.544872999999999
O55	vBC	1.6997833999999998	-10.514806
O56	vBIC	1.166854625	-10.07541
O58	hBC	1.3342507499999998	-10.561259
O60	vBC	3.5227869	-8.65264875
O61	hBIC	2.32775175	-8.2679955
O62	vBC	2.0020356	-9.466889
O65	hBC	2.6570127	-9.610511
O66	hBIC	1.47496525	-10.167252999999999
O71	hBIC	2.5896223	-9.128003999999999
O73	vBC	1.0346324	-9.638339
O76	vBIC	3.2108302	-9.649189999999999
O78	hBIC	2.1456753	-8.890367999999999
O80	vBC	0.48093733	-9.772477
O87	vBIC	0.5924008000000001	-9.680531
O89	vAAC	1.1064368	-9.772477
O90	vBC	2.4876097	-8.41405
O100	vBC	1.8569260500000002	-9.859401
O102	hBC	0.62161623	-9.417277
O103	vBC	0.7363913	-10.286472999999999
O104	hBIC	2.4742846000000003	-8.703871
O106	hBC	2.5079237	-8.937997
O109	vBC	3.0546756	-8.91918
O111	vBC	2.2742877	-9.417277
O113	vBC	3.1232564499999995	-9.2126105
O117	vBC	2.9850749	-9.2837545
O125	hBIC	2.0020356	-9.2462285
O127	vAAC	2.6605098	-8.560067499999999
O128	vBC	1.6826903500000001	-9.3567135
O129	vBC	2.3174294	-9.417277
O130	vBC	2.4255677	-9.4688695
O131	vBC	1.9517275500000002	-10.021809999999999
O132	vAAC	3.105168	-8.781505000000001
O134	vBIC	2.4742846000000003	-8.5011725
O135	vBC	2.5372062	-9.128003999999999
O137	vBC	2.6453482999999998	-8.8468285
O141	vBIC	1.9877516	-9.421876
O145	vBC	1.9540177	-9.550995499999999
O147	vAAC	1.9307258000000003	-11.205195
O149	vAAC	2.6139982	-8.915944999999999
O151	hBIC	2.1721303999999995	-9.07518
O159	hBIC	2.3905828	-10.2451855
O160	vBC	2.0020356	-9.348856
O162	hBC	1.0225791	-10.385819
O164	vAAC	0.98266265	-11.2123165
O165	vBIC	2.69168675	-8.683521
O171	vBC	2.417221	-9.124817499999999
O204	vBC	2.2310181	-8.774692
O205	hBC	2.37428615	-8.890367999999999
O210	vBC	2.6523175	-8.754481
O216	vBC	0.892402725	-9.421876
O222	vBC	2.13799955	-9.197626
O240	vBC	0.9018598	-10.057254499999999
O242	vBC	2.0020356	-9.1972715
O243	vBC	2.3136919999999996	-9.545851500000001
O248	hBC	2.6605098	-8.7399405
O250	vBC	1.1064368	-10.026931000000001
O255	vBC	2.15598575	-9.859401
O284	vBC	1.2868392	-10.1608095
O285	vBC	1.9307258000000003	-9.417277
O286	vBC	1.9600743000000003	-10.280128
O287	vBC	2.4217865	-9.17526575
O290	vBC	0.818914425	-10.16131
O292	vBC	1.8853331000000002	-9.417277
O296	vBC	0.722731	-10.447288
O297	vBC	2.013641	-9.348856
O299	vBC	2.1347419000000003	-8.738575
O301	vBC	1.98386175	-9.169424000000001
O427	hBIC	2.635139	-9.253142500000001
O430	vBC	2.32439	-9.859401
O433	hBIC	2.8154759	-7.935356499999999
O434	hBC	2.4742846000000003	-8.741959999999999
O435	vBC	1.4791413999999998	-9.7302425
O439	hBC	1.6535642	-11.24336775
O440	hBC	2.4540995	-8.483983
O454	vBC	0.27548802	-10.6721325
