Cell	CellType	Plot_X	Plot_Y
O24	hBIC	-2.3589425	-68.615938
O31	vBIC	-3.4989470000000003	-71.74821899999998
O32	vBIC	2.49282	-72.386198
O36	vBC	-3.131055	-77.158558
O39	vBC	-24.3351745	-73.374037
O41	vAAC	-8.929976	-66.005801
O44	vBIC	-0.4705415	-72.81667300000001
O46	vBC	-0.8852559999999999	-73.79959749999999
O47	vBC	-2.711128	-76.45844199999999
O48	vBC	-21.9811615	-77.653159
O49	vBC	-2.9176694999999997	-65.520425
O52	vBC	-2.717972	-77.416593
O54	hBC	-2.1658939999999998	-59.674234
O55	vBC	-43.566194	-73.11837750000001
O56	vBIC	2.0649759999999997	-75.5178565
O58	hBC	-1.604962	-72.94313
O60	vBC	-4.857672	-71.479313
O61	hBIC	2.044962	-72.63053450000001
O62	vBC	-0.636209	-71.53265400000002
O65	hBC	-6.051231	-67.36083599999999
O66	hBIC	0.202765	-74.0657245
O71	hBIC	-2.686595	-72.9947825
O73	vBC	-6.051231	-71.68156450000001
O76	vBIC	-0.5105695	-71.79232299999998
O78	hBIC	-2.5477024999999998	-75.005409
O80	vBC	-39.815605	-74.701085
O87	vBIC	-1.0808244999999999	-72.386198
O89	vAAC	-48.953051	-84.026185
O90	vBC	-5.478083	-66.32655550000001
O100	vBC	-4.663056	-76.0240765
O102	hBC	-7.140103999999999	-70.18207849999999
O103	vBC	-48.2278285	-82.884507
O104	hBIC	-2.515524	-73.631332
O106	hBC	-2.8663529999999997	-69.443679
O109	vBC	-2.704284	-71.830475
O111	vBC	-2.7676295	-73.79959749999999
O113	vBC	-8.4807555	-64.17792750000001
O117	vBC	-2.8663529999999997	-62.613158999999996
O125	hBIC	-1.0742915	-72.1113125
O127	vAAC	-2.998704	-74.9894395
O128	vBC	-9.980469	-77.653159
O129	vBC	-1.0619995	-74.127903
O130	vBC	-3.876317	-76.865408
O131	vBC	-8.780016	-60.25276700000001
O132	vAAC	-6.8593905	-73.103531
O134	vBIC	-2.8663529999999997	-71.812457
O135	vBC	-3.876317	-73.824929
O137	vBC	-6.373439	-74.65371150000001
O141	vBIC	-0.35353749999999995	-74.127903
O145	vBC	-2.998704	-76.6337845
O147	vAAC	-7.743722999999999	-73.116742
O149	vAAC	-2.7853185	-74.741154
O151	hBIC	0.202765	-73.84370150000001
O159	hBIC	-38.848001000000004	-80.54780099999999
O160	vBC	-2.326764	-74.72765799999999
O162	hBC	-2.704284	-72.386198
O164	vAAC	-8.780016	-73.11013650000001
O165	vBIC	0.202765	-76.051476
O171	vBC	-6.069618999999999	-72.386198
O204	vBC	-2.6689060000000002	-72.42224300000002
O205	hBC	-1.2507595	-73.136694
O210	vBC	-3.131055	-77.416593
O216	vBC	0.202765	-73.631332
O222	vBC	-2.5965584999999995	-73.25705049999999
O240	vBC	-3.5386800000000003	-60.25276700000001
O242	vBC	1.1238635	-74.159842
O243	vBC	-3.131055	-77.158558
O248	hBC	-0.35353749999999995	-73.008765
O250	vBC	-48.953051	-86.5124845
O255	vBC	-2.998704	-77.2875755
O284	vBC	-47.478879	-83.79004300000003
O285	vBC	-2.711128	-72.529815
O286	vBC	-0.5315105000000001	-74.11858699999999
O287	vBC	-4.857672	-65.671237
O290	vBC	-2.326764	-73.116742
O292	vBC	-0.13089400000000007	-72.48106800000002
O296	vBC	-2.0081555	-73.103531
O297	vBC	-2.704284	-76.197177
O299	vBC	1.0772485	-72.3216805
O301	vBC	-5.357143499999999	-71.836427
O427	hBIC	-1.783983	-74.2942885
O430	vBC	-4.8303410000000016	-69.91346300000001
O433	hBIC	-4.069057	-63.149326
O434	hBC	-5.970185	-71.830475
O435	vBC	-5.6547279999999995	-67.830718
O439	hBC	-4.179506	-72.43363300000001
O440	hBC	-0.655869	-69.91346300000001
O454	vBC	1.3477925	-72.3216805
