Cell	CellType	Plot_X	Plot_Y
O24	hBIC	2.4742846000000003	-9.021739499999999
O31	vBIC	3.2556842500000003	-7.968839999999999
O32	vBIC	1.7118165	-9.348856
O36	vBC	1.0346324	-10.280128
O39	vBC	1.1182530000000002	-9.5562725
O41	vAAC	2.5088618	-9.366757
O44	vBIC	1.45821815	-10.286472999999999
O46	vBC	2.3116164	-8.724221
O47	vBC	1.8853331000000002	-10.421036
O48	vBC	1.7118165	-10.010067
O49	vBC	1.6532519	-8.484458
O52	vBC	1.12573865	-10.060673
O54	hBC	1.5501206500000002	-8.988574
O55	vBC	2.07141425	-10.012925
O56	vBIC	0.9937953	-9.063530499999999
O58	hBC	1.71885855	-9.348856
O60	vBC	2.31621865	-9.120101
O61	hBIC	1.409171425	-8.802292000000001
O62	vBC	2.16633025	-8.724221
O65	hBC	1.7625690500000002	-9.364571
O66	hBIC	0.87525225	-10.5979
O71	hBIC	1.47562105	-9.364571
O73	vBC	0.979020125	-10.3274485
O76	vBIC	2.6570127	-9.544872999999999
O78	hBIC	1.8018211000000002	-10.8756675
O80	vBC	0.48380480000000003	-9.2225275
O87	vBIC	0.7915558000000001	-9.73229
O89	vAAC	1.35104275	-9.796635
O90	vBC	1.13328985	-8.781212
O100	vBC	1.4989933500000001	-10.510679
O102	hBC	0.8692579	-9.940706500000001
O103	vBC	1.4989933500000001	-9.610511
O104	hBIC	2.0020356	-9.468132
O106	hBC	2.2742877	-8.75566
O109	vBC	2.076046	-8.934383
O111	vBC	2.3489451	-8.768436000000001
O113	vBC	2.5750258	-9.0385405
O117	vBC	2.4771210999999997	-9.796635
O125	hBIC	1.72469325	-9.364571
O127	vAAC	2.3489451	-8.724221
O128	vBC	2.0474303000000003	-9.306221
O129	vBC	1.9307258000000003	-10.274352
O130	vBC	1.9026986000000001	-10.286472999999999
O131	vBC	2.9109716499999996	-9.152494
O132	vAAC	2.7516013499999996	-8.823079
O134	vBIC	2.6604342	-8.8567235
O135	vBC	2.3306197999999996	-10.423658999999999
O137	vBC	1.8545052499999999	-9.297217
O141	vBIC	1.9877516	-8.8468285
O145	vBC	0.9949538499999999	-9.5512035
O147	vAAC	1.6535642	-10.298933
O149	vAAC	2.4533074	-9.348856
O151	hBIC	1.6535642	-9.793471
O159	hBIC	1.639805	-10.637383
O160	vBC	2.2703781000000003	-9.081374
O162	hBC	1.9653759999999998	-9.610511
O164	vAAC	1.0934694	-10.6993385
O165	vBIC	1.00272273	-9.417277
O171	vBC	2.123133	-8.512427
O204	vBC	2.0078383	-9.348856
O205	hBC	2.42921765	-9.330247
O210	vBC	2.6605098	-8.823079
O216	vBC	1.9653759999999998	-9.421876
O222	vBC	1.3114371	-9.364571
O240	vBC	1.2606131499999997	-10.858994500000001
O242	vBC	2.29488075	-8.7527165
O243	vBC	1.4853086000000002	-9.437332000000001
O248	hBC	0.67929215	-9.498439999999999
O250	vBC	1.12297245	-9.796635
O255	vBC	1.8853331000000002	-9.522551
O284	vBC	1.2861702	-10.240466999999999
O285	vBC	1.9653759999999998	-10.2833005
O286	vBC	1.6295063	-10.8756675
O287	vBC	1.5515246	-9.918375999999999
O290	vBC	1.0230442499999999	-10.555599
O292	vBC	0.84205925	-10.0519775
O296	vBC	1.8192824	-10.010067
O297	vBC	1.63793495	-9.810231
O299	vBC	1.5852591999999999	-9.060433499999998
O301	vBC	1.3101254999999998	-9.796635
O427	hBIC	1.8236773999999998	-9.796635
O430	vBC	2.4742846000000003	-8.7527165
O433	hBIC	1.5631563999999998	-8.83775
O434	hBC	2.4742846000000003	-9.417277
O435	vBC	1.4765666000000002	-9.657653999999999
O439	hBC	1.92535455	-10.3954035
O440	hBC	2.7416862999999996	-8.784741
O454	vBC	0.7957696	-10.959050999999999
