Cell	CellType	Plot_X	Plot_Y
O24	hBIC	-2.1052865	-70.407951
O31	vBIC	1.428501	-72.386198
O32	vBIC	1.6878015	-72.43363300000001
O36	vBC	-8.064053	-73.631332
O39	vBC	1.428501	-72.91029750000001
O41	vAAC	-7.300269	-67.8833515
O44	vBIC	-2.3260800000000006	-72.40422050000001
O46	vBC	0.190473	-72.50544150000002
O47	vBC	-2.3436014999999997	-73.0805735
O48	vBC	-11.809211	-77.799361
O49	vBC	-8.392019000000001	-61.359013000000004
O52	vBC	0.202765	-76.89052649999999
O54	hBC	0.6205595	-58.27765
O55	vBC	-41.348242	-76.051476
O56	vBIC	-0.250326	-75.850976
O58	hBC	0.178181	-73.103531
O60	vBC	-5.388615	-62.55751
O61	hBIC	2.06448	-72.7448645
O62	vBC	-4.940666	-71.794439
O65	hBC	-5.8252235	-71.613766
O66	hBIC	1.1238635	-72.43363300000001
O71	hBIC	0.37645350000000005	-72.06720849999999
O73	vBC	1.339857	-73.103531
O76	vBIC	-3.1540434999999998	-48.026039
O78	hBIC	-6.5161575	-71.794439
O80	vBC	-47.230942999999996	-79.310213
O87	vBIC	2.0649759999999997	-75.184737
O89	vAAC	-48.8130355	-87.933918
O90	vBC	-4.269229	-74.127903
O100	vBC	-5.6849454999999995	-72.762887
O102	hBC	2.054969	-69.162174
O103	vBC	-49.5906065	-86.13882
O104	hBIC	2.044962	-72.48106800000002
O106	hBC	0.918652	-71.46484699999998
O109	vBC	-2.998704	-72.43363300000001
O111	vBC	-6.7268799999999995	-68.35865799999999
O113	vBC	-11.809211	-72.97033699999999
O117	vBC	-1.970938	-71.53265400000002
O125	hBIC	-1.0742915	-72.43363300000001
O127	vAAC	-4.269887	-73.36743150000001
O128	vBC	-5.691733	-72.8457705
O129	vBC	-8.181495	-68.73474999999999
O130	vBC	-7.308086	-71.53265400000002
O131	vBC	-2.1658939999999998	-60.294472
O132	vAAC	-8.181495	-71.74821899999998
O134	vBIC	0.202765	-71.53265400000002
O135	vBC	-8.662919	-75.24837
O137	vBC	-5.6547279999999995	-73.40384
O141	vBIC	0.202765	-72.58801
O145	vBC	-6.536485	-77.3323845
O147	vAAC	-8.2480625	-72.43363300000001
O149	vAAC	-6.275549	-71.629737
O151	hBIC	1.3690870000000002	-71.53265400000002
O159	hBIC	3.2006684999999995	-53.691426
O160	vBC	-5.7009345	-72.0903185
O162	hBC	-8.174213	-63.1765335
O164	vAAC	-9.164775500000001	-73.116742
O165	vBIC	-0.8322855	-76.865408
O171	vBC	-6.9194045	-72.79890500000002
O204	vBC	2.06448	-71.794439
O205	hBC	0.190473	-72.40422050000001
O210	vBC	-6.536485	-74.741154
O216	vBC	0.202765	-72.386198
O222	vBC	-3.876718	-76.197177
O240	vBC	-7.675354	-60.79076700000001
O242	vBC	2.044962	-72.58801
O243	vBC	-6.275549	-72.48106800000002
O248	hBC	0.202765	-71.74821899999998
O250	vBC	-50.087286	-87.615593
O255	vBC	-3.876718	-75.850976
O284	vBC	-48.8130355	-86.729533
O285	vBC	-2.704284	-72.386198
O286	vBC	0.202765	-74.127903
O287	vBC	-3.6540475	-64.393383
O290	vBC	0.202765	-72.529815
O292	vBC	0.190473	-72.43363300000001
O296	vBC	-0.8852559999999999	-65.4219535
O297	vBC	-4.833406	-76.89052649999999
O299	vBC	2.278898	-74.159842
O301	vBC	-6.536485	-76.1243265
O427	hBIC	-0.5315105000000001	-73.36743150000001
O430	vBC	-3.290501	-68.28062750000001
O433	hBIC	-7.6611245	-52.156772
O434	hBC	-6.275549	-71.1290505
O435	vBC	-5.660508999999999	-64.1981735
O439	hBC	-5.388615	-65.55888
O440	hBC	-2.704284	-72.0903185
O454	vBC	0.3892345	-50.053765999999996
