Cell	CellType	Plot_X	Plot_Y
O24	hBIC	2.91049445	-8.937997
O31	vBIC	2.7081575	-8.739476
O32	vBIC	1.23492085	-9.3275385
O36	vBC	1.4939775499999999	-9.633906
O39	vBC	2.2837031999999997	-9.823827
O41	vAAC	2.1952428	-8.8190635
O44	vBIC	2.2418462999999997	-8.781212
O46	vBC	2.5673594	-9.417277
O47	vBC	2.17037965	-9.394017250000001
O48	vBC	2.2317736	-9.2812875
O49	vBC	2.6639876	-8.890367999999999
O52	vBC	1.89075905	-10.3927145
O54	hBC	2.5009348	-10.0961325
O55	vBC	2.67481615	-10.5117245
O56	vBIC	1.5175618	-10.010067
O58	hBC	1.6542162	-9.7407405
O60	vBC	2.7628264	-8.475311999999999
O61	hBIC	1.8192824	-8.66123
O62	vBC	0.9427462	-9.598197
O65	hBC	1.5175618	-9.610511
O66	hBIC	1.4795048999999998	-10.725125
O71	hBIC	1.3114371	-10.665256
O73	vBC	0.7957696	-10.5979
O76	vBIC	2.2060933499999997	-9.649189999999999
O78	hBIC	2.4742846000000003	-9.1121145
O80	vBC	0.638353465	-9.2225275
O87	vBIC	0.44287029999999994	-9.645521
O89	vAAC	1.3813684	-9.772477
O90	vBC	0.9501402250000001	-8.724221
O100	vBC	1.1144582	-10.8752985
O102	hBC	0.575244275	-9.417277
O103	vBC	1.5175618	-9.715270499999999
O104	hBIC	0.78097655	-9.348856
O106	hBC	2.66241	-9.0219785
O109	vBC	2.13799955	-8.973280500000001
O111	vBC	2.5149126	-8.951716000000001
O113	vBC	2.5149126	-8.870541000000001
O117	vBC	2.3569173	-9.306221
O125	hBIC	2.5877112	-9.5109915
O127	vAAC	2.5176182000000003	-8.8453185
O128	vBC	1.65673635	-9.040456500000001
O129	vBC	2.6605098	-9.366158500000001
O130	vBC	2.336564	-9.101544
O131	vBC	2.3739836	-9.969818
O132	vAAC	3.1356710999999997	-8.9111285
O134	vBIC	2.2095275	-9.013448
O135	vBC	2.33716155	-9.8188605
O137	vBC	1.6263299	-10.683133
O141	vBIC	2.2742877	-9.600107000000001
O145	vBC	2.2408164	-8.831109
O147	vAAC	2.417221	-8.724221
O149	vAAC	2.5009348	-8.4216975
O151	hBIC	1.23743325	-9.348856
O159	hBIC	1.7739384999999999	-10.16719475
O160	vBC	2.255907	-8.895774000000001
O162	hBC	2.2650819999999996	-9.5036335
O164	vAAC	2.0664716	-9.421876
O165	vBIC	1.391122	-10.7849925
O171	vBC	2.5106292999999997	-8.724221
O204	vBC	2.4319288500000003	-8.75566
O205	hBC	2.5877112	-9.100927
O210	vBC	2.5149126	-8.937997
O216	vBC	1.3114371	-9.4688695
O222	vBC	1.4343924000000001	-9.657218499999999
O240	vBC	1.53932895	-10.901157750000001
O242	vBC	2.5877112	-8.9448565
O243	vBC	2.1103187500000002	-9.515863000000001
O248	hBC	2.5009348	-8.890367999999999
O250	vBC	1.0760887	-9.796635
O255	vBC	2.255907	-9.515863000000001
O284	vBC	1.2861702	-9.784556
O285	vBC	1.9480509000000001	-9.997935
O286	vBC	1.5175618	-10.57234
O287	vBC	1.31541665	-9.6335175
O290	vBC	2.0586025	-10.12218725
O292	vBC	1.70144745	-9.997935
O296	vBC	0.5046473	-11.511509
O297	vBC	1.3114371	-9.491404
O299	vBC	2.6614221000000002	-8.914182499999999
O301	vBC	1.8236773999999998	-9.482664499999998
O427	hBIC	2.2742877	-10.15045275
O430	vBC	2.2408164	-8.866464
O433	hBIC	2.1852348	-8.6683035
O434	hBC	2.1924194999999997	-10.31087775
O435	vBC	0.52056055	-9.5562725
O439	hBC	2.5188527	-8.835481999999999
O440	hBC	2.6204978	-9.247626
O454	vBC	1.1387814	-11.010552
