Cell	CellType	Plot_X	Plot_Y
O24	hBIC	3.242364	-71.68897799999999
O31	vBIC	-2.522368	-75.850976
O32	vBIC	4.488118	-71.11289599999998
O36	vBC	-4.833406	-77.799361
O39	vBC	-7.2185445	-72.79890500000002
O41	vAAC	-2.7853185	-71.790202
O44	vBIC	2.044962	-74.812551
O46	vBC	-2.704284	-75.95122599999999
O47	vBC	-3.7647044999999997	-75.850976
O48	vBC	-44.8570915	-85.059358
O49	vBC	-2.78843	-69.997504
O52	vBC	-2.704284	-77.158558
O54	hBC	-9.295742999999998	-76.6500565
O55	vBC	-8.652796500000001	-69.110842
O56	vBIC	2.044962	-72.351258
O58	hBC	-5.691733	-74.584109
O60	vBC	-61.330927	-19.272307
O61	hBIC	3.324084	-72.47602900000001
O62	vBC	-3.988736	-72.31631800000002
O65	hBC	-8.064053	-69.110842
O66	hBIC	2.0647279999999997	-73.8796175
O71	hBIC	2.49282	-74.284134
O73	vBC	-2.8663529999999997	-76.556411
O76	vBIC	4.048069999999999	-72.113546
O78	hBIC	3.946961	-71.74821899999998
O80	vBC	-5.1773945	-77.506957
O87	vBIC	0.165115	-76.43470500000002
O89	vAAC	-48.953051	-90.194067
O90	vBC	-4.865384	-76.90202950000001
O100	vBC	-3.876718	-77.461775
O102	hBC	-5.294862999999999	-69.269423
O103	vBC	-47.0495415	-89.2149875
O104	hBIC	2.5934299999999997	-72.386198
O106	hBC	-2.8663529999999997	-72.75147
O109	vBC	-7.633366499999999	-71.794439
O111	vBC	-1.2412020000000001	-76.197177
O113	vBC	-3.876718	-77.062038
O117	vBC	-4.865384	-77.2875755
O125	hBIC	-3.68367	-73.11013650000001
O127	vAAC	-6.275549	-71.833451
O128	vBC	-4.865384	-77.461775
O129	vBC	-2.704284	-75.850976
O130	vBC	-8.064053	-76.197177
O131	vBC	-38.848001000000004	-50.951297
O132	vAAC	-6.535337999999999	-71.479313
O134	vBIC	2.0649759999999997	-73.36743150000001
O135	vBC	-4.865384	-70.463662
O137	vBC	-37.6078775	-79.37705949999999
O141	vBIC	3.2923825	-72.529815
O145	vBC	-4.269887	-77.2875755
O147	vAAC	-4.833406	-77.506957
O149	vAAC	-4.663056	-76.865408
O151	hBIC	3.121884	-72.4230665
O159	hBIC	-65.5077125	-19.6039635
O160	vBC	-3.503686	-76.915463
O162	hBC	-6.275549	-69.269423
O164	vAAC	-3.876718	-77.158558
O165	vBIC	0.165115	-75.690957
O171	vBC	-3.988736	-72.386198
O204	vBC	2.0649759999999997	-72.386198
O205	hBC	2.0649759999999997	-73.631332
O210	vBC	-4.7482310000000005	-77.416593
O216	vBC	-0.8852559999999999	-75.850976
O222	vBC	-4.663056	-76.965518
O240	vBC	23.398638000000002	-26.913925
O242	vBC	0.311463	-74.1438725
O243	vBC	-4.663056	-76.197177
O248	hBC	-4.940666	-71.479313
O250	vBC	-51.0104365	-90.617109
O255	vBC	-2.998704	-77.19435
O284	vBC	-47.0918935	-88.84980250000001
O285	vBC	0.178181	-74.1438725
O286	vBC	2.278898	-73.895587
O287	vBC	-38.308738	-77.2875755
O290	vBC	-2.998704	-76.90202950000001
O292	vBC	1.310627	-72.351258
O296	vBC	-3.131055	-77.158558
O297	vBC	-4.269887	-77.2875755
O299	vBC	2.054721	-75.850976
O301	vBC	-4.325896	-76.197177
O427	hBIC	2.0649759999999997	-72.351258
O430	vBC	-7.308086	-70.8176905
O433	hBIC	-6.6980465	-66.4196765
O434	hBC	-5.260056	-73.116742
O435	vBC	-2.7921625	-76.197177
O439	hBC	-5.514336500000001	-67.408045
O440	hBC	-4.801861000000001	-69.110842
O454	vBC	6.370825	-72.113546
