Cell	CellType	Plot_X	Plot_Y
O24	hBIC	2.49282	-70.79771350000001
O31	vBIC	-3.421714	-61.328767000000006
O32	vBIC	-1.113003	-72.31631800000002
O36	vBC	-6.535337999999999	-78.2338445
O39	vBC	-8.349082000000001	-72.43363300000001
O41	vAAC	-4.865384	-73.10363799999999
O44	vBIC	-2.686595	-76.915645
O46	vBC	-3.876718	-73.116742
O47	vBC	-4.663056	-76.89052649999999
O48	vBC	-4.865384	-77.506957
O49	vBC	-38.7028385	-78.205567
O52	vBC	-3.503686	-77.45331
O54	hBC	33.539190000000005	-14.788262999999999
O55	vBC	-9.239353	-65.661502
O56	vBIC	-0.229014	-72.386198
O58	hBC	-7.308086	-76.865408
O60	vBC	-63.499905	-29.603541500000006
O61	hBIC	-2.8663529999999997	-75.105659
O62	vBC	0.178181	-72.43363300000001
O65	hBC	-5.6929185	-70.463662
O66	hBIC	0.311463	-73.631332
O71	hBIC	2.835356	-72.06720849999999
O73	vBC	-8.349082000000001	-75.45805150000001
O76	vBIC	-6.864264	-52.176629999999996
O78	hBIC	-2.704284	-72.351258
O80	vBC	-7.308086	-77.599512
O87	vBIC	-3.876317	-76.3021565
O89	vAAC	-9.3802425	-78.53321550000001
O90	vBC	-4.371051	-77.180559
O100	vBC	-7.828584000000001	-78.8103675
O102	hBC	-6.528165	-72.31631800000002
O103	vBC	-5.700360999999999	-77.599512
O104	hBIC	-1.2764285	-73.05620000000002
O106	hBC	-4.269887	-76.865408
O109	vBC	-3.876718	-74.159842
O111	vBC	-3.5038865	-75.17850949999999
O113	vBC	-8.714236999999999	-64.109636
O117	vBC	-6.275549	-64.60079
O125	hBIC	-6.0914465	-71.830475
O127	vAAC	-5.696505	-76.961455
O128	vBC	-4.865384	-77.1861825
O129	vBC	-3.876718	-76.197177
O130	vBC	-8.349082000000001	-77.799361
O131	vBC	-26.072345	-24.5635155
O132	vAAC	-4.5673065	-73.116742
O134	vBIC	-2.9176694999999997	-74.6569595
O135	vBC	-3.876317	-76.865408
O137	vBC	-8.455678	-77.799361
O141	vBIC	0.178181	-72.351258
O145	vBC	-4.663056	-77.506957
O147	vAAC	-7.495508	-78.398103
O149	vAAC	-4.8493949999999995	-78.2338445
O151	hBIC	-2.704284	-74.62758799999999
O159	hBIC	-30.588618500000003	-5.163264000000001
O160	vBC	-3.503686	-76.915645
O162	hBC	-4.663056	-76.5312925
O164	vAAC	-6.4647185	-77.506957
O165	vBIC	-2.704284	-77.653159
O171	vBC	-3.876718	-76.865408
O204	vBC	-2.704284	-74.9142545
O205	hBC	-3.6659810000000004	-71.75835699999998
O210	vBC	-4.861528	-77.506957
O216	vBC	-3.290501	-74.8005085
O222	vBC	-5.075933	-73.116742
O240	vBC	11.711891	15.323419
O242	vBC	-2.686595	-76.197177
O243	vBC	-4.865384	-77.799361
O248	hBC	-2.704284	-71.830475
O250	vBC	-48.9857785	-88.631035
O255	vBC	-3.876718	-77.653159
O284	vBC	-8.714236999999999	-77.74405399999999
O285	vBC	-2.6689060000000002	-73.895587
O286	vBC	-2.326764	-76.556411
O287	vBC	-4.833406	-75.56268
O290	vBC	-3.876317	-77.0600065
O292	vBC	-3.876718	-76.197177
O296	vBC	-6.095032999999999	-76.9134315
O297	vBC	-4.857672	-77.506957
O299	vBC	-2.326764	-76.93854999999999
O301	vBC	-4.8493949999999995	-77.506957
O427	hBIC	0.202765	-74.1507395
O430	vBC	-3.876718	-74.94036550000001
O433	hBIC	-7.308086	-73.116742
O434	hBC	-3.131055	-76.9134315
O435	vBC	-3.131055	-73.631332
O439	hBC	-3.3713349999999997	-75.850976
O440	hBC	-4.269887	-73.374037
O454	vBC	2.044962	-73.631332
