Cell	CellType	Plot_X	Plot_Y
O24	hBIC	2.7135569999999998	-72.31631800000002
O31	vBIC	-2.6689060000000002	-76.834491
O32	vBIC	3.4058040000000003	-71.9308825
O36	vBC	-46.0883125	-88.433832
O39	vBC	-4.9030249999999995	-76.93865100000002
O41	vAAC	0.165115	-72.351258
O44	vBIC	1.7367314999999999	-75.184737
O46	vBC	-0.066624	-75.5178565
O47	vBC	-4.865384	-75.850976
O48	vBC	-49.3214765	-90.81327049999999
O49	vBC	-2.711128	-76.051476
O52	vBC	-2.686595	-77.230142
O54	hBC	-5.260056	-76.93865100000002
O55	vBC	-9.022261	-76.5312925
O56	vBIC	1.428501	-72.386198
O58	hBC	-3.876317	-74.72765799999999
O60	vBC	-61.97167250000001	-31.183346000000004
O61	hBIC	2.9786200000000003	-73.631332
O62	vBC	-3.9325265	-72.48106800000002
O65	hBC	-4.940666	-70.463662
O66	hBIC	2.27865	-74.127903
O71	hBIC	2.278898	-73.8796175
O73	vBC	-4.833406	-76.865408
O76	vBIC	3.121884	-72.58801
O78	hBIC	3.242364	-71.68897799999999
O80	vBC	-47.759654999999995	-83.148015
O87	vBIC	0.311463	-76.59402100000001
O89	vAAC	-49.693419500000005	-90.89307
O90	vBC	-4.42706	-74.991075
O100	vBC	-8.349082000000001	-78.952407
O102	hBC	-4.857672	-71.74821899999998
O103	vBC	-48.67302	-90.812503
O104	hBIC	1.4215455	-73.035904
O106	hBC	-2.391121	-73.116742
O109	vBC	-6.051231	-71.833451
O111	vBC	-2.391121	-76.753337
O113	vBC	-3.876718	-77.461775
O117	vBC	-41.166716	-79.44133599999998
O125	hBIC	-4.663056	-73.6223225
O127	vAAC	-4.940666	-72.31631800000002
O128	vBC	-47.157042	-86.142611
O129	vBC	-2.711128	-76.31594100000001
O130	vBC	-8.2065675	-76.915463
O131	vBC	-50.561977999999996	-44.3986575
O132	vAAC	-4.9030249999999995	-76.197177
O134	vBIC	1.7367314999999999	-74.127903
O135	vBC	-5.260056	-75.134624
O137	vBC	-45.680364000000004	-82.478515
O141	vBIC	2.9177204999999997	-72.81667300000001
O145	vBC	-4.9030249999999995	-77.506957
O147	vAAC	-4.865384	-78.8398995
O149	vAAC	-3.876718	-76.95005300000001
O151	hBIC	3.121884	-72.386198
O159	hBIC	-56.884541000000006	-23.771804
O160	vBC	-2.8663529999999997	-77.158558
O162	hBC	-4.865384	-72.31631800000002
O164	vAAC	-4.833406	-77.158558
O165	vBIC	0.238289	-76.3833105
O171	vBC	-2.5477024999999998	-73.40384
O204	vBC	1.310627	-73.7854675
O205	hBC	2.0647279999999997	-73.36743150000001
O210	vBC	-45.680364000000004	-84.351304
O216	vBC	0.798129	-75.850976
O222	vBC	-4.663056	-76.95208450000001
O240	vBC	-40.562884000000004	-30.45982
O242	vBC	0.311463	-74.159842
O243	vBC	-4.861528	-76.93865100000002
O248	hBC	-2.466004	-72.31631800000002
O250	vBC	-50.562052	-90.812503
O255	vBC	-2.8663529999999997	-77.2875755
O284	vBC	-49.045376	-90.137412
O285	vBC	0.488155	-74.65632
O286	vBC	2.0649759999999997	-74.4080345
O287	vBC	-50.465958	-78.61064950000002
O290	vBC	-2.998704	-76.90202950000001
O292	vBC	1.310627	-73.631332
O296	vBC	-2.704284	-77.416593
O297	vBC	-4.663056	-77.416593
O299	vBC	1.428501	-76.59402100000001
O301	vBC	-2.998704	-76.961455
O427	hBIC	1.339857	-72.386198
O430	vBC	-8.2065675	-71.794439
O433	hBIC	-7.308086	-66.24924200000001
O434	hBC	-4.8455390000000005	-76.90202950000001
O435	vBC	-2.326764	-76.965518
O439	hBC	-6.275549	-66.3957025
O440	hBC	-6.088007	-69.1901325
O454	vBC	6.370825	-72.72907350000001
