Cell	CellType	Plot_X	Plot_Y
O24	hBIC	2.7744565	-72.0373375
O31	vBIC	-2.6689060000000002	-76.95005300000001
O32	vBIC	4.340154	-70.407951
O36	vBC	-8.780016	-79.80470600000002
O39	vBC	-46.535625	-84.784775
O41	vAAC	-4.857672	-71.794439
O44	vBIC	2.044962	-76.3021565
O46	vBC	-2.6689060000000002	-76.915645
O47	vBC	-4.9030249999999995	-74.584109
O48	vBC	-50.369864	-91.518153
O49	vBC	-8.920979500000001	-65.93678700000001
O52	vBC	-2.326764	-77.230142
O54	hBC	-12.975107000000001	-77.189024
O55	vBC	-9.864484999999998	-76.865408
O56	vBIC	0.798129	-72.351258
O58	hBC	-4.3548615	-76.051476
O60	vBC	-59.63019300000001	-39.775835
O61	hBIC	2.9786200000000003	-73.36743150000001
O62	vBC	-2.8663529999999997	-73.116742
O65	hBC	-4.940666	-69.997174
O66	hBIC	3.263844	-73.8796175
O71	hBIC	3.263844	-74.127903
O73	vBC	-4.8303410000000016	-76.197177
O76	vBIC	2.225813	-72.45216400000001
O78	hBIC	3.182124	-70.407951
O80	vBC	-49.96993300000001	-87.980411
O87	vBIC	0.049245500000000005	-76.961455
O89	vAAC	-50.087286	-90.812503
O90	vBC	-47.157042	-80.2467415
O100	vBC	-47.806732000000004	-84.351304
O102	hBC	-3.988736	-71.68897799999999
O103	vBC	-49.416906	-90.785508
O104	hBIC	0.666393	-73.58190350000001
O106	hBC	-2.515524	-72.386198
O109	vBC	-4.940666	-71.833451
O111	vBC	-2.711128	-73.116742
O113	vBC	-4.269887	-77.416593
O117	vBC	-21.2052685	-77.506957
O125	hBIC	-2.3589425	-76.0240765
O127	vAAC	-4.9030249999999995	-73.10363799999999
O128	vBC	-49.693419500000005	-90.419635
O129	vBC	-2.704284	-76.43470500000002
O130	vBC	-4.940666	-74.8005085
O131	vBC	-51.724135	-73.21094000000002
O132	vAAC	-4.7482310000000005	-76.915463
O134	vBIC	1.7467384999999997	-75.5178565
O135	vBC	-4.8318735	-72.48106800000002
O137	vBC	-8.0464025	-77.664863
O141	vBIC	3.3741025000000002	-72.81667300000001
O145	vBC	-48.953051	-88.34921800000002
O147	vAAC	-4.355062	-77.461775
O149	vAAC	-4.8318735	-76.95208450000001
O151	hBIC	3.2321425	-72.47602900000001
O159	hBIC	-61.7609975	-28.629708
O160	vBC	-4.833406	-76.865408
O162	hBC	-4.9030249999999995	-73.40384
O164	vAAC	-4.865384	-76.915463
O165	vBIC	2.278898	-74.1438725
O171	vBC	-2.7921625	-76.961455
O204	vBC	1.4315524999999998	-73.22211050000001
O205	hBC	2.0647279999999997	-74.127903
O210	vBC	-8.349082000000001	-78.668328
O216	vBC	-0.4705415	-74.1438725
O222	vBC	-3.5038865	-76.961455
O240	vBC	-44.460086	-61.304139500000005
O242	vBC	0.311463	-74.127903
O243	vBC	-4.865384	-71.794439
O248	hBC	-3.988736	-71.75835699999998
O250	vBC	-50.324669	-90.812503
O255	vBC	-3.131055	-77.3233675
O284	vBC	-49.693419500000005	-90.08075699999999
O285	vBC	0.165115	-74.6722895
O286	vBC	2.664088	-73.631332
O287	vBC	-49.5553855	-31.150805
O290	vBC	-3.988736	-76.197177
O292	vBC	2.0649759999999997	-73.631332
O296	vBC	-3.131055	-77.461775
O297	vBC	-8.349082000000001	-78.668328
O299	vBC	1.369564	-76.834491
O301	vBC	-3.4275444999999998	-76.865408
O427	hBIC	2.7135569999999998	-71.75835699999998
O430	vBC	-6.088007	-70.156068
O433	hBIC	-7.308086	-64.109636
O434	hBC	-4.833406	-76.865408
O435	vBC	-2.6689060000000002	-74.159842
O439	hBC	-8.166931	-68.1737985
O440	hBC	-6.1817779999999996	-67.408045
O454	vBC	6.370825	-72.42224300000002
