Cell	CellType	Plot_X	Plot_Y
O24	hBIC	12.335081	-58.1107475
O31	vBIC	-43.5314685	-76.197177
O32	vBIC	9.264503	-58.514969
O36	vBC	-29.327735500000003	-77.32713249999999
O39	vBC	-9.980469	-71.794439
O41	vAAC	-4.663056	-64.55107799999999
O44	vBIC	-13.360519	-63.73895600000001
O46	vBC	-49.1849785	-76.567914
O47	vBC	-41.539229999999996	-78.518603
O48	vBC	-42.445465999999996	-77.416593
O49	vBC	-7.573059	-61.540599
O52	vBC	-39.861265	-46.317965
O54	hBC	-29.182999000000002	-49.48236
O55	vBC	-13.360519	-70.463662
O56	vBIC	-8.38433	-63.547970500000005
O58	hBC	-50.369864	-35.6302255
O60	vBC	-42.67185900000001	-62.797113
O61	hBIC	-2.8663529999999997	-60.831785499999995
O62	vBC	-42.8150215	-76.950637
O65	hBC	-9.980469	-72.05537850000002
O66	hBIC	0.311463	-61.293367
O71	hBIC	2.835356	-53.60469349999999
O73	vBC	-26.6660855	-77.1910555
O76	vBIC	-11.4978725	-61.074243999999986
O78	hBIC	9.264503	-56.461732
O80	vBC	-8.929976	-76.9580775
O87	vBIC	-41.0998515	-72.31631800000002
O89	vAAC	-48.398239000000004	-80.011668
O90	vBC	-23.852134999999993	-76.94464400000001
O100	vBC	-47.542144	-77.17762200000001
O102	hBC	-6.716386999999999	-71.8426345
O103	vBC	-28.142931500000003	-77.55266999999999
O104	hBIC	0.75481	-58.282704
O106	hBC	-48.477666	-66.45485500000001
O109	vBC	-9.980469	-76.197177
O111	vBC	-42.278341	-76.965518
O113	vBC	-10.732875	-47.589155
O117	vBC	-8.664947	-55.008951
O125	hBIC	-10.968839	-76.93865100000002
O127	vAAC	-9.4552225	-76.051476
O128	vBC	-43.524998499999995	-77.68874699999998
O129	vBC	-43.351702	-78.276511
O130	vBC	-6.716386999999999	-72.5991395
O131	vBC	-6.9285935	-77.416593
O132	vAAC	-11.457315	-78.52294499999999
O134	vBIC	-45.9634635	-76.950637
O135	vBC	-9.980469	-76.197177
O137	vBC	-4.833406	-77.1910555
O141	vBIC	4.7336339999999995	-64.109636
O145	vBC	-13.360519	-77.04860450000001
O147	vAAC	-7.39215	-77.17762200000001
O149	vAAC	-8.929976	-76.567914
O151	hBIC	-2.8663529999999997	-58.73887200000001
O159	hBIC	-46.41616	-23.188513
O160	vBC	-44.84323	-78.518603
O162	hBC	-10.356672	-77.68874699999998
O164	vAAC	-8.348427999999998	-77.17762200000001
O165	vBIC	-7.4069375	-71.794439
O171	vBC	-11.299992999999999	-76.43470500000002
O204	vBC	-14.211657	-67.92892749999999
O205	hBC	-0.770586	-58.747234
O210	vBC	-44.5581965	-76.965518
O216	vBC	-43.478664	-76.43470500000002
O222	vBC	-6.275549	-76.965518
O240	vBC	-2.8663529999999997	-22.854835
O242	vBC	-43.351702	-76.31594100000001
O243	vBC	-26.6660855	-77.416593
O248	hBC	-9.4552225	-71.830475
O250	vBC	-45.510767	-80.011668
O255	vBC	-8.348427999999998	-76.965518
O284	vBC	-47.387355	-76.197177
O285	vBC	-13.360519	-76.950637
O286	vBC	-39.705058	-49.681146500000004
O287	vBC	-46.560287	-31.12773
O290	vBC	-40.5405875	-80.6416435
O292	vBC	-41.539229999999996	-76.950637
O296	vBC	-42.835219	-80.938225
O297	vBC	-43.478664	-77.32713249999999
O299	vBC	-43.605626	-70.5301365
O301	vBC	-51.721205	-77.981054
O427	hBIC	-3.876317	-74.440365
O430	vBC	-8.929976	-66.45485500000001
O433	hBIC	-7.308086	-65.478382
O434	hBC	-6.275549	-76.5778495
O435	vBC	-9.4552225	-76.93865100000002
O439	hBC	-5.9464925	-64.109636
O440	hBC	-9.528233499999999	-74.908816
O454	vBC	-28.860512	-76.72099399999998
