Cell	CellType	Plot_X	Plot_Y
O24	hBIC	2.49282	-72.386198
O31	vBIC	-2.4978350000000002	-76.753337
O32	vBIC	3.4058040000000003	-71.5811955
O36	vBC	-47.5444815	-89.75422649999999
O39	vBC	-9.464959	-79.312783
O41	vAAC	-2.5477024999999998	-71.10594049999999
O44	vBIC	1.369564	-76.1428405
O46	vBC	-0.8798575	-76.43470500000002
O47	vBC	-4.7482310000000005	-76.051476
O48	vBC	-48.8480345	-90.81327049999999
O49	vBC	-5.244066999999999	-75.184679
O52	vBC	-2.391121	-77.399663
O54	hBC	-3.5485160000000002	-72.86007900000001
O55	vBC	-8.422034499999999	-71.636876
O56	vBIC	0.666393	-72.31631800000002
O58	hBC	-3.3713349999999997	-76.45844199999999
O60	vBC	-66.25994499999999	-30.299013000000002
O61	hBIC	2.9786200000000003	-73.36743150000001
O62	vBC	-3.4275444999999998	-73.116742
O65	hBC	-4.8991690000000006	-70.9714875
O66	hBIC	2.06448	-73.8796175
O71	hBIC	2.268891	-74.127903
O73	vBC	-4.2696865	-76.5312925
O76	vBIC	2.9786200000000003	-72.58801
O78	hBIC	3.121884	-71.74954699999998
O80	vBC	-47.759654999999995	-83.28657749999999
O87	vBIC	1.054378	-76.834491
O89	vAAC	-49.538062	-90.7018075
O90	vBC	-4.411071	-74.991075
O100	vBC	-8.349082000000001	-78.405416
O102	hBC	-4.857672	-71.75328799999997
O103	vBC	-50.087286	-91.5319685
O104	hBIC	0.732261	-73.631332
O106	hBC	-2.515524	-72.75147
O109	vBC	-4.940666	-72.07637250000002
O111	vBC	-2.326764	-76.865408
O113	vBC	-4.663056	-76.965518
O117	vBC	-38.848001000000004	-77.2875755
O125	hBIC	-4.663056	-72.75147
O127	vAAC	-4.9030249999999995	-72.386198
O128	vBC	-5.691733	-77.506957
O129	vBC	-2.5477024999999998	-76.1243265
O130	vBC	-4.833406	-76.865408
O131	vBC	-48.6129125	-46.436393
O132	vAAC	-4.833406	-76.865408
O134	vBIC	1.428501	-74.6722895
O135	vBC	-4.865384	-72.46050449999998
O137	vBC	-7.743722999999999	-78.36420799999998
O141	vBIC	2.7135569999999998	-72.81667300000001
O145	vBC	-6.607233000000001	-77.1910555
O147	vAAC	-3.876718	-77.91689
O149	vAAC	-3.876317	-76.9634865
O151	hBIC	3.121884	-72.4580065
O159	hBIC	-66.7202155	-22.576818
O160	vBC	-2.8663529999999997	-77.062038
O162	hBC	-4.9030249999999995	-72.4555905
O164	vAAC	-3.8765175	-77.416593
O165	vBIC	-0.8852559999999999	-76.358192
O171	vBC	-2.704284	-74.77572350000001
O204	vBC	1.6878015	-74.127903
O205	hBC	2.044962	-73.631332
O210	vBC	-4.8493949999999995	-78.405416
O216	vBC	-0.066624	-74.159842
O222	vBC	-3.5038865	-77.03293450000001
O240	vBC	-11.154891	-18.717378
O242	vBC	0.178181	-75.850976
O243	vBC	-3.876317	-76.95005300000001
O248	hBC	-4.857672	-71.812457
O250	vBC	-50.324669	-90.812503
O255	vBC	-2.717972	-77.461775
O284	vBC	-49.231140999999994	-90.44663
O285	vBC	0.17164800000000002	-74.1438725
O286	vBC	2.054969	-75.184737
O287	vBC	-51.311128	-77.416593
O290	vBC	-2.8663529999999997	-77.04860450000001
O292	vBC	0.798129	-73.631332
O296	vBC	-2.711128	-77.416593
O297	vBC	-4.269887	-77.461775
O299	vBC	1.428501	-76.59402100000001
O301	vBC	-2.7676295	-76.965518
O427	hBIC	1.0836080000000001	-72.31631800000002
O430	vBC	-7.308086	-71.812457
O433	hBIC	-7.6860695	-68.615938
O434	hBC	-4.833406	-76.865408
O435	vBC	-1.783983	-76.961455
O439	hBC	-6.596412	-66.45485500000001
O440	hBC	-6.6453435	-69.110842
O454	vBC	6.370825	-71.93289
