Cell	CellType	Plot_X	Plot_Y
O24	hBIC	2.835356	-71.74821899999998
O31	vBIC	0.17164800000000002	-75.850976
O32	vBIC	3.242364	-71.629737
O36	vBC	-48.45473	-88.141568
O39	vBC	-3.5598954999999997	-75.02769650000002
O41	vAAC	-2.704284	-76.197177
O44	vBIC	1.310627	-74.127903
O46	vBC	-0.8852559999999999	-75.850976
O47	vBC	-2.711128	-74.6569595
O48	vBC	-50.135837	-89.694952
O49	vBC	-1.63279	-68.615938
O52	vBC	-2.326764	-77.158558
O54	hBC	-2.326764	-77.02197100000001
O55	vBC	-4.865384	-72.386198
O56	vBIC	-4.940666	-70.4295305
O58	hBC	-2.628737	-76.961455
O60	vBC	-10.092696	-73.824929
O61	hBIC	2.835356	-72.31631800000002
O62	vBC	0.178181	-72.8457705
O65	hBC	0.165115	-72.05537850000002
O66	hBIC	2.9786200000000003	-73.631332
O71	hBIC	2.6031885	-72.55891249999999
O73	vBC	-2.717972	-75.95122599999999
O76	vBIC	1.8271570000000001	-71.64043649999999
O78	hBIC	2.7744565	-71.629737
O80	vBC	-47.6428055	-87.98240550000001
O87	vBIC	2.0649759999999997	-72.58801
O89	vAAC	-49.254334	-86.55972899999999
O90	vBC	-44.4320565	-77.082487
O100	vBC	-50.562052	-88.34921800000002
O102	hBC	0.732261	-71.68897799999999
O103	vBC	-50.797329000000005	-89.020894
O104	hBIC	3.121884	-72.40422050000001
O106	hBC	0.178181	-72.386198
O109	vBC	-3.988736	-72.07637250000002
O111	vBC	-0.874459	-74.5697675
O113	vBC	-4.8991690000000006	-72.62013350000001
O117	vBC	-3.7647044999999997	-74.159842
O125	hBIC	-2.391121	-71.794439
O127	vAAC	-4.760364	-71.794439
O128	vBC	-40.516053	-77.68874699999998
O129	vBC	-1.0578305000000001	-73.6223225
O130	vBC	-2.7853185	-78.034419
O131	vBC	-12.954170999999999	-77.158558
O132	vAAC	-4.833406	-76.915463
O134	vBIC	2.49282	-72.386198
O135	vBC	-4.2696865	-72.1377535
O137	vBC	-3.68367	-76.961455
O141	vBIC	2.9786200000000003	-72.4230665
O145	vBC	-42.367852	-79.80470600000002
O147	vAAC	-3.876317	-77.461775
O149	vAAC	-3.876317	-77.158558
O151	hBIC	3.0527110000000004	-71.75835699999998
O159	hBIC	-42.835219	-74.57914149999999
O160	vBC	-2.717972	-76.31594100000001
O162	hBC	-4.3548615	-76.197177
O164	vAAC	-4.3548615	-77.158558
O165	vBIC	1.1336225	-74.65632
O171	vBC	-2.704284	-76.961455
O204	vBC	0.165115	-72.249872
O205	hBC	2.49282	-73.328859
O210	vBC	-3.7647044999999997	-77.799361
O216	vBC	0.666393	-74.11858699999999
O222	vBC	-2.711128	-76.865408
O240	vBC	-51.764697	-71.95888199999997
O242	vBC	-2.3589425	-73.781841
O243	vBC	-2.7853185	-76.961455
O248	hBC	-0.5315105000000001	-71.75835699999998
O250	vBC	-50.721913	-88.772795
O255	vBC	-2.5300135	-77.230142
O284	vBC	-49.045376	-88.097675
O285	vBC	0.165115	-75.184737
O286	vBC	2.044962	-73.631332
O287	vBC	-4.857672	-76.475257
O290	vBC	-2.686595	-76.961455
O292	vBC	2.268891	-72.351258
O296	vBC	-3.8498795	-76.965518
O297	vBC	-46.496261	-81.892798
O299	vBC	1.3690870000000002	-74.4772535
O301	vBC	-2.5300135	-76.95005300000001
O427	hBIC	3.0527110000000004	-71.75328799999997
O430	vBC	-5.4233995	-71.629737
O433	hBIC	-4.8855035	-63.91717250000001
O434	hBC	-2.686595	-72.386198
O435	vBC	-1.2412020000000001	-72.995925
O439	hBC	-3.988736	-67.36097099999999
O440	hBC	0.798129	-71.77132899999998
O454	vBC	8.145553	-59.19504000000001
