Cell	CellType	Plot_X	Plot_Y
O24	hBIC	3.3005383000000004	-8.395914
O31	vBIC	2.4339144	-9.721326
O32	vBIC	2.6605098	-8.0345035
O36	vBC	0.632002585	-10.8752985
O39	vBC	0.87820271	-9.537139999999999
O41	vAAC	2.0976169000000002	-9.293123000000001
O44	vBIC	2.9345565	-8.7399405
O46	vBC	2.4994601000000003	-8.951716000000001
O47	vBC	1.2555995000000002	-9.045687
O48	vBC	1.0346324	-10.2177925
O49	vBC	1.8267229999999999	-8.6340435
O52	vBC	0.87820271	-9.961881
O54	hBC	2.8401680000000002	-10.320499
O55	vBC	2.1676632	-10.615535999999999
O56	vBIC	2.2277533	-8.597743
O58	hBC	2.2742877	-9.874035000000001
O60	vBC	1.6263299	-10.64907
O61	hBIC	2.2268631	-8.395914
O62	vBC	0.85865575	-8.9566795
O65	hBC	2.23374295	-9.197101
O66	hBIC	3.07479075	-8.228599
O71	hBIC	2.2742877	-8.678908
O73	vBC	0.84205925	-10.2214205
O76	vBIC	2.5721215	-8.512427
O78	hBIC	3.13866	-8.011057
O80	vBC	0.6376965	-9.070734999999999
O87	vBIC	0.2504318	-8.809371
O89	vAAC	1.0880478999999998	-10.286472999999999
O90	vBC	0.9278308749999999	-9.784049000000001
O100	vBC	1.3723136	-10.03859675
O102	hBC	0.6480567700000001	-8.724221
O103	vBC	1.0820683	-10.274849499999998
O104	hBIC	3.446771	-8.678908
O106	hBC	2.50472745	-8.823079
O109	vBC	2.1548466	-8.8319465
O111	vBC	0.7709520999999999	-9.168969
O113	vBC	2.0267862	-11.425642
O117	vBC	1.41378635	-10.315634
O125	hBIC	1.65334045	-9.136826
O127	vAAC	2.4457528	-8.8711295
O128	vBC	0.9936338	-10.473516
O129	vBC	2.34575435	-9.045687
O130	vBC	0.51395357	-10.683133
O131	vBC	3.190734	-10.15561525
O132	vAAC	2.05731785	-10.959050999999999
O134	vBIC	2.6605098	-8.724221
O135	vBC	1.0045034	-10.1178845
O137	vBC	1.5631563999999998	-9.859401
O141	vBIC	3.1977221	-8.560067499999999
O145	vBC	0.9937953	-9.721326
O147	vAAC	0.632002585	-11.047695999999998
O149	vAAC	2.2742877	-9.491404
O151	hBIC	3.3513236000000006	-8.395914
O159	hBIC	2.7859615	-10.389298749999998
O160	vBC	0.68148109	-10.543718
O162	hBC	1.639805	-10.5663995
O164	vAAC	0.9936338	-10.683133
O165	vBIC	1.00752095	-9.364571
O171	vBC	0.98776865	-10.215845
O204	vBC	2.417221	-8.724221
O205	hBC	2.6605098	-8.5207005
O210	vBC	1.22312895	-9.859401
O216	vBC	2.3489451	-8.7015645
O222	vBC	1.7118165	-9.6637535
O240	vBC	2.8873868	-9.997071
O242	vBC	2.1931982000000003	-8.784741
O243	vBC	0.73198596	-9.57584
O248	hBC	2.83031975	-8.7399405
O250	vBC	1.1537697	-10.263226
O255	vBC	1.4593820499999999	-9.7012815
O284	vBC	0.97074078	-10.1608095
O285	vBC	2.2742877	-8.91918
O286	vBC	0.9937953	-8.9624195
O287	vBC	2.7420709	-9.859401
O290	vBC	0.52090293	-9.57584
O292	vBC	2.6605098	-8.75566
O296	vBC	0.871095685	-10.589081
O297	vBC	0.712439	-10.000077000000001
O299	vBC	0.9383458250000001	-9.364571
O301	vBC	0.9937953	-9.5562725
O427	hBIC	3.3293308	-7.75725025
O430	vBC	2.1491518000000003	-8.951716000000001
O433	hBIC	2.22517195	-8.738575
O434	hBC	2.5149126	-9.131677
O435	vBC	0.6021307850000001	-9.466889
O439	hBC	2.2277533	-8.648508
O440	hBC	2.2742877	-8.649263000000001
O454	vBC	2.5149126	-9.5734545
