Cell	CellType	Plot_X	Plot_Y
O24	hBIC	1.6777945	-73.035904
O31	vBIC	-2.717972	-74.127903
O32	vBIC	-0.354672	-71.74821899999998
O36	vBC	-8.906277	-77.4789595
O39	vBC	-6.051231	-76.93865100000002
O41	vAAC	-4.865384	-76.197177
O44	vBIC	-2.3589425	-74.127903
O46	vBC	-4.325896	-72.2957825
O47	vBC	-5.6732305	-74.8005085
O48	vBC	-48.67302	-86.23330899999998
O49	vBC	-4.833406	-64.702169
O52	vBC	-2.7921625	-77.408128
O54	hBC	-5.8116995	-56.064111499999996
O55	vBC	-5.7009345	-63.247702499999995
O56	vBIC	-4.0358605	-71.10594049999999
O58	hBC	-7.495508	-78.398103
O60	vBC	-10.1531455	-75.665943
O61	hBIC	-2.7853185	-72.58801
O62	vBC	-2.6689060000000002	-74.127903
O65	hBC	-6.637986	-67.408045
O66	hBIC	0.666393	-74.65632
O71	hBIC	2.664088	-72.40422050000001
O73	vBC	-6.051231	-77.416593
O76	vBIC	-5.388615	-54.299493999999996
O78	hBIC	-3.131055	-70.99815800000002
O80	vBC	-4.865384	-78.398103
O87	vBIC	0.24482199999999998	-75.5178565
O89	vAAC	-49.023049	-85.46179749999999
O90	vBC	-26.152469500000002	-78.40987
O100	vBC	-6.877893	-77.799361
O102	hBC	-4.940666	-69.748188
O103	vBC	-49.034212499999995	-88.772795
O104	hBIC	-4.760364	-71.75835699999998
O106	hBC	-4.857672	-73.7658715
O109	vBC	-4.760364	-72.43363300000001
O111	vBC	-4.325896	-72.5810985
O113	vBC	-5.4959485	-71.830475
O117	vBC	-5.569296	-65.148268
O125	hBIC	-7.2961089999999995	-69.997504
O127	vAAC	-5.6732305	-70.463662
O128	vBC	-4.865384	-77.607977
O129	vBC	-4.940666	-71.75835699999998
O130	vBC	-5.260056	-76.9828795
O131	vBC	4.2198015	-48.1033945
O132	vAAC	-6.535337999999999	-71.22337900000002
O134	vBIC	-2.391121	-72.3216805
O135	vBC	-4.865384	-72.78580099999999
O137	vBC	-7.308086	-73.09053399999998
O141	vBIC	1.7508745000000001	-73.035904
O145	vBC	-4.865384	-77.03293450000001
O147	vAAC	-3.876718	-77.158558
O149	vAAC	-4.865384	-76.5312925
O151	hBIC	-2.391121	-71.75835699999998
O159	hBIC	-3.967629	-50.24333
O160	vBC	-4.760364	-74.72765799999999
O162	hBC	-4.760364	-74.8005085
O164	vAAC	-5.297696999999999	-76.5312925
O165	vBIC	-0.8852559999999999	-74.4080345
O171	vBC	-3.876317	-76.865408
O204	vBC	-3.988736	-72.14408599999999
O205	hBC	-1.2412020000000001	-72.7828595
O210	vBC	-5.297696999999999	-77.12945450000001
O216	vBC	-3.1899284999999997	-73.40384
O222	vBC	-4.371051	-74.977971
O240	vBC	-34.396223	-62.564682
O242	vBC	-4.861528	-73.7658715
O243	vBC	-4.857672	-77.158558
O248	hBC	-2.761088	-72.529815
O250	vBC	-49.034212499999995	-87.933918
O255	vBC	-3.876718	-76.915645
O284	vBC	-48.948508000000004	-86.188391
O285	vBC	-2.9176694999999997	-77.100351
O286	vBC	-2.3589425	-73.328859
O287	vBC	-11.679838	-61.328767000000006
O290	vBC	-4.269887	-76.915645
O292	vBC	-5.158892	-73.7658715
O296	vBC	-5.2785585	-76.9828795
O297	vBC	-4.861528	-77.100351
O299	vBC	-2.8999805	-76.197177
O301	vBC	-3.503686	-77.100351
O427	hBIC	0.202765	-72.8457705
O430	vBC	-6.363554499999999	-70.463662
O433	hBIC	-7.1126805	-66.3221595
O434	hBC	-3.876317	-74.33700099999999
O435	vBC	-2.7853185	-72.7448645
O439	hBC	-6.9181255	-69.40005450000001
O440	hBC	-3.131055	-75.16254
O454	vBC	0.202765	-75.184737
