Cell	CellType	Plot_X	Plot_Y
O24	hBIC	0.84205925	-8.9599975
O31	vBIC	0.9804094999999999	-9.197101
O32	vBIC	0.7661835	-8.941126
O36	vBC	1.58241655	-9.7481875
O39	vBC	1.7574197000000003	-10.083113
O41	vAAC	2.2095275	-9.421876
O44	vBIC	1.8481849000000001	-8.981997999999999
O46	vBC	2.2419076000000002	-9.201937
O47	vBC	1.5112689	-9.45664
O48	vBC	1.14052695	-9.8042515
O49	vBC	0.91867906	-10.8503375
O52	vBC	1.8853331000000002	-9.836025999999999
O54	hBC	1.3645676	-10.5408865
O55	vBC	3.15593375	-10.742044
O56	vBIC	2.5088618	-8.930536
O58	hBC	1.75724805	-9.874035000000001
O60	vBC	1.452328	-10.425651
O61	hBIC	0.9604232749999999	-9.417277
O62	vBC	0.66777962	-9.364571
O65	hBC	0.9804094999999999	-9.5562725
O66	hBIC	1.5112689	-9.3830665
O71	hBIC	0.87525225	-9.095783
O73	vBC	0.9804094999999999	-9.721326
O76	vBIC	2.3618933	-9.719614
O78	hBIC	2.2742877	-8.9448565
O80	vBC	0.83913612	-9.466889
O87	vBIC	1.1434109	-9.019487
O89	vAAC	1.1796234	-9.721326
O90	vBC	1.0941934	-9.772477
O100	vBC	1.5112689	-10.286472999999999
O102	hBC	0.7661835	-9.498439999999999
O103	vBC	1.4675118	-9.721326
O104	hBIC	2.417221	-8.9448565
O106	hBC	2.0976169000000002	-9.045687
O109	vBC	1.6611528	-9.311638
O111	vBC	2.1931982000000003	-9.366549
O113	vBC	2.5896223	-10.083113
O117	vBC	2.6389848	-9.702137
O125	hBIC	2.2792363	-8.993180500000001
O127	vAAC	2.2384944	-9.311638
O128	vBC	0.7500515999999999	-9.366757
O129	vBC	2.3419060500000004	-9.311638
O130	vBC	2.2742877	-9.429604000000001
O131	vBC	2.69242575	-9.982109
O132	vAAC	2.2845659	-9.421876
O134	vBIC	0.7661835	-8.981997999999999
O135	vBC	0.7500515999999999	-11.625202
O137	vBC	2.364013	-10.1036215
O141	vBIC	2.5877112	-8.937997
O145	vBC	2.2095275	-9.437332000000001
O147	vAAC	1.9202838	-9.421876
O149	vAAC	1.585563	-10.545009499999999
O151	hBIC	2.2742877	-8.951716000000001
O159	hBIC	3.2560420999999997	-9.859401
O160	vBC	1.4116255	-9.421876
O162	hBC	2.0012089000000004	-9.515863000000001
O164	vAAC	2.2095275	-9.421876
O165	vBIC	0.5480434999999999	-9.427304500000002
O171	vBC	1.4791413999999998	-10.959050999999999
O204	vBC	2.39157475	-8.9448565
O205	hBC	2.3489451	-8.9342665
O210	vBC	1.7118165	-9.902219500000001
O216	vBC	2.0798104	-9.146818
O222	vBC	1.8429566	-9.836025999999999
O240	vBC	3.3073379999999997	-9.8628895
O242	vBC	1.5112689	-9.527891
O243	vBC	1.391122	-9.421876
O248	hBC	2.5088618	-8.981997999999999
O250	vBC	1.0730766	-9.7589805
O255	vBC	2.2742877	-9.616328
O284	vBC	1.0730766	-9.498439999999999
O285	vBC	2.5118872000000003	-8.951716000000001
O286	vBC	1.1960175	-8.966857000000001
O287	vBC	2.1580510000000004	-9.961881
O290	vBC	2.3134703500000002	-9.663715
O292	vBC	2.4742846000000003	-8.951716000000001
O296	vBC	1.8481849000000001	-9.533498000000002
O297	vBC	1.6611528	-9.421876
O299	vBC	2.5065814	-9.42146
O301	vBC	2.20136285	-9.045687
O427	hBIC	2.2095275	-9.197101
O430	vBC	2.2095275	-9.421876
O433	hBIC	2.4843431000000002	-8.899042
O434	hBC	2.4742846000000003	-9.3381045
O435	vBC	0.807089425	-9.442083
O439	hBC	2.34575435	-8.8379685
O440	hBC	2.20012285	-9.364571
O454	vBC	1.64185385	-9.7454
