Cell	CellType	Plot_X	Plot_Y
O24	hBIC	3.242364	-71.5811955
O31	vBIC	0.165115	-76.197177
O32	vBIC	3.4058040000000003	-71.53265400000002
O36	vBC	-48.45473	-87.933918
O39	vBC	-2.761088	-72.351258
O41	vAAC	-2.5477024999999998	-75.0390985
O44	vBIC	1.9017235000000001	-74.127903
O46	vBC	-0.348139	-76.915645
O47	vBC	-2.717972	-74.6569595
O48	vBC	-50.213584000000004	-88.34921800000002
O49	vBC	-0.703417	-71.479313
O52	vBC	-2.326764	-77.0600065
O54	hBC	-2.6689060000000002	-76.965518
O55	vBC	-4.7482310000000005	-76.051476
O56	vBIC	0.178181	-71.50598350000001
O58	hBC	-2.704284	-77.0600065
O60	vBC	-1.6006114999999999	-74.127903
O61	hBIC	2.9786200000000003	-72.529815
O62	vBC	0.488155	-72.85237599999999
O65	hBC	-4.857672	-71.74821899999998
O66	hBIC	3.121884	-73.103531
O71	hBIC	2.9835380000000002	-72.81667300000001
O73	vBC	-3.131055	-75.08968949999999
O76	vBIC	2.835356	-71.74821899999998
O78	hBIC	3.121884	-71.53265400000002
O80	vBC	-48.67302	-87.29200900000001
O87	vBIC	0.24482199999999998	-75.850976
O89	vAAC	-50.135837	-87.788083
O90	vBC	-8.349082000000001	-77.17762200000001
O100	vBC	-50.562052	-88.435235
O102	hBC	0.422287	-71.74821899999998
O103	vBC	-50.789807	-89.48316350000002
O104	hBIC	3.121884	-71.93289
O106	hBC	0.178181	-72.386198
O109	vBC	-4.325896	-72.386198
O111	vBC	-0.874459	-76.197177
O113	vBC	-4.179506	-75.850976
O117	vBC	-6.717727999999999	-74.71801199999999
O125	hBIC	-1.10647	-71.77132899999998
O127	vAAC	-4.3669945	-72.31631800000002
O128	vBC	-5.691733	-77.416593
O129	vBC	-0.874459	-73.6223225
O130	vBC	-3.503686	-77.59648849999999
O131	vBC	-51.94865	-76.8298225
O132	vAAC	-3.876317	-76.965518
O134	vBIC	1.9017235000000001	-72.529815
O135	vBC	-6.112699500000001	-73.116742
O137	vBC	-2.686595	-77.19435
O141	vBIC	3.121884	-72.351258
O145	vBC	-4.865384	-77.416593
O147	vAAC	-3.876317	-77.653159
O149	vAAC	-4.3548615	-77.158558
O151	hBIC	3.342401	-71.75328799999997
O159	hBIC	-47.946933	-68.50556650000001
O160	vBC	-2.704284	-76.9134315
O162	hBC	-3.876317	-76.4024065
O164	vAAC	-3.876718	-77.100351
O165	vBIC	2.06448	-73.8796175
O171	vBC	-2.6689060000000002	-76.9634865
O204	vBC	0.666393	-72.7448645
O205	hBC	2.6031885	-73.328859
O210	vBC	-3.876718	-77.416593
O216	vBC	1.1213305	-74.127903
O222	vBC	-2.693439	-76.9828795
O240	vBC	-51.764697	-72.886034
O242	vBC	-1.783983	-74.1438725
O243	vBC	-2.6689060000000002	-76.961455
O248	hBC	0.732261	-71.75835699999998
O250	vBC	-49.038114	-88.77048199999999
O255	vBC	-2.5300135	-77.506957
O284	vBC	-49.038114	-86.1938025
O285	vBC	0.625809	-76.1428405
O286	vBC	2.268891	-73.103531
O287	vBC	-6.460862499999999	-74.45338849999999
O290	vBC	-2.711128	-76.865408
O292	vBC	2.7744565	-72.351258
O296	vBC	-4.833406	-75.544679
O297	vBC	-44.2830655	-77.506957
O299	vBC	0.468217	-75.1755465
O301	vBC	-2.6689060000000002	-76.93865100000002
O427	hBIC	3.0527110000000004	-71.75835699999998
O430	vBC	-4.3669945	-71.794439
O433	hBIC	-8.0726275	-63.91717250000001
O434	hBC	-3.2903005	-73.6223225
O435	vBC	-1.60601	-74.127903
O439	hBC	-4.857672	-65.68411
O440	hBC	-1.113003	-72.113546
O454	vBC	3.4058040000000003	-71.93289
