Cell	CellType	Plot_X	Plot_Y
O24	hBIC	3.439255	-8.228599
O31	vBIC	1.4116255	-9.498439999999999
O32	vBIC	3.2829118	-7.3970020000000005
O36	vBC	0.622468585	-10.306852249999999
O39	vBC	1.00752095	-9.498439999999999
O41	vAAC	2.0976169000000002	-9.132376
O44	vBIC	2.9643995	-8.7399405
O46	vBC	2.5149126	-8.924858
O47	vBC	1.595502175	-8.8319465
O48	vBC	1.14888925	-10.033505
O49	vBC	1.5112689	-8.75566
O52	vBC	1.6926986000000002	-9.679944500000001
O54	hBC	2.6639876	-10.701425
O55	vBC	2.4264879	-10.1679815
O56	vBIC	2.3435041500000002	-8.516577999999999
O58	hBC	1.9892482	-9.717620499999999
O60	vBC	1.51824455	-10.207609
O61	hBIC	2.5009348	-8.395914
O62	vBC	1.363696175	-8.827791000000001
O65	hBC	2.2742877	-8.899166000000001
O66	hBIC	3.28075385	-8.3596755
O71	hBIC	3.4337895	-8.3189605
O73	vBC	0.657708	-9.466889
O76	vBIC	2.3380632	-8.5028145
O78	hBIC	3.2829118	-7.592936
O80	vBC	0.44287029999999994	-9.562989
O87	vBIC	0.6160809	-9.045687
O89	vAAC	1.0874071499999998	-10.274849499999998
O90	vBC	0.84205925	-9.7526875
O100	vBC	1.2057076	-9.7526875
O102	hBC	2.116495	-8.516577999999999
O103	vBC	1.0760887	-10.21270075
O104	hBIC	3.5606267	-8.3122565
O106	hBC	2.3489451	-8.784741
O109	vBC	2.1931982000000003	-8.75566
O111	vBC	0.804121375	-9.095783
O113	vBC	1.7125963	-9.874035000000001
O117	vBC	2.05510175	-10.443926000000001
O125	hBIC	2.123133	-8.8682285
O127	vAAC	2.417221	-8.784741
O128	vBC	0.69786274	-9.859401
O129	vBC	2.1931982000000003	-8.879152000000001
O130	vBC	1.77471845	-9.710291999999999
O131	vBC	2.9345565	-10.1036215
O132	vAAC	2.5149126	-8.951716000000001
O134	vBIC	2.3489451	-8.8319465
O135	vBC	0.5717358	-9.8596305
O137	vBC	2.0595601500000003	-9.921304
O141	vBIC	3.36067315	-7.923435700000001
O145	vBC	0.769960995	-9.466889
O147	vAAC	0.308427695	-10.689497
O149	vAAC	2.4457528	-9.429604000000001
O151	hBIC	3.3860658000000003	-8.2243095
O159	hBIC	2.77287485	-10.21270075
O160	vBC	0.84205925	-9.65647175
O162	hBC	2.1170847000000004	-10.215845
O164	vAAC	0.45914799	-10.215845
O165	vBIC	0.87525225	-9.1672705
O171	vBC	0.84205925	-9.663145
O204	vBC	2.3830830499999998	-8.770200500000001
O205	hBC	2.6605098	-8.228599
O210	vBC	0.84205925	-9.5693015
O216	vBC	2.417221	-8.6203995
O222	vBC	2.5149126	-9.5255915
O240	vBC	2.8873868	-9.9396515
O242	vBC	1.4116255	-8.879152000000001
O243	vBC	0.58281875	-9.442083
O248	hBC	2.6932964	-8.7399405
O250	vBC	1.0820683	-10.211727
O255	vBC	1.27549075	-9.859401
O284	vBC	0.722731	-9.821725
O285	vBC	2.1931982000000003	-8.823079
O286	vBC	0.9804094999999999	-8.770200500000001
O287	vBC	2.79848325	-9.859401
O290	vBC	0.739877875	-9.4543405
O292	vBC	2.780381	-8.6203995
O296	vBC	1.6729999500000001	-10.2823715
O297	vBC	0.67778537	-9.721326
O299	vBC	0.911234375	-9.364571
O301	vBC	0.69786274	-9.307189000000001
O427	hBIC	3.3513236000000006	-7.92857025
O430	vBC	1.9640607	-9.07518
O433	hBIC	2.255907	-8.581445500000001
O434	hBC	2.1289713	-9.421876
O435	vBC	0.69786274	-9.168969
O439	hBC	2.2742877	-8.4426475
O440	hBC	2.4590779	-8.6203995
O454	vBC	2.5168826500000003	-9.3042965
