Cell	CellType	Plot_X	Plot_Y
O24	hBIC	2.8791233499999995	-8.323437
O31	vBIC	1.8380473999999998	-10.168919500000001
O32	vBIC	2.5009348	-7.8678
O36	vBC	1.9814456999999999	-10.286472999999999
O39	vBC	0.6902195	-10.215845
O41	vAAC	2.1931982000000003	-8.938924
O44	vBIC	2.3317205999999997	-8.889752
O46	vBC	2.0852785	-9.333861
O47	vBC	2.0540604499999997	-8.951716000000001
O48	vBC	0.8537260550000001	-10.383986
O49	vBC	1.0426446	-9.921869000000001
O52	vBC	2.0218424500000003	-10.086752
O54	hBC	2.6639876	-10.732612
O55	vBC	1.0772225	-11.6778795
O56	vBIC	2.2408164	-8.198025
O58	hBC	2.6724908000000003	-9.997935
O60	vBC	1.0130174	-9.8477135
O61	hBIC	2.116495	-8.493202
O62	vBC	2.0416493	-9.045687
O65	hBC	2.8391275	-8.929052
O66	hBIC	2.116495	-8.649389500000002
O71	hBIC	2.9586419999999998	-8.587845
O73	vBC	0.77036455	-10.589081
O76	vBIC	1.8961849999999998	-8.323437
O78	hBIC	2.4660668	-7.96058385
O80	vBC	0.58280065	-9.594877
O87	vBIC	0.6308411999999999	-10.757058999999998
O89	vAAC	1.0727771499999998	-10.290464499999999
O90	vBC	1.4765666000000002	-9.859401
O100	vBC	1.7118165	-9.566879
O102	hBC	2.2998328499999996	-8.904466
O103	vBC	1.14888925	-10.290464499999999
O104	hBIC	2.06974885	-8.938924
O106	hBC	2.6022392500000002	-8.924858
O109	vBC	2.0852785	-8.938924
O111	vBC	2.3253779999999997	-9.083874
O113	vBC	2.538081	-9.933204
O117	vBC	1.5175618	-11.01543075
O125	hBIC	1.8855555000000002	-9.011399
O127	vAAC	2.3144885	-8.8223235
O128	vBC	0.67553087	-10.773164999999999
O129	vBC	2.33716155	-8.863435
O130	vBC	1.8403232	-9.895736
O131	vBC	3.0872992999999997	-10.680857000000001
O132	vAAC	2.21507375	-9.421876
O134	vBIC	2.2317736	-8.724221
O135	vBC	1.6092958	-9.227058999999999
O137	vBC	2.0020356	-10.423658999999999
O141	vBIC	2.53476925	-8.278492
O145	vBC	1.15783175	-10.379994499999999
O147	vAAC	0.534762285	-11.509695
O149	vAAC	2.4742846000000003	-9.366757
O151	hBIC	2.65698025	-8.323437
O159	hBIC	3.3513164499999997	-10.477446
O160	vBC	2.303599	-9.7290985
O162	hBC	1.0753746000000002	-10.2301215
O164	vAAC	1.8110366999999998	-10.097520499999998
O165	vBIC	0.84205925	-8.938924
O171	vBC	0.8187749950000001	-10.554661
O204	vBC	2.25329845	-8.321734
O205	hBC	2.2247057	-9.095083
O210	vBC	1.5941915500000001	-10.379994499999999
O216	vBC	2.1812188999999997	-8.7527165
O222	vBC	1.9272752	-10.1963285
O240	vBC	2.8264385499999998	-9.870864
O242	vBC	2.3253779999999997	-8.330967999999999
O243	vBC	2.0008618	-9.502453500000001
O248	hBC	2.4742846000000003	-8.4074755
O250	vBC	1.0694656	-10.1608095
O255	vBC	2.0020356	-9.96618
O284	vBC	0.95001263	-9.57584
O285	vBC	2.20649625	-8.8765935
O286	vBC	2.1548466	-8.493202
O287	vBC	2.8873868	-9.870864
O290	vBC	1.6493689	-9.847173000000002
O292	vBC	2.3489451	-8.330967999999999
O296	vBC	2.0416493	-10.667809
O297	vBC	1.2875082	-10.535708
O299	vBC	1.4956441999999999	-9.1163045
O301	vBC	2.3593933	-9.5825265
O427	hBIC	2.0974299499999995	-8.3177035
O430	vBC	2.1491518000000003	-9.083874
O433	hBIC	2.13325825	-8.724221
O434	hBC	2.4742846000000003	-9.193408999999999
O435	vBC	2.1170847000000004	-9.417277
O439	hBC	2.0852785	-8.889752
O440	hBC	2.2894398000000002	-8.483983
O454	vBC	2.5088618	-8.923240499999999
