Cell	CellType	Plot_X	Plot_Y
O24	hBIC	0.946558	-60.20634200000001
O31	vBIC	-46.023196	-83.528345
O32	vBIC	0.7043765	-63.75678900000001
O36	vBC	-48.196307	-79.011471
O39	vBC	-5.6967745	-71.794439
O41	vAAC	-4.663056	-63.479636500000005
O44	vBIC	-12.44767	-76.950637
O46	vBC	-8.348427999999998	-76.93865100000002
O47	vBC	-11.472925	-77.158558
O48	vBC	-36.527402	-77.42365249999999
O49	vBC	-9.179032	-69.997504
O52	vBC	-8.780016	-76.72099399999998
O54	hBC	-9.321662	-74.5485115
O55	vBC	-11.628601	-77.416593
O56	vBIC	-3.988736	-64.80354799999999
O58	hBC	-11.516670000000001	-78.67360099999999
O60	vBC	-37.729473	-80.03040899999998
O61	hBIC	-1.2412020000000001	-73.103531
O62	vBC	-7.20268	-78.981939
O65	hBC	-8.929976	-72.31631800000002
O66	hBIC	-37.729473	-80.6416435
O71	hBIC	-36.245043	-73.3763935
O73	vBC	-5.294862999999999	-76.24309050000001
O76	vBIC	-6.6775210000000005	-61.44174700000001
O78	hBIC	0.383456	-60.304954
O80	vBC	-44.379558	-78.1845
O87	vBIC	-44.460086	-83.246112
O89	vAAC	-48.196307	-82.33835799999999
O90	vBC	-8.455678	-78.493413
O100	vBC	-49.989479	-77.55266999999999
O102	hBC	-23.9136975	-76.750923
O103	vBC	-45.510767	-80.399111
O104	hBIC	-3.876317	-65.695746
O106	hBC	-5.6081075	-76.75618949999998
O109	vBC	-10.092696	-79.312783
O111	vBC	-13.360519	-78.034419
O113	vBC	-6.535337999999999	-76.051476
O117	vBC	-6.535337999999999	-76.72099399999998
O125	hBIC	-9.980469	-76.1243265
O127	vAAC	-4.411071	-76.051476
O128	vBC	-36.527402	-79.011471
O129	vBC	-27.612554	-76.950637
O130	vBC	-3.988736	-74.9192725
O131	vBC	-10.732875	-77.799361
O132	vAAC	-8.142538	-77.799361
O134	vBIC	-44.0609455	-77.17515
O135	vBC	-4.6772	-77.2875755
O137	vBC	-4.746698500000001	-77.416593
O141	vBIC	-2.8663529999999997	-76.950637
O145	vBC	-48.67302	-79.6622255
O147	vAAC	-25.923096000000008	-78.364688
O149	vAAC	-5.478083	-76.93865100000002
O151	hBIC	-7.8231815	-67.0115495
O159	hBIC	-45.510767	-82.986526
O160	vBC	-36.527402	-77.416593
O162	hBC	-6.716386999999999	-77.416593
O164	vAAC	-6.20406	-77.416593
O165	vBIC	-4.833406	-72.0903185
O171	vBC	-7.981524499999999	-77.416593
O204	vBC	-3.1899284999999997	-71.74821899999998
O205	hBC	-3.49491	-72.76108100000002
O210	vBC	-10.038453	-77.158558
O216	vBC	-9.7341865	-70.6625625
O222	vBC	-6.275549	-76.93865100000002
O240	vBC	-3.3713349999999997	-55.609061
O242	vBC	-24.0001635	-76.72099399999998
O243	vBC	-4.663056	-77.2875755
O248	hBC	-3.988736	-67.9700555
O250	vBC	-48.0015195	-84.4749365
O255	vBC	-3.876317	-77.2875755
O284	vBC	-50.419957	-77.31969199999999
O285	vBC	-4.833406	-76.965518
O286	vBC	-25.7950985	-76.197177
O287	vBC	-11.163076499999999	-78.364688
O290	vBC	-10.726697	-77.725506
O292	vBC	-13.360519	-77.0545975
O296	vBC	-5.613471	-79.132595
O297	vBC	-43.347116	-78.10367499999998
O299	vBC	-28.097869000000003	-77.25847200000001
O301	vBC	-44.9749015	-77.981054
O427	hBIC	-3.876317	-63.75678900000001
O430	vBC	-5.6547279999999995	-72.48106800000002
O433	hBIC	-4.464701	-69.110842
O434	hBC	-6.275549	-76.93865100000002
O435	vBC	-9.749738	-77.725506
O439	hBC	-6.088007	-67.408045
O440	hBC	-5.691733	-69.530686
O454	vBC	-6.682110499999999	-77.1410005
