Cell	CellType	Plot_X	Plot_Y
O24	hBIC	2.6478244	-8.966857000000001
O31	vBIC	1.7118165	-9.544872999999999
O32	vBIC	2.6605098	-8.277115
O36	vBC	2.5750258	-8.981997999999999
O39	vBC	3.025249	-9.57584
O41	vAAC	1.5573477	-9.045687
O44	vBIC	2.6605098	-8.937997
O46	vBC	2.6932964	-9.2280525
O47	vBC	2.5118872000000003	-8.981997999999999
O48	vBC	1.9268410500000002	-9.0388905
O49	vBC	2.0502248499999998	-9.095083
O52	vBC	2.9106107000000003	-10.0621145
O54	hBC	1.63306745	-11.0029425
O55	vBC	1.6535642	-10.348875499999998
O56	vBIC	2.1931982000000003	-8.937997
O58	hBC	2.8391275	-9.5445755
O60	vBC	1.14447855	-11.75328025
O61	hBIC	0.9529582000000001	-9.203936
O62	vBC	1.25515295	-9.197101
O65	hBC	2.5149126	-9.421668
O66	hBIC	2.1237087	-9.197101
O71	hBIC	3.420808	-8.9085745
O73	vBC	1.8110366999999998	-9.42146
O76	vBIC	0.36292443	-8.804152
O78	hBIC	2.8542604	-8.363440999999998
O80	vBC	2.013641	-9.0083215
O87	vBIC	0.7064081	-9.969818
O89	vAAC	2.4339144	-9.3477705
O90	vBC	2.4339144	-10.033505
O100	vBC	2.5118872000000003	-9.42146
O102	hBC	2.50472745	-8.9285885
O103	vBC	1.9465176999999998	-9.5562725
O104	hBIC	2.34806575	-8.981997999999999
O106	hBC	2.726083	-8.981997999999999
O109	vBC	2.1812188999999997	-8.9448565
O111	vBC	2.00266505	-9.2543695
O113	vBC	1.7398936999999999	-10.882432999999999
O117	vBC	1.10624035	-11.404506
O125	hBIC	2.013641	-9.311638
O127	vAAC	2.4742846000000003	-8.9448565
O128	vBC	1.7118165	-9.6406385
O129	vBC	2.34806575	-9.0083215
O130	vBC	2.2176378	-8.951716000000001
O131	vBC	2.6950353	-9.866378
O132	vAAC	1.5071783	-10.3645995
O134	vBIC	2.2095275	-8.993180500000001
O135	vBC	2.6932964	-9.0549125
O137	vBC	2.7628264	-9.812584000000001
O141	vBIC	2.726083	-8.879152000000001
O145	vBC	2.17347775	-9.146442
O147	vAAC	1.1064368	-10.701425
O149	vAAC	2.5149126	-9.42146
O151	hBIC	3.25785695	-8.861369
O159	hBIC	3.2560420999999997	-9.866378
O160	vBC	1.8057834499999998	-9.962234500000001
O162	hBC	1.8110366999999998	-9.614335
O164	vAAC	2.255907	-9.670427
O165	vBIC	1.04342315	-8.9416955
O171	vBC	1.0346324	-10.192828
O204	vBC	2.20136285	-8.9448565
O205	hBC	2.6478244	-8.951716000000001
O210	vBC	2.11033915	-9.2543695
O216	vBC	2.2095275	-8.781505000000001
O222	vBC	1.76040965	-9.836025999999999
O240	vBC	2.3804463	-10.680857000000001
O242	vBC	2.5877112	-8.9448565
O243	vBC	1.9123388499999998	-9.095783
O248	hBC	2.3712995	-8.951716000000001
O250	vBC	2.3450403499999997	-8.951716000000001
O255	vBC	2.013641	-9.115873
O284	vBC	2.013641	-8.966857000000001
O285	vBC	2.013641	-9.065214000000001
O286	vBC	1.7690092500000003	-9.034645
O287	vBC	1.51248795	-10.982067
O290	vBC	1.81515955	-9.41652375
O292	vBC	2.2154309999999997	-9.034645
O296	vBC	1.222899875	-10.094385500000001
O297	vBC	1.7614266	-9.721326
O299	vBC	1.6498368000000003	-9.095783
O301	vBC	2.20136285	-9.544872999999999
O427	hBIC	2.20136285	-8.340139
O430	vBC	2.3174294	-8.951716000000001
O433	hBIC	2.08066935	-9.199822
O434	hBC	2.5088618	-9.6958765
O435	vBC	1.9155278500000001	-9.772477
O439	hBC	2.68920025	-8.937997
O440	hBC	2.5088618	-8.951716000000001
O454	vBC	0.722731	-9.772477
