Cell	CellType	Plot_X	Plot_Y
O24	hBIC	2.7135569999999998	-71.69404699999998
O31	vBIC	-0.8852559999999999	-76.834491
O32	vBIC	3.324084	-71.68897799999999
O36	vBC	-48.45473	-86.546847
O39	vBC	-12.755174	-76.915645
O41	vAAC	-2.8663529999999997	-75.184737
O44	vBIC	1.054378	-74.65632
O46	vBC	-1.783983	-76.197177
O47	vBC	-3.2971445	-76.865408
O48	vBC	-49.045376	-90.08075699999999
O49	vBC	-5.873641	-63.75678900000001
O52	vBC	-2.686595	-77.158558
O54	hBC	-4.865384	-71.11289599999998
O55	vBC	-4.833406	-76.051476
O56	vBIC	-3.988736	-69.748188
O58	hBC	-4.663056	-76.865408
O60	vBC	-8.29877	-74.127903
O61	hBIC	1.428501	-72.214932
O62	vBC	0.666393	-72.50544150000002
O65	hBC	-5.294862999999999	-71.636876
O66	hBIC	2.49282	-73.615717
O71	hBIC	2.268891	-73.0697175
O73	vBC	-2.717972	-76.806885
O76	vBIC	2.593182	-64.5571405
O78	hBIC	3.121884	-71.53265400000002
O80	vBC	-45.058904999999996	-85.30807699999997
O87	vBIC	0.165115	-75.184737
O89	vAAC	-47.157042	-84.43921449999999
O90	vBC	-45.058904999999996	-77.416593
O100	vBC	-49.5906065	-88.631035
O102	hBC	1.3690870000000002	-71.794439
O103	vBC	-49.045376	-82.739609
O104	hBIC	3.2923825	-71.84562349999999
O106	hBC	-2.704284	-73.25705049999999
O109	vBC	-4.760364	-72.351258
O111	vBC	-0.8852559999999999	-76.475257
O113	vBC	-2.8663529999999997	-77.416593
O117	vBC	-40.184426	-76.051476
O125	hBIC	-2.704284	-72.0903185
O127	vAAC	-4.865384	-76.197177
O128	vBC	-37.729473	-78.952407
O129	vBC	-2.704284	-75.690957
O130	vBC	-2.8663529999999997	-77.19435
O131	vBC	-49.045376	-72.38843200000001
O132	vAAC	-4.269887	-76.965518
O134	vBIC	2.0649759999999997	-72.55891249999999
O135	vBC	-6.1659975000000005	-73.09053399999998
O137	vBC	-4.663056	-76.806885
O141	vBIC	3.121884	-72.4230665
O145	vBC	-40.9071	-78.952407
O147	vAAC	-3.8765175	-77.416593
O149	vAAC	-3.876317	-77.158558
O151	hBIC	3.121884	-71.629737
O159	hBIC	-43.430311	-73.326531
O160	vBC	-2.711128	-76.9134315
O162	hBC	-5.1773945	-77.100351
O164	vAAC	-4.663056	-76.9828795
O165	vBIC	0.190473	-72.81667300000001
O171	vBC	-2.8663529999999997	-76.961455
O204	vBC	0.202765	-72.386198
O205	hBC	2.49282	-73.103531
O210	vBC	-4.76422	-77.416593
O216	vBC	0.190473	-75.16254
O222	vBC	-3.3713349999999997	-76.915645
O240	vBC	-51.808004	-73.76388299999999
O242	vBC	-1.063229	-75.08968949999999
O243	vBC	-4.2696865	-77.12945450000001
O248	hBC	-0.5315105000000001	-71.69404699999998
O250	vBC	-48.953051	-88.9983375
O255	vBC	-2.686595	-77.725506
O284	vBC	-48.9507795	-88.097675
O285	vBC	0.049245500000000005	-76.43470500000002
O286	vBC	1.310627	-73.103531
O287	vBC	-14.134452	-72.886034
O290	vBC	-3.876317	-76.9134315
O292	vBC	0.732261	-72.386198
O296	vBC	-2.8663529999999997	-76.961455
O297	vBC	-40.737814	-77.799361
O299	vBC	0.17164800000000002	-76.1243265
O301	vBC	-4.663056	-76.950637
O427	hBIC	3.121884	-71.69404699999998
O430	vBC	-4.663056	-71.5811955
O433	hBIC	-4.5862324999999995	-64.093203
O434	hBC	-3.876317	-72.79890500000002
O435	vBC	-1.063229	-76.753337
O439	hBC	-2.391121	-69.269423
O440	hBC	-2.391121	-71.75835699999998
O454	vBC	3.342401	-69.96569000000001
