Cell	CellType	Plot_X	Plot_Y
O24	hBIC	2.6605098	-8.516577999999999
O31	vBIC	1.452328	-9.63879925
O32	vBIC	2.5009348	-8.395914
O36	vBC	1.4791413999999998	-10.589081
O39	vBC	1.0867664	-9.120101
O41	vAAC	2.2384944	-9.417277
O44	vBIC	2.726083	-8.8711295
O46	vBC	2.6605098	-8.951716000000001
O47	vBC	2.3489451	-8.966857000000001
O48	vBC	1.3154952500000001	-9.7526875
O49	vBC	1.0867664	-8.948523
O52	vBC	0.9804094999999999	-9.784049000000001
O54	hBC	3.1973186499999997	-10.2845105
O55	vBC	2.5149126	-10.535479249999998
O56	vBIC	2.2792363	-8.754481
O58	hBC	1.8772379999999997	-9.649189999999999
O60	vBC	1.6263299	-10.513133999999999
O61	hBIC	2.116495	-8.597743
O62	vBC	0.85865575	-8.931361
O65	hBC	2.5877112	-9.146818
O66	hBIC	3.0546756	-8.278492
O71	hBIC	3.3990473000000003	-8.80391
O73	vBC	0.6376965	-9.72390125
O76	vBIC	2.27425125	-8.525297
O78	hBIC	2.6605098	-8.1256495
O80	vBC	0.7102968700000001	-9.772477
O87	vBIC	0.43659269	-9.417277
O89	vAAC	1.2104545	-10.290464499999999
O90	vBC	0.84205925	-9.1996375
O100	vBC	2.2176378	-10.03859675
O102	hBC	2.20712785	-8.724221
O103	vBC	1.0760887	-10.240509249999999
O104	hBIC	3.37100005	-8.75566
O106	hBC	2.6605098	-8.9285885
O109	vBC	2.2095275	-8.770200500000001
O111	vBC	0.897508725	-8.9285885
O113	vBC	2.4527476999999998	-9.900716500000001
O117	vBC	1.0867664	-10.607347
O125	hBIC	2.123133	-8.5406265
O127	vAAC	2.4945986	-8.80391
O128	vBC	1.4116255	-9.927398
O129	vBC	1.6498368000000003	-8.981997999999999
O130	vBC	1.00810645	-9.481565
O131	vBC	3.2282449	-10.477446
O132	vAAC	2.4994601000000003	-9.42146
O134	vBIC	1.7133466499999999	-8.754481
O135	vBC	1.69644445	-9.468132
O137	vBC	1.05467275	-10.019924000000001
O141	vBIC	2.6605098	-8.456246
O145	vBC	1.0346324	-9.417277
O147	vAAC	1.34929355	-10.774066
O149	vAAC	2.31337425	-9.131677
O151	hBIC	2.6605098	-8.75566
O159	hBIC	3.2001277999999997	-10.286472999999999
O160	vBC	1.4116255	-9.54281475
O162	hBC	1.04897685	-10.589081
O164	vAAC	2.6639876	-9.973062500000001
O165	vBIC	1.9837058	-9.199822
O171	vBC	0.98702165	-10.012925
O204	vBC	2.5149126	-8.823079
O205	hBC	2.7985123499999998	-8.75566
O210	vBC	1.0346324	-9.421876
O216	vBC	0.9936338	-8.754481
O222	vBC	0.9804094999999999	-9.566084
O240	vBC	2.94659925	-10.070041499999999
O242	vBC	1.8024118500000001	-8.9448565
O243	vBC	0.75516045	-9.481565
O248	hBC	2.83031975	-8.784741
O250	vBC	1.0820683	-10.263226
O255	vBC	1.6965788000000002	-10.281821
O284	vBC	1.0760887	-10.205153
O285	vBC	1.8522335500000002	-8.91918
O286	vBC	0.9937953	-8.879152000000001
O287	vBC	3.1813402	-10.195304
O290	vBC	0.52090293	-9.9196375
O292	vBC	2.5088618	-8.8711295
O296	vBC	2.2497637000000004	-10.569795
O297	vBC	0.9804094999999999	-9.859401
O299	vBC	0.6376965	-9.364571
O301	vBC	0.69786274	-9.070734999999999
O427	hBIC	3.3005383000000004	-8.136119
O430	vBC	0.19595386	-9.07518
O433	hBIC	2.1812188999999997	-8.899042
O434	hBC	2.5176182000000003	-9.311638
O435	vBC	0.69786274	-9.2085225
O439	hBC	1.3041111	-8.895774000000001
O440	hBC	2.4742846000000003	-8.784741
O454	vBC	2.4840076	-9.3042965
