Cell	CellType	Plot_X	Plot_Y
O24	hBIC	-8.81269	-60.9040995
O31	vBIC	-8.81269	-60.9040995
O32	vBIC	-8.81269	-60.9040995
O36	vBC	-8.81269	-60.9040995
O39	vBC	-8.81269	-60.9040995
O41	vAAC	-8.81269	-60.9040995
O44	vBIC	-8.81269	-60.9040995
O46	vBC	-8.81269	-60.9040995
O47	vBC	-8.81269	-60.9040995
O48	vBC	-8.81269	-60.9040995
O49	vBC	-8.81269	-60.9040995
O52	vBC	-8.81269	-60.9040995
O54	hBC	-8.81269	-60.9040995
O55	vBC	-8.81269	-60.9040995
O56	vBIC	-8.81269	-60.9040995
O58	hBC	-8.81269	-60.9040995
O60	vBC	-8.81269	-60.9040995
O61	hBIC	-8.81269	-60.9040995
O62	vBC	-8.81269	-60.9040995
O65	hBC	-8.81269	-60.9040995
O66	hBIC	-8.81269	-60.9040995
O71	hBIC	-8.81269	-60.9040995
O73	vBC	-8.81269	-60.9040995
O76	vBIC	-8.81269	-60.9040995
O78	hBIC	-8.81269	-60.9040995
O80	vBC	-8.81269	-60.9040995
O87	vBIC	-8.81269	-60.9040995
O89	vAAC	-8.81269	-60.9040995
O90	vBC	-8.81269	-60.9040995
O100	vBC	-8.81269	-60.9040995
O102	hBC	-8.81269	-60.9040995
O103	vBC	-8.81269	-60.9040995
O104	hBIC	-8.81269	-60.9040995
O106	hBC	-8.81269	-60.9040995
O109	vBC	-8.81269	-60.9040995
O111	vBC	-8.81269	-60.9040995
O113	vBC	-8.81269	-60.9040995
O117	vBC	-8.81269	-60.9040995
O125	hBIC	-8.81269	-60.9040995
O127	vAAC	-8.81269	-60.9040995
O128	vBC	-8.81269	-60.9040995
O129	vBC	-8.81269	-60.9040995
O130	vBC	-8.81269	-60.9040995
O131	vBC	-8.81269	-60.9040995
O132	vAAC	-8.81269	-60.9040995
O134	vBIC	-8.81269	-60.9040995
O135	vBC	-8.81269	-60.9040995
O137	vBC	-8.81269	-60.9040995
O141	vBIC	-8.81269	-60.9040995
O145	vBC	-8.81269	-60.9040995
O147	vAAC	-8.81269	-60.9040995
O149	vAAC	-8.81269	-60.9040995
O151	hBIC	-8.81269	-60.9040995
O159	hBIC	-8.81269	-60.9040995
O160	vBC	-8.81269	-60.9040995
O162	hBC	-8.81269	-60.9040995
O164	vAAC	-8.81269	-60.9040995
O165	vBIC	-8.81269	-60.9040995
O171	vBC	-8.81269	-60.9040995
O204	vBC	-8.81269	-60.9040995
O205	hBC	-8.81269	-60.9040995
O210	vBC	-8.81269	-60.9040995
O216	vBC	-8.81269	-60.9040995
O222	vBC	-8.81269	-60.9040995
O240	vBC	-8.81269	-60.9040995
O242	vBC	-8.81269	-60.9040995
O243	vBC	-8.81269	-60.9040995
O248	hBC	-8.81269	-60.9040995
O250	vBC	-8.81269	-60.9040995
O255	vBC	-8.81269	-60.9040995
O284	vBC	-8.81269	-60.9040995
O285	vBC	-8.81269	-60.9040995
O286	vBC	-8.81269	-60.9040995
O287	vBC	-8.81269	-60.9040995
O290	vBC	-8.81269	-60.9040995
O292	vBC	-8.81269	-60.9040995
O296	vBC	-8.81269	-60.9040995
O297	vBC	-8.81269	-60.9040995
O299	vBC	-8.81269	-60.9040995
O301	vBC	-8.81269	-60.9040995
O427	hBIC	-8.81269	-60.9040995
O430	vBC	-8.81269	-60.9040995
O433	hBIC	-8.81269	-60.9040995
O434	hBC	-8.81269	-60.9040995
O435	vBC	-8.81269	-60.9040995
O439	hBC	-8.81269	-60.9040995
O440	hBC	-8.81269	-60.9040995
O454	vBC	-8.81269	-60.9040995
