Cell	CellType	Plot_X	Plot_Y
O24	hBIC	2.2573221500000002	-9.866378
O31	vBIC	1.5071783	-9.9571395
O32	vBIC	1.12531095	-9.5155605
O36	vBC	0.999837125	-11.209028
O39	vBC	2.2658521	-9.572519
O41	vAAC	2.0807078000000003	-10.471829
O44	vBIC	1.9562339	-9.57584
O46	vBC	2.9345565	-9.833399
O47	vBC	1.5211488999999998	-9.053196
O48	vBC	2.2262084	-10.110933000000001
O49	vBC	1.3398308	-11.062053
O52	vBC	1.61468915	-9.7950655
O54	hBC	2.3842295499999997	-10.2068155
O55	vBC	2.2209364999999996	-9.670427
O56	vBIC	1.57021595	-9.817654
O58	hBC	2.3841507	-9.927398
O60	vBC	2.3317205999999997	-9.07518
O61	hBIC	2.3253779999999997	-10.1036215
O62	vBC	0.37811890000000004	-10.49151
O65	hBC	3.3513236000000006	-9.833399
O66	hBIC	1.6263299	-9.952203
O71	hBIC	2.4339144	-9.841726000000001
O73	vBC	0.6835806950000001	-9.680531
O76	vBIC	0.4543503	-11.025699000000001
O78	hBIC	1.7816364999999998	-9.387132000000001
O80	vBC	2.123133	-10.140659
O87	vBIC	0.65687622	-10.2519175
O89	vAAC	-0.184614055	-9.1276745
O90	vBC	1.9562339	-9.3777875
O100	vBC	2.2658521	-10.110933000000001
O102	hBC	1.0225791	-10.158228
O103	vBC	1.2861702	-9.7695425
O104	hBIC	2.2674613	-8.856793249999999
O106	hBC	2.85237145	-9.9931415
O109	vBC	2.2497637000000004	-9.87535
O111	vBC	1.7118165	-10.286472999999999
O113	vBC	0.8200452500000001	-10.31147
O117	vBC	1.4657347	-9.833097500000001
O125	hBIC	1.45304045	-8.895774000000001
O127	vAAC	1.57902395	-10.13390175
O128	vBC	2.3703098	-10.286472999999999
O129	vBC	3.066646	-9.670427
O130	vBC	1.4791413999999998	-9.489044
O131	vBC	2.8217318	-10.483665
O132	vAAC	1.0787873	-9.482908
O134	vBIC	2.46715555	-9.806794
O135	vBC	2.2176378	-9.872394
O137	vBC	2.54134835	-10.001254
O141	vBIC	1.4853086000000002	-9.648776
O145	vBC	2.2152807	-9.489044
O147	vAAC	1.59856255	-9.817654
O149	vAAC	2.4742846000000003	-10.471498749999999
O151	hBIC	2.760617	-10.110933000000001
O159	hBIC	3.3513236000000006	-10.554661
O160	vBC	2.8873868	-9.874035000000001
O162	hBC	2.1196554	-8.572795
O164	vAAC	1.4853086000000002	-9.817654
O165	vBIC	1.5573477	-9.961881
O171	vBC	2.2497637000000004	-10.001254
O204	vBC	0.5850221	-10.8997335
O205	hBC	0.553772955	-9.802831
O210	vBC	2.3703098	-10.2736175
O216	vBC	1.1634294	-9.85767
O222	vBC	1.7128352	-8.9897095
O240	vBC	2.3380632	-9.7684025
O242	vBC	1.6926986000000002	-10.173589499999999
O243	vBC	0.6308411999999999	-9.719614
O248	hBC	2.3703098	-9.87535
O250	vBC	0.9718403	-10.011246
O255	vBC	1.6522169	-10.201184
O284	vBC	0.21225279	-9.366158500000001
O285	vBC	0.6532332299999999	-11.144593
O286	vBC	2.53016535	-10.554661
O287	vBC	2.0413717	-10.072937
O290	vBC	0.4815705	-11.501042
O292	vBC	2.2849184	-9.42146
O296	vBC	0.8381339999999999	-9.649189999999999
O297	vBC	0.6924543750000001	-10.3286635
O299	vBC	1.7398936999999999	-10.263226
O301	vBC	2.4634463999999996	-9.4537975
O427	hBIC	0.6308411999999999	-9.345329750000001
O430	vBC	1.9600743000000003	-9.952538
O433	hBIC	0.6639656	-9.9845385
O434	hBC	2.0860436	-9.3042965
O435	vBC	2.1196554	-9.34694
O439	hBC	0.67399144	-9.725033
O440	hBC	2.0807078000000003	-10.471829
O454	vBC	1.3851708999999999	-10.607925250000001
