Cell	CellType	Plot_X	Plot_Y
O24	hBIC	-13.388555499999999	18.863317000000002
O31	vBIC	-12.642659	-20.296569
O32	vBIC	-35.97748499999999	40.903882499999995
O36	vBC	-43.6112165	34.224814
O39	vBC	-40.201158	-27.438794
O41	vAAC	-8.798112	21.465392
O44	vBIC	-0.185422	0.895337
O46	vBC	-14.134452	12.068958
O47	vBC	-4.6997275	-21.996056
O48	vBC	-12.088740000000001	-26.313008
O49	vBC	-43.872809000000004	-19.5529565
O52	vBC	-2.683404	-28.5535465
O54	hBC	-27.167805	-11.355855
O55	vBC	-14.134452	15.770594000000003
O56	vBIC	11.453614	-31.569258
O58	hBC	-34.639353	-19.5069735
O60	vBC	-0.12315699999999999	-29.504026000000003
O61	hBIC	-5.181386	-6.581478
O62	vBC	-2.969544	-26.875901
O65	hBC	-53.39903399999999	-22.546588000000003
O66	hBIC	-13.388555499999999	-27.438794
O71	hBIC	-34.639353	-0.5840569999999999
O73	vBC	-14.134452	18.863317000000002
O76	vBIC	5.031452499999999	-21.1463125
O78	hBIC	-44.339411999999996	12.989114
O80	vBC	-9.276297999999999	-28.034251
O87	vBIC	-47.838162499999996	-2.3900265000000003
O89	vAAC	-53.6117115	17.3828745
O90	vBC	-40.201158	52.091629999999995
O100	vBC	-34.639353	-20.148365500000004
O102	hBC	-41.5585095	33.599206
O103	vBC	18.51758	-17.793082000000005
O104	hBIC	-14.134452	-30.618778499999998
O106	hBC	-19.490613500000002	-0.5840569999999999
O109	vBC	-17.666195000000002	-24.68117
O111	vBC	-0.12315699999999999	-21.515318
O113	vBC	-34.639353	34.0633085
O117	vBC	-14.134452	-11.355855
O125	hBIC	5.6652285	-21.996056
O127	vAAC	-12.642659	-7.069218500000001
O128	vBC	-5.181386	-21.996056
O129	vBC	-11.534821	-20.296569
O130	vBC	-13.388555499999999	21.465392
O131	vBC	-40.201158	-21.400109
O132	vAAC	-24.386902499999998	-27.438794
O134	vBIC	-40.201158	-30.618778499999998
O135	vBC	-5.181386	-15.826212000000002
O137	vBC	-30.2469345	-20.087168
O141	vBIC	-14.134452	-2.2463625000000027
O145	vBC	-24.386902499999998	6.35815
O147	vAAC	-0.185422	-21.996056
O149	vAAC	-40.201158	-11.355855
O151	hBIC	-14.134452	30.560126500000003
O159	hBIC	-5.181386	0.048652999999999835
O160	vBC	-40.201158	-24.982433999999998
O162	hBC	9.1972115	-20.296569
O164	vAAC	-4.6997275	-26.313008
O165	vBIC	-8.912022499999999	21.738960000000002
O171	vBC	-8.912022499999999	21.465392
O204	vBC	10.068959	-26.806551
O205	hBC	-34.639353	53.60824
O210	vBC	-42.483785	-29.668298999999998
O216	vBC	-6.4140405000000005	37.110821
O222	vBC	-34.639353	-24.982433999999998
O240	vBC	-12.8346365	-27.438794
O242	vBC	10.186062	8.277791500000001
O243	vBC	-16.5056945	16.580034
O248	hBC	-11.534821	-28.5535465
O250	vBC	-4.6997275	-28.251377
O255	vBC	-17.666195000000002	-20.356717
O284	vBC	10.3590585	9.9895705
O285	vBC	-4.73086	-11.355855
O286	vBC	-17.666195000000002	-6.581478
O287	vBC	-13.388555499999999	-27.438794
O290	vBC	-12.642659	-2.8620620000000025
O292	vBC	-14.134452	8.741018500000001
O296	vBC	4.972900999999999	-22.216448
O297	vBC	-16.3663795	-27.300094
O299	vBC	-53.790539	3.7870605
O301	vBC	-57.524268	-0.5840569999999999
O427	hBIC	-49.138229499999994	21.465392
O430	vBC	-0.4806119999999998	37.536816
O433	hBIC	-12.528748499999999	56.7700375
O434	hBC	-59.4164615	6.35815
O435	vBC	-30.2469345	-15.107916
O439	hBC	-43.872809000000004	18.863317000000002
O440	hBC	-10.405559499999999	-31.569258
O454	vBC	-42.483785	-27.438794
