Cell	CellType	Name	gSetType
GSM2658909	Calb2.Cntnap5a.Igfbp6	Kevontae	Calb2.Cntnap5a.Igfbp6
GSM2659245	Calb2.Cntnap5a.Igfbp6	Krishav	Calb2.Cntnap5a.Igfbp6
GSM2659785	Calb2.Cntnap5a.Igfbp6	Zinachidi	Calb2.Cntnap5a.Igfbp6
GSM2659982	Calb2.Cntnap5a.Igfbp6	Eliott	Calb2.Cntnap5a.Igfbp6
GSM2659996	Calb2.Cntnap5a.Igfbp6	Fitzgerald	Calb2.Cntnap5a.Igfbp6
GSM2660049	Calb2.Cntnap5a.Igfbp6	Kamaria	Calb2.Cntnap5a.Igfbp6
GSM2662340	Calb2.Cntnap5a.Igfbp6	Hatch	Calb2.Cntnap5a.Igfbp6
GSM2662374	Calb2.Cntnap5a.Igfbp6	Nana	Calb2.Cntnap5a.Igfbp6
GSM2662632	Calb2.Cntnap5a.Igfbp6	Bindi	Calb2.Cntnap5a.Igfbp6
GSM2663205	Calb2.Cntnap5a.Igfbp6	Avalyn	Calb2.Cntnap5a.Igfbp6
GSM2657733	Calb2.Cntnap5a.Igfbp6	Clay	Calb2.Cntnap5a.Igfbp6
GSM2659904	Calb2.Cntnap5a.Igfbp6	Jerel	Calb2.Cntnap5a.Igfbp6
GSM2660107	Calb2.Cntnap5a.Igfbp6	Arena	Calb2.Cntnap5a.Igfbp6
GSM2660898	Calb2.Cntnap5a.Igfbp6	Naimah	Calb2.Cntnap5a.Igfbp6
GSM2661075	Calb2.Cntnap5a.Igfbp6	Davier	Calb2.Cntnap5a.Igfbp6
GSM2661288	Calb2.Cntnap5a.Igfbp6	Naydeen	Calb2.Cntnap5a.Igfbp6
GSM2661420	Calb2.Cntnap5a.Igfbp6	Ajanae	Calb2.Cntnap5a.Igfbp6
GSM2662526	Calb2.Cntnap5a.Igfbp6	Saran	Calb2.Cntnap5a.Igfbp6
GSM2662535	Calb2.Cntnap5a.Igfbp6	Ahmet	Calb2.Cntnap5a.Igfbp6
GSM2662564	Calb2.Cntnap5a.Igfbp6	Treyveon	Calb2.Cntnap5a.Igfbp6
GSM2662957	Calb2.Cntnap5a.Igfbp6	Chynna	Calb2.Cntnap5a.Igfbp6
GSM2663366	Calb2.Cntnap5a.Igfbp6	Catherin	Calb2.Cntnap5a.Igfbp6
GSM2663469	Calb2.Cntnap5a.Igfbp6	Melis	Calb2.Cntnap5a.Igfbp6
GSM2663602	Calb2.Cntnap5a.Igfbp6	Elysium	Calb2.Cntnap5a.Igfbp6
GSM2662473	Calb2.Cntnap5a.Igfbp6	Evlynn	Calb2.Cntnap5a.Igfbp6
GSM2659508	Calb2.Cntnap5a.Vip	Eliaz	Calb2.Cntnap5a.Vip
GSM2659711	Calb2.Cntnap5a.Vip	Georgiana	Calb2.Cntnap5a.Vip
GSM2659852	Calb2.Cntnap5a.Vip	Brileigh	Calb2.Cntnap5a.Vip
GSM2660082	Calb2.Cntnap5a.Vip	Maxime	Calb2.Cntnap5a.Vip
GSM2660394	Calb2.Cntnap5a.Vip	Liah	Calb2.Cntnap5a.Vip
GSM2660424	Calb2.Cntnap5a.Vip	Soleia	Calb2.Cntnap5a.Vip
GSM2660434	Calb2.Cntnap5a.Vip	Jebadiah	Calb2.Cntnap5a.Vip
GSM2661230	Calb2.Cntnap5a.Vip	Rhylin	Calb2.Cntnap5a.Vip
GSM2661354	Calb2.Cntnap5a.Vip	Zuha	Calb2.Cntnap5a.Vip
GSM2661822	Calb2.Cntnap5a.Vip	Trajan	Calb2.Cntnap5a.Vip
GSM2657536	Calb2.Cntnap5a.Vip	Saurav	Calb2.Cntnap5a.Vip
GSM2657799	Calb2.Cntnap5a.Vip	Rocklynn	Calb2.Cntnap5a.Vip
GSM2658131	Calb2.Cntnap5a.Vip	Brenli	Calb2.Cntnap5a.Vip
GSM2658218	Calb2.Cntnap5a.Vip	Avianna	Calb2.Cntnap5a.Vip
GSM2658830	Calb2.Cntnap5a.Vip	Aleese	Calb2.Cntnap5a.Vip
GSM2659151	Calb2.Cntnap5a.Vip	Rhyan	Calb2.Cntnap5a.Vip
GSM2659684	Calb2.Cntnap5a.Vip	Aaliyah	Calb2.Cntnap5a.Vip
GSM2659739	Calb2.Cntnap5a.Vip	Reniyah	Calb2.Cntnap5a.Vip
GSM2659940	Calb2.Cntnap5a.Vip	Gildardo	Calb2.Cntnap5a.Vip
GSM2660022	Calb2.Cntnap5a.Vip	Tydus	Calb2.Cntnap5a.Vip
GSM2660083	Calb2.Cntnap5a.Vip	Asiya	Calb2.Cntnap5a.Vip
GSM2660115	Calb2.Cntnap5a.Vip	Djimon	Calb2.Cntnap5a.Vip
GSM2660458	Calb2.Cntnap5a.Vip	Jayline	Calb2.Cntnap5a.Vip
GSM2660751	Calb2.Cntnap5a.Vip	Prakriti	Calb2.Cntnap5a.Vip
