Cell	CellType	nbtSNE_x	nbtSNE_y	Latent_factor
Kevontae	Calb2.Cntnap5a.Igfbp6	20.744398	20.361347	-1.356288
Krishav	Calb2.Cntnap5a.Igfbp6	21.459951999999998	25.776104999999998	-1.71143
Zinachidi	Calb2.Cntnap5a.Igfbp6	20.507866	19.667422	-1.918136
Eliott	Calb2.Cntnap5a.Igfbp6	20.365809	19.796868	-2.154826
Fitzgerald	Calb2.Cntnap5a.Igfbp6	20.097137	19.598224	-2.010893
Kamaria	Calb2.Cntnap5a.Igfbp6	18.611489000000002	26.868376	-1.7950400000000002
Hatch	Calb2.Cntnap5a.Igfbp6	16.106174	16.698276999999997	-0.45964399999999994
Nana	Calb2.Cntnap5a.Igfbp6	16.000920999999998	16.766214	-1.360451
Bindi	Calb2.Cntnap5a.Igfbp6	11.699497000000001	18.286864	-0.406604
Avalyn	Calb2.Cntnap5a.Igfbp6	20.675427	30.458295	-1.240314
Clay	Calb2.Cntnap5a.Igfbp6	17.334474	15.323419	-1.2449219999999999
Jerel	Calb2.Cntnap5a.Igfbp6	15.816473	18.946364000000003	-1.903185
Arena	Calb2.Cntnap5a.Igfbp6	18.837802	16.592223	-1.9806860000000002
Naimah	Calb2.Cntnap5a.Igfbp6	22.041385000000002	16.532644	-2.0418580000000004
Davier	Calb2.Cntnap5a.Igfbp6	21.71633	17.540397	-1.450636
Naydeen	Calb2.Cntnap5a.Igfbp6	20.182868	15.306845000000001	-1.501435
Ajanae	Calb2.Cntnap5a.Igfbp6	20.673779	14.073869	-1.382917
Saran	Calb2.Cntnap5a.Igfbp6	17.812399	18.158455	-1.606355
Ahmet	Calb2.Cntnap5a.Igfbp6	20.791698	13.945437	-1.231878
Treyveon	Calb2.Cntnap5a.Igfbp6	22.47379	25.697053	-1.3995950000000001
Chynna	Calb2.Cntnap5a.Igfbp6	18.508963	17.384551000000002	-1.890005
Catherin	Calb2.Cntnap5a.Igfbp6	20.345984	15.346607999999998	-1.594308
Melis	Calb2.Cntnap5a.Igfbp6	22.550283	17.564560999999998	-1.550047
Elysium	Calb2.Cntnap5a.Igfbp6	18.873724	15.254935000000001	-1.8427310000000001
Evlynn	Calb2.Cntnap5a.Igfbp6	23.590405	22.720548	-0.902749
Eliaz	Calb2.Cntnap5a.Vip	27.587165999999996	30.354008	-1.946477
Georgiana	Calb2.Cntnap5a.Vip	26.662827000000004	34.049554	-1.788227
Brileigh	Calb2.Cntnap5a.Vip	14.531158999999999	21.436532	-0.78645
Maxime	Calb2.Cntnap5a.Vip	21.293938	20.949999	-1.106703
Liah	Calb2.Cntnap5a.Vip	34.557648	28.311265999999996	-1.586431
Soleia	Calb2.Cntnap5a.Vip	14.92869	35.099109999999996	-0.46674899999999997
Jebadiah	Calb2.Cntnap5a.Vip	22.343352	19.535501	-1.8179020000000001
Rhylin	Calb2.Cntnap5a.Vip	15.234801000000001	26.277918	-1.465758
Zuha	Calb2.Cntnap5a.Vip	25.277846	27.817173999999998	-1.37529
