	CellType	Reads (M)	Aligned reads (M)	Alignment rate (%)	Gene count (K)	Isoform count (K)
ERS989712	Layer I Interneuron	3.222493	1.542736	47.87399072705511	11.872	27.176
ERS989713	Layer I Interneuron	6.709327	2.028761	30.237921031423866	13.259	26.74
ERS989714	Layer I Interneuron	10.537387	4.435392	42.091953156887946	13.509	31.82
ERS989716	Layer I Interneuron	12.394587	5.230187	42.19734792292797	13.859	33.016
ERS989718	Layer I Interneuron	9.647403	3.283948	34.03970996132327	11.95	25.597
ERS989719	Layer I Interneuron	6.40421	2.804134	43.7857909094174	11.447	24.526
ERS989720	Layer I Interneuron	5.578235	1.686024	30.22504430164738	13.336	29.989
ERS989721	Layer I Interneuron	16.791995	5.80437	34.566291855136924	14.737	32.864
ERS989722	Layer I Interneuron	12.420445	4.414166	35.539515693680855	15.482	34.236
ERS989724	Layer I Interneuron	9.606794	3.796672	39.52069753967869	12.395	27.558
ERS989725	Layer 2/3 Pyramidal	7.191843	2.407543	33.47602276634793	16.085	33.548
ERS989726	Layer I Interneuron	7.697022	2.361592	30.68189229548779	12.867	25.784
ERS989727	Layer I Interneuron	12.892397	4.541528	35.22640514405505	13.25	28.292
ERS989728	Layer I Interneuron	6.454895	3.675309	56.938323551351345	13.166	29.577
ERS989729	Layer 2/3 Pyramidal	10.938052	4.265735	38.999037488576576	14.615	31.091
ERS989730	Layer I Interneuron	4.402371	1.518585	34.49470751102077	10.907	19.845
ERS989732	Layer I Interneuron	9.376934	3.001648	32.01097501592738	11.802	24.712
ERS989733	Layer I Interneuron	8.549254	3.191306	37.328473338141556	11.95	26.719
ERS989734	Layer I Interneuron	12.79523	3.626059	28.33914669763654	12.577	25.743
ERS989735	Layer I Interneuron	13.707116	5.140999	37.50605889670738	13.548	29.755
ERS989736	Layer I Interneuron	14.372949	4.286031	29.820122509305502	17.16	37.155
ERS989737	Layer I Interneuron	10.683526	3.61465	33.83386720826064	12.135	26.856
ERS989738	Layer I Interneuron	7.415154	2.20642	29.755551941335273	11.706	24.155
ERS989739	Layer I Interneuron	6.197349	1.478038	23.84952017386789	9.487	19.25
ERS989740	Layer I Interneuron	7.405952	2.498278	33.733380934686046	11.625	25.348
ERS989742	Layer I Interneuron	8.589907	3.217388	37.45544625803283	11.801	25.517
ERS989743	Layer I Interneuron	6.897943	2.570046	37.258150726963095	11.067	23.715
ERS989744	Layer I Interneuron	7.521255	2.264688	30.110506823661744	10.557	22.045
ERS989745	Layer I Interneuron	4.126637	1.117479	27.079653480546025	11.069	23.242
ERS989746	Layer I Interneuron	3.395747	1.540553	45.36713129688402	11.481	24.393
ERS989747	Layer I Interneuron	7.260835	2.800487	38.56976504768391	12.859	26.576
ERS989748	Layer I Interneuron	11.394801	4.370759	38.35748425970756	12.496	27.152
ERS989749	Layer I Interneuron	7.145989	2.500792	34.99574376618828	9.976	20.933
ERS989750	Layer I Interneuron	7.056856	2.656661	37.64652417450491	11.91	22.319
ERS989751	Layer I Interneuron	7.241435	3.889099	53.706192211902746	12.225	24.708
ERS989752	Layer I Interneuron	5.481256	1.865786	34.039388052665295	13.521	29.897
ERS989753	Layer I Interneuron	10.402411	3.477674	33.431422773047515	13.17	30.269
ERS989755	Layer I Interneuron	9.7803	3.733073	38.169309734875206	12.434	26.265
ERS989756	Layer I Astrocyte	10.560475	2.984909	28.26491232638683	14.382	25.713
ERS989757	Layer I Interneuron	7.970939	2.430475	30.491702420505284	11.227	23.05
ERS989758	Layer I Interneuron	12.805503	3.037403	23.71951339982506	13.005	24.848
ERS989759	Layer I Interneuron	6.074285	2.610318	42.97325528848251	11.722	25.278
ERS989760	Layer I Interneuron	7.629799	2.359879	30.929766301838356	11.773	24.332
ERS989761	Layer I Interneuron	12.512934	4.324922	34.56361233904055	10.636	21.781
ERS989762	Layer I Interneuron	6.81631	2.233646	32.76913755389646	10.754	22.655
ERS989763	Layer I Interneuron	3.003738	1.538726	51.22703777759578	10.193	23.576
ERS989764	Layer I Interneuron	14.176259	5.522576	38.95651172851737	13.59	29.3
ERS989765	Layer I Interneuron	2.793497	1.247092	44.64268263040913	11.531	24.692
ERS989766	Layer I Interneuron	9.569493	3.790097	39.60603764483657	12.347	25.922
ERS989767	Layer I Interneuron	7.070591	3.063888	43.332841625261594	12.511	27.456
ERS989768	Layer I Interneuron	8.302133	3.835607	46.20025962002777	12.724	30.692
ERS989769	Layer I Interneuron	14.984984	4.886381	32.608516632383456	15.563	32.116
