Cell	CellType	Age
ERS989712	Layer I Interneuron	42
ERS989713	Layer I Interneuron	16
ERS989714	Layer I Interneuron	15
ERS989715	Layer I Interneuron	16
ERS989716	Layer I Interneuron	15
ERS989717	Layer I Interneuron	15
ERS989718	Layer I Interneuron	16
ERS989719	Layer I Interneuron	42
ERS989720	Layer I Interneuron	42
ERS989721	Layer I Interneuron	16
ERS989722	Layer I Interneuron	70
ERS989723	Layer 2/3 Pyramidal	48
ERS989724	Layer I Interneuron	15
ERS989725	Layer 2/3 Pyramidal	15
ERS989726	Layer I Interneuron	42
ERS989727	Layer I Interneuron	15
ERS989728	Layer I Interneuron	68
ERS989729	Layer 2/3 Pyramidal	48
ERS989730	Layer I Interneuron	68
ERS989731	Layer I Interneuron	42
ERS989732	Layer I Interneuron	42
ERS989733	Layer I Interneuron	15
ERS989734	Layer I Interneuron	70
ERS989735	Layer I Interneuron	70
ERS989736	Layer I Interneuron	70
ERS989737	Layer I Interneuron	42
ERS989738	Layer I Interneuron	42
ERS989739	Layer I Interneuron	15
ERS989740	Layer I Interneuron	42
ERS989741	Layer I Interneuron	15
ERS989742	Layer I Interneuron	15
ERS989743	Layer I Interneuron	63
ERS989744	Layer I Interneuron	70
ERS989745	Layer I Interneuron	70
ERS989746	Layer I Interneuron	63
ERS989747	Layer I Interneuron	63
ERS989748	Layer I Interneuron	70
ERS989749	Layer I Interneuron	63
ERS989750	Layer I Interneuron	68
ERS989751	Layer I Interneuron	51
ERS989752	Layer I Interneuron	16
ERS989753	Layer I Interneuron	63
ERS989754	Layer 2/3 Pyramidal	48
ERS989755	Layer I Interneuron	15
ERS989756	Layer I Astrocyte	49
ERS989757	Layer I Interneuron	63
ERS989758	Layer I Interneuron	70
ERS989759	Layer I Interneuron	63
ERS989760	Layer I Interneuron	63
ERS989761	Layer I Interneuron	70
ERS989762	Layer I Interneuron	63
ERS989763	Layer I Interneuron	15
ERS989764	Layer I Interneuron	70
ERS989765	Layer I Interneuron	70
ERS989766	Layer I Interneuron	63
ERS989767	Layer I Interneuron	42
ERS989768	Layer I Interneuron	15
ERS989769	Layer I Interneuron	58
