Cell	CellType
GSM2975807	B_Lymph
GSM2975808	B_Lymph
GSM2975809	B_Lymph
GSM2975810	B_Lymph
GSM2975811	B_Lymph
GSM2975812	B_Lymph
GSM2975813	B_Lymph
GSM2975814	B_Lymph
GSM2975815	B_Lymph
GSM2975816	B_Lymph
GSM2975817	B_Lymph
GSM2975818	B_Lymph
GSM2975819	B_Lymph
GSM2975820	B_Lymph
GSM2975821	B_Lymph
GSM2975822	B_Lymph
GSM2975823	B_Lymph
GSM2975824	B_Lymph
GSM2975825	B_Lymph
GSM2975826	B_Lymph
GSM2975827	B_Lymph
GSM2975828	B_Lymph
GSM2975829	B_Lymph
GSM2975830	B_Lymph
GSM2975831	B_Lymph
GSM2975832	B_Lymph
GSM2975833	B_Lymph
GSM2975834	B_Lymph
GSM2975835	B_Lymph
GSM2975836	B_Lymph
GSM2975837	B_Lymph
GSM2975838	B_Lymph
GSM2975839	B_Lymph
GSM2975840	B_Lymph
GSM2975841	B_Lymph
GSM2975842	B_Lymph
GSM2975843	B_Lymph
GSM2975844	B_Lymph
GSM2975845	B_Lymph
GSM2975846	B_Lymph
GSM2975847	B_Lymph
GSM2975848	B_Lymph
GSM2975849	EryB
GSM2975850	EryB
GSM2975851	EryB
GSM2975852	EryB
GSM2975853	EryB
GSM2975854	EryB
GSM2975855	EryB
GSM2975856	EryB
GSM2975857	EryB
GSM2975858	EryB
GSM2975859	EryB
GSM2975860	EryB
GSM2975861	EryB
GSM2975862	EryB
GSM2975863	EryB
GSM2975864	EryB
GSM2975865	EryB
GSM2975866	EryB
GSM2975867	EryB
GSM2975868	EryB
GSM2975869	EryB
GSM2975870	EryB
GSM2975871	EryB
GSM2975872	B_Lymph
GSM2975873	B_Lymph
GSM2975874	EryB
GSM2975875	EryB
GSM2975876	EryB
GSM2975877	EryB
GSM2975878	EryB
GSM2975879	EryB
GSM2975880	EryB
GSM2975881	EryB
GSM2975882	EryB
GSM2975883	EryB
GSM2975884	EryB
GSM2975885	EryB
GSM2975886	EryB
GSM2975887	EryB
GSM2975888	EryB
GSM2975889	EryB
GSM2975890	EryB
GSM2975891	EryB
GSM2975892	EryB
GSM2975893	EryB
GSM2975894	EryB
GSM2975895	EryB
GSM2975896	EryB
GSM2975897	EryB
GSM2975898	EryB
GSM2975899	EryB
GSM2975900	EryB
GSM2975901	EryB
GSM2975902	EryB
GSM2975903	EryB
GSM2975904	EryB
GSM2975905	EryB
GSM2975906	EryB
GSM2975907	EryB
GSM2975908	EryB
GSM2975909	EryB
GSM2975910	EryB
GSM2975911	EryB
GSM2975912	EryB
GSM2975913	EryB
GSM2975914	EryB
GSM2975915	EryB
GSM2975916	EryB
GSM2975917	EryB
GSM2975918	EryB
GSM2975919	EryB
GSM2975920	EryB
GSM2975921	EryB
GSM2975922	EryB
GSM2975923	EryB
GSM2975924	EryB
GSM2975925	EryB
GSM2975926	EryB
GSM2975927	EryB
GSM2975928	EryB
GSM2975929	EryB
GSM2975930	EryB
GSM2975931	EryB
GSM2975932	EryB
GSM2975933	EryB
GSM2975934	EryB
GSM2975935	EryB
GSM2975936	EryB
GSM2975937	EryB
GSM2975938	EryB
GSM2975939	EryB
GSM2975940	EryB
GSM2975941	EryB
GSM2975942	EryB
GSM2975943	EryB
GSM2975944	EryB
GSM2975945	EryB
GSM2975946	EryB
GSM2975947	Grans
GSM2975948	Grans
GSM2975949	Grans
GSM2975950	Grans
GSM2975951	Grans
GSM2975952	Grans
GSM2975953	Grans
GSM2975954	Grans
GSM2975955	Grans
GSM2975956	Grans
GSM2975957	Grans
GSM2975958	Grans
GSM2975959	Grans
GSM2975960	Grans
GSM2975961	Grans
GSM2975962	Grans
GSM2975963	Grans
GSM2975964	Grans
GSM2975965	Grans
GSM2975966	Grans
GSM2975967	Grans
GSM2975968	Grans
GSM2975969	Grans
GSM2975970	Grans
GSM2975971	Grans
GSM2975972	Grans
GSM2975973	Grans
GSM2975974	Grans
GSM2975975	Grans
GSM2975976	Grans
GSM2975977	Grans
GSM2975978	Grans
GSM2975979	Grans
GSM2975980	Grans
GSM2975981	Grans
GSM2975982	Grans
GSM2975983	Grans
GSM2975984	Grans
GSM2975985	Grans
GSM2975986	Grans
GSM2975987	Grans
GSM2975988	Grans
GSM2975989	Grans
GSM2975990	Grans
GSM2975991	Grans
GSM2975992	Grans
GSM2975993	Grans
GSM2975994	Grans
GSM2975995	Grans
GSM2975996	Grans
GSM2975997	Grans
GSM2975998	Grans
GSM2975999	Grans
GSM2976000	Grans
GSM2976001	Grans
GSM2976002	Grans
GSM2976003	Grans
GSM2976004	Grans
GSM2976005	Grans
GSM2976006	Grans
GSM2976007	Grans
GSM2976008	Grans
GSM2976009	Grans
GSM2976010	Grans
GSM2976011	Grans
GSM2976012	Grans
GSM2976013	Grans
GSM2976014	Grans
GSM2976015	Grans
GSM2976016	Grans
GSM2976017	Grans
GSM2976018	Grans
GSM2976019	Grans
GSM2976020	Grans
GSM2976021	Grans
GSM2976022	Grans
GSM2976023	Grans
GSM2976024	Grans
GSM2976025	Grans
GSM2976026	Grans
GSM2976027	Grans
GSM2976028	Grans
GSM2976029	Grans
GSM2976030	Grans
GSM2976031	Grans
GSM2976032	Grans
GSM2976033	Grans
GSM2976034	Grans
GSM2976035	Grans
GSM2976036	Grans
GSM2976037	Grans
GSM2976038	Grans
GSM2976039	Grans
GSM2976040	Grans
GSM2976041	Grans
GSM2976042	Grans
GSM2976043	LSK
GSM2976044	LSK
GSM2976045	LSK
GSM2976046	LSK
GSM2976047	LSK
GSM2976048	LSK
GSM2976049	LSK
GSM2976050	LSK
GSM2976051	LSK
GSM2976052	LSK
GSM2976053	LSK
GSM2976054	LSK
GSM2976055	LSK
GSM2976056	LSK
GSM2976057	LSK
GSM2976058	LSK
GSM2976059	LSK
GSM2976060	LSK
GSM2976061	LSK
GSM2976062	LSK
GSM2976063	LSK
GSM2976064	LSK
GSM2976065	LSK
GSM2976066	LSK
GSM2976067	LSK
GSM2976068	LSK
GSM2976069	LSK
GSM2976070	LSK
GSM2976071	LSK
GSM2976072	LSK
GSM2976073	LSK
GSM2976074	LSK
GSM2976075	LSK
GSM2976076	LSK
GSM2976077	LSK
GSM2976078	LSK
GSM2976079	LSK
GSM2976080	LSK
GSM2976081	LSK
GSM2976082	LSK
GSM2976083	LSK
GSM2976084	LSK
GSM2976085	LSK
