Cell	CellType	Gender	Age
GSM1474251	sscortex	female	26
GSM1474252	sscortex	female	26
GSM1474254	sscortex	female	26
GSM1474256	sscortex	female	26
GSM1474257	sscortex	female	26
GSM1474258	sscortex	female	26
GSM1474259	sscortex	female	26
GSM1474260	sscortex	female	26
GSM1474261	sscortex	female	26
GSM1474262	sscortex	female	26
GSM1474263	sscortex	female	26
GSM1474264	sscortex	female	26
GSM1474265	sscortex	female	26
GSM1474266	sscortex	female	26
GSM1474267	sscortex	female	26
GSM1474268	sscortex	female	26
GSM1474269	sscortex	female	26
GSM1474270	sscortex	female	26
GSM1474271	sscortex	female	26
GSM1474272	sscortex	female	26
GSM1474273	sscortex	female	26
GSM1474274	sscortex	female	26
GSM1474275	sscortex	female	26
GSM1474276	sscortex	female	26
GSM1474277	sscortex	female	26
GSM1474279	sscortex	female	26
GSM1474280	sscortex	female	26
GSM1474281	sscortex	female	26
GSM1474282	sscortex	female	26
GSM1474283	sscortex	female	26
GSM1474284	sscortex	female	26
GSM1474285	sscortex	female	26
GSM1474286	sscortex	female	26
GSM1474287	sscortex	female	26
GSM1474288	sscortex	female	26
GSM1474289	sscortex	female	26
GSM1474290	sscortex	female	26
GSM1474291	sscortex	female	26
GSM1474292	sscortex	female	26
GSM1474293	sscortex	female	26
GSM1474294	sscortex	female	26
GSM1474295	sscortex	female	26
GSM1474296	sscortex	female	26
GSM1474297	sscortex	female	26
GSM1474298	sscortex	female	26
GSM1474299	sscortex	female	26
GSM1474300	sscortex	female	26
GSM1474301	sscortex	female	26
GSM1474302	sscortex	female	26
GSM1474303	sscortex	female	26
GSM1474304	sscortex	female	26
GSM1474305	sscortex	female	26
GSM1474306	sscortex	female	26
GSM1474307	sscortex	female	26
GSM1474308	sscortex	female	26
GSM1474309	sscortex	female	26
GSM1474310	sscortex	female	26
GSM1474311	sscortex	male	26
GSM1474312	sscortex	male	26
GSM1474313	sscortex	male	26
GSM1474314	sscortex	male	26
GSM1474315	sscortex	male	26
GSM1474316	sscortex	male	26
GSM1474317	sscortex	male	26
GSM1474318	sscortex	male	26
GSM1474319	sscortex	male	26
GSM1474320	sscortex	male	26
GSM1474321	sscortex	male	26
GSM1474322	sscortex	male	26
GSM1474323	sscortex	male	26
GSM1474324	sscortex	male	26
GSM1474325	sscortex	male	26
GSM1474326	sscortex	male	26
GSM1474327	sscortex	male	26
GSM1474328	sscortex	male	26
GSM1474329	sscortex	male	26
GSM1474330	sscortex	male	26
GSM1474331	sscortex	male	26
GSM1474332	sscortex	male	26
GSM1474333	sscortex	male	26
GSM1474334	sscortex	male	26
GSM1474335	sscortex	male	26
GSM1474336	sscortex	male	26
GSM1474337	sscortex	male	26
GSM1474338	sscortex	male	26
GSM1474339	sscortex	male	26
GSM1474340	sscortex	male	26
GSM1474341	sscortex	male	26
GSM1474342	sscortex	male	26
GSM1474343	sscortex	male	26
GSM1474344	sscortex	male	26
GSM1474345	sscortex	male	26
GSM1474346	sscortex	male	26
GSM1474347	sscortex	male	26
GSM1474348	sscortex	male	26
GSM1474349	sscortex	male	26
GSM1474350	sscortex	male	26
GSM1474351	sscortex	male	26
GSM1474352	sscortex	male	26
GSM1474353	sscortex	male	26
GSM1474354	sscortex	male	26
GSM1474355	sscortex	male	26
GSM1474356	sscortex	male	26
GSM1474357	sscortex	male	26
GSM1474358	sscortex	male	26
GSM1474359	sscortex	male	26
GSM1474360	sscortex	male	26
GSM1474361	sscortex	male	26
GSM1474362	sscortex	male	26
GSM1474363	sscortex	male	26
GSM1474364	sscortex	male	26
GSM1474365	sscortex	male	26
GSM1474366	sscortex	male	26
GSM1474367	sscortex	male	26
GSM1474368	sscortex	male	26
GSM1474369	sscortex	male	26
GSM1474370	sscortex	male	26
GSM1474371	sscortex	male	26
GSM1474372	sscortex	male	26
GSM1474373	sscortex	male	26
GSM1474374	sscortex	male	26
GSM1474375	sscortex	female	20
GSM1474376	sscortex	female	20
GSM1474377	sscortex	female	20
GSM1474378	sscortex	female	20
GSM1474379	sscortex	female	20
GSM1474380	sscortex	female	20
GSM1474381	sscortex	female	20
GSM1474382	sscortex	female	20
GSM1474383	sscortex	female	20
GSM1474384	sscortex	female	20
GSM1474385	sscortex	female	20
GSM1474386	sscortex	female	20
GSM1474387	sscortex	female	20
GSM1474388	sscortex	female	20
GSM1474389	sscortex	female	20
GSM1474390	sscortex	female	20
GSM1474391	sscortex	female	20
GSM1474392	sscortex	female	20
GSM1474393	sscortex	female	20
GSM1474394	sscortex	female	20
GSM1474395	sscortex	female	20
GSM1474396	sscortex	female	20
GSM1474397	sscortex	female	20
GSM1474398	sscortex	female	20
GSM1474399	sscortex	female	20
GSM1474400	sscortex	female	20
GSM1474401	sscortex	female	20
GSM1474402	sscortex	female	20
GSM1474403	sscortex	female	20
GSM1474404	sscortex	female	20
GSM1474405	sscortex	female	20
GSM1474406	sscortex	female	20
GSM1474407	sscortex	female	20
GSM1474408	sscortex	female	20
GSM1474409	sscortex	female	20
GSM1474410	sscortex	female	20
GSM1474411	sscortex	female	20
GSM1474412	sscortex	female	20
GSM1474413	sscortex	female	20
GSM1474414	sscortex	female	20
GSM1474415	sscortex	female	20
GSM1474416	sscortex	female	20
GSM1474417	sscortex	female	20
GSM1474418	sscortex	female	20
GSM1474419	sscortex	female	20
GSM1474420	sscortex	female	20
GSM1474421	sscortex	female	20
GSM1474422	sscortex	female	20
GSM1474423	sscortex	female	20
GSM1474424	sscortex	female	20
GSM1474425	sscortex	female	20
GSM1474426	sscortex	female	20
GSM1474427	sscortex	female	20
GSM1474428	sscortex	female	20
GSM1474429	sscortex	female	20
GSM1474430	sscortex	female	20
GSM1474431	sscortex	female	20
GSM1474432	sscortex	female	20
GSM1474433	sscortex	female	20
GSM1474434	sscortex	female	20
GSM1474435	sscortex	female	20
GSM1474436	sscortex	female	20
GSM1474437	sscortex	female	20
GSM1474438	sscortex	female	20
GSM1474439	sscortex	female	20
GSM1474440	sscortex	female	20
GSM1474441	sscortex	female	20
GSM1474442	sscortex	female	20
GSM1474443	sscortex	female	20
GSM1474444	sscortex	female	20
GSM1474445	sscortex	female	20
GSM1474446	sscortex	female	24
GSM1474447	sscortex	female	24
GSM1474448	sscortex	female	24
GSM1474449	sscortex	female	24
GSM1474451	sscortex	female	24
GSM1474454	sscortex	female	24
GSM1474455	sscortex	female	24
GSM1474456	sscortex	female	24
GSM1474457	sscortex	female	24
GSM1474458	sscortex	female	24
GSM1474459	sscortex	female	24
GSM1474460	sscortex	female	24
GSM1474462	sscortex	female	24
GSM1474463	sscortex	female	24
GSM1474464	sscortex	female	24
GSM1474466	sscortex	female	24
GSM1474467	sscortex	female	24
GSM1474468	sscortex	female	24
GSM1474469	sscortex	female	24
GSM1474470	sscortex	female	24
GSM1474471	sscortex	female	24
GSM1474473	sscortex	female	24
GSM1474474	sscortex	female	24
GSM1474475	sscortex	female	24
GSM1474476	sscortex	female	24
GSM1474477	sscortex	female	24
GSM1474478	sscortex	female	24
GSM1474479	sscortex	female	24
GSM1474480	sscortex	female	24
GSM1474481	sscortex	female	24
GSM1474482	sscortex	female	24
GSM1474483	sscortex	female	24
GSM1474484	sscortex	female	24
GSM1474485	sscortex	female	24
GSM1474486	sscortex	female	24
GSM1474488	sscortex	female	24
GSM1474489	sscortex	male	28
GSM1474490	sscortex	male	28
GSM1474493	sscortex	male	28
GSM1474494	sscortex	male	28
GSM1474495	sscortex	male	28
GSM1474496	sscortex	male	28
GSM1474497	sscortex	male	28
GSM1474499	sscortex	male	28
GSM1474500	sscortex	male	28
GSM1474501	sscortex	male	28
GSM1474502	sscortex	male	28
GSM1474503	sscortex	male	28
GSM1474504	sscortex	male	28
GSM1474505	sscortex	male	28
GSM1474506	sscortex	male	28
GSM1474509	sscortex	male	28
GSM1474511	sscortex	male	28
GSM1474512	sscortex	male	28
GSM1474514	sscortex	male	28
GSM1474515	sscortex	male	28
GSM1474517	sscortex	male	28
GSM1474518	sscortex	male	28
GSM1474519	sscortex	male	28
GSM1474522	sscortex	male	28
GSM1474523	sscortex	male	28
GSM1474524	sscortex	male	28
GSM1474525	sscortex	male	28
GSM1474527	sscortex	male	28
GSM1474528	sscortex	female	22
GSM1474529	sscortex	female	22
GSM1474530	sscortex	female	22
GSM1474531	sscortex	female	22
GSM1474532	sscortex	female	22
GSM1474533	sscortex	female	22
GSM1474534	sscortex	female	22
GSM1474535	sscortex	female	22
GSM1474536	sscortex	female	22
GSM1474537	sscortex	female	22
GSM1474538	sscortex	female	22
GSM1474539	sscortex	female	22
GSM1474540	sscortex	female	22
GSM1474541	sscortex	female	22
GSM1474542	sscortex	female	22
GSM1474543	sscortex	female	22
GSM1474544	sscortex	female	22
GSM1474545	sscortex	female	22
GSM1474546	sscortex	female	22
GSM1474547	sscortex	female	22
GSM1474548	sscortex	female	22
GSM1474549	sscortex	female	22
GSM1474550	sscortex	female	22
GSM1474551	sscortex	female	22
GSM1474552	sscortex	female	22
GSM1474553	sscortex	female	22
GSM1474554	sscortex	female	22
GSM1474555	sscortex	female	22
GSM1474556	sscortex	female	22
GSM1474557	sscortex	female	22
GSM1474558	sscortex	female	22
GSM1474559	sscortex	female	22
GSM1474560	sscortex	female	22
GSM1474561	sscortex	female	22
GSM1474562	sscortex	female	22
GSM1474563	sscortex	female	22
GSM1474564	sscortex	female	22
GSM1474565	sscortex	female	22
GSM1474566	sscortex	female	22
GSM1474567	sscortex	female	22
GSM1474568	sscortex	female	22
GSM1474569	sscortex	female	22
GSM1474570	sscortex	female	22
GSM1474571	sscortex	female	22
GSM1474572	sscortex	female	22
GSM1474573	sscortex	female	22
GSM1474574	sscortex	female	22
GSM1474575	sscortex	female	22
GSM1474576	sscortex	female	22
GSM1474577	sscortex	female	22
GSM1474578	sscortex	female	22
GSM1474579	sscortex	female	22
GSM1474580	sscortex	female	22
GSM1474581	sscortex	male	23
GSM1474582	sscortex	male	23
GSM1474583	sscortex	male	23
GSM1474584	sscortex	male	23
GSM1474587	sscortex	male	23
GSM1474588	sscortex	male	23
GSM1474589	sscortex	male	23
GSM1474590	sscortex	male	23
GSM1474591	sscortex	male	23
GSM1474592	sscortex	male	23
GSM1474594	sscortex	male	23
GSM1474595	sscortex	male	23
GSM1474596	sscortex	male	23
GSM1474597	sscortex	male	23
GSM1474598	sscortex	male	23
GSM1474599	sscortex	male	23
GSM1474600	sscortex	male	23
GSM1474601	sscortex	male	23
GSM1474602	sscortex	male	23
GSM1474603	sscortex	male	23
GSM1474604	sscortex	male	23
GSM1474606	sscortex	male	23
GSM1474607	sscortex	male	23
GSM1474608	sscortex	male	23
GSM1474609	sscortex	male	23
GSM1474610	sscortex	male	23
GSM1474613	sscortex	male	23
GSM1474614	sscortex	male	23
