Cell	CellType	Age
GSM2656741	Pvalb.C1ql1.Pvalb	27
GSM2656742	Unknown	27
GSM2656743	Calb2.Vip.Nos1	27
GSM2656744	Unknown	27
GSM2656745	Unknown	27
GSM2656746	Unknown	27
GSM2656747	Unknown	27
GSM2656748	Unknown	27
GSM2656749	Sst.Nos1	27
GSM2656750	Unknown	27
GSM2656751	Cacna2d1.Ndnf.Npy	27
GSM2656752	Unknown	27
GSM2656753	Unknown	27
GSM2656754	Unknown	27
GSM2656755	Unknown	27
GSM2656756	Unknown	27
GSM2656757	Unknown	27
GSM2656758	Unknown	27
GSM2656759	Unknown	27
GSM2656760	Unknown	27
GSM2656761	Unknown	27
GSM2656762	Unknown	27
GSM2656763	Unknown	27
GSM2656764	Unknown	27
GSM2656765	Unknown	27
GSM2656766	Unknown	27
GSM2656767	Unknown	27
GSM2656768	Unknown	27
GSM2656769	Unknown	27
GSM2656770	Cacna2d1.Lhx6.Reln	27
GSM2656771	Unknown	27
GSM2656772	Unknown	27
GSM2656773	Unknown	27
GSM2656774	Unknown	27
GSM2656775	Unknown	27
GSM2656776	Unknown	27
GSM2656777	Unknown	27
GSM2656778	Unknown	27
GSM2656779	Unknown	27
GSM2656780	Unknown	27
GSM2656781	Unknown	27
GSM2656782	Unknown	27
GSM2656783	Unknown	27
GSM2656784	Unknown	27
GSM2656785	Unknown	27
GSM2656786	Unknown	27
GSM2656787	Unknown	27
GSM2656788	Cacna2d1.Lhx6.Reln	27
GSM2656789	Unknown	27
GSM2656790	Unknown	27
GSM2656791	Unknown	27
GSM2656792	Unknown	27
GSM2656793	Unknown	27
GSM2656794	Unknown	27
GSM2656795	Unknown	27
GSM2656796	Unknown	27
GSM2656797	Calb2.Cryab	27
GSM2656798	Unknown	27
GSM2656799	Unknown	27
GSM2656800	Unknown	27
GSM2656801	Unknown	27
GSM2656802	Unknown	27
GSM2656803	Unknown	27
GSM2656804	Calb2.Cryab	27
GSM2656805	Unknown	27
GSM2656806	Unknown	27
GSM2656807	Unknown	27
GSM2656808	Unknown	27
GSM2656809	Cacna2d1.Lhx6.Reln	27
GSM2656810	Unknown	27
GSM2656811	Unknown	27
GSM2656812	Unknown	27
GSM2656813	Unknown	27
GSM2656814	Unknown	27
GSM2656815	Unknown	27
GSM2656816	Unknown	27
GSM2656817	Unknown	27
GSM2656818	Unknown	27
GSM2656819	Unknown	27
GSM2656820	Unknown	27
GSM2656821	Unknown	27
GSM2656822	Unknown	27
GSM2656823	Unknown	27
GSM2656824	Unknown	27
GSM2656825	Unknown	27
GSM2656826	Unknown	27
GSM2656827	Unknown	27
GSM2656828	Unknown	27
GSM2656829	Calb2.Vip.Nos1	27
GSM2656830	Unknown	27
GSM2656831	Calb2.Vip.Gpd1	27
GSM2656832	Unknown	27
GSM2656833	Unknown	27
GSM2656834	Unknown	27
GSM2656835	Cacna2d1.Lhx6.Reln	27
GSM2656836	Sst.Npy.Serpine2	27
GSM2656837	Pvalb.C1ql1.Pvalb	27
GSM2656838	Unknown	27
GSM2656839	Unknown	27
GSM2656840	Unknown	27
GSM2656841	Unknown	27
GSM2656842	Cck.Cxcl14.Calb1.Kctd12	27
GSM2656843	Unknown	27
