Cell	CellType
601506507	Vip Gpc3 Slc18a3
601803754	Sst Calb2 Pdlim5
601808698	Sst Hpse Cbln4
601810307	Sst Calb2 Necab1
601811091	Sst Esm1
602231708	Sst Calb2 Pdlim5
604626221	Vip Gpc3 Slc18a3
604646725	Vip Pygm C1ql1
605160536	Vip Crispld2 Kcne4
606098116	Pvalb Tpbg
606271263	Pvalb Vipr2
606308411	Pvalb Vipr2
611497391	Vip Rspo4 Rxfp1 Chat
612271508	Vip Rspo4 Rxfp1 Chat
612893105	Vip Rspo4 Rxfp1 Chat
613432876	Vip Rspo4 Rxfp1 Chat
614728680	Pvalb Reln Itm2a
623326953	Sst Calb2 Pdlim5
623415197	Pvalb Tpbg
623813235	Sst Hpse Sema3c
623891125	Sst Calb2 Pdlim5
623945953	Sst Calb2 Pdlim5
623989470	Sst Rxfp1 Prdm8
626069976	Sst Calb2 Pdlim5
626082009	Sst Rxfp1 Prdm8
626103966	Sst Calb2 Pdlim5
627881581	Sst Hpse Cbln4
627883518	Sst Hpse Sema3c
636854912	Sst Hpse Cbln4
636856236	Sst Hpse Cbln4
636946168	Sst Rxfp1 Prdm8
637321656	Vip Lmo1 Myl1
637327988	Vip Crispld2 Kcne4
637362685	Sst Calb2 Pdlim5
637381329	Lamp5 Lsp1
637824948	Vip Chat Htr1f
637846989	Lamp5 Lsp1
637853303	Vip Crispld2 Kcne4
637866154	Lamp5 Lsp1
637879731	Vip Lect1 Oxtr
637886938	Vip Igfbp6 Car10
637919747	Pvalb Reln Itm2a
638205354	Lamp5 Lsp1
638212024	Lamp5 Ntn1 Npy2r
638225388	Lamp5 Lsp1
638356259	Pvalb Reln Itm2a
638775149	Vip Crispld2 Kcne4
639002031	Vip Igfbp4 Mab21l1
639004612	Vip Igfbp4 Mab21l1
639013022	Vip Rspo1 Itga4
639016154	Vip Lmo1 Myl1
639018115	Vip Lmo1 Myl1
639018814	Lamp5 Lsp1
639210975	Vip Igfbp4 Mab21l1
639216491	Vip Chat Htr1f
639216521	Lamp5 Lsp1
639226535	Vip Crispld2 Kcne4
639380048	Vip Pygm C1ql1
639389307	Vip Crispld2 Htr2c
639390023	Vip Ptprt Pkp2
639395418	Vip Ptprt Pkp2
639674270	Vip Lmo1 Fam159b
639689999	Lamp5 Lsp1
639701690	Pvalb Gpr149 Islr
639708328	Sst Esm1
639796648	Lamp5 Lsp1
639797308	Pvalb Tpbg
639824809	Vip Ptprt Pkp2
639841063	Sst Hpse Cbln4
639862877	Sst Hpse Cbln4
639881631	Sst Myh8 Etv1 
639881942	Pvalb Tpbg
639962984	Sst Tac1 Htr1d
639965232	Pvalb Reln Itm2a
639979263	Sst Hpse Cbln4
640006232	Pvalb Tpbg
640061596	Sst Chodl
640106803	Lamp5 Lsp1
640109830	Vip Ptprt Pkp2
640263789	Vip Pygm C1ql1
640280740	Vip Lect1 Oxtr
640311818	Lamp5 Lsp1
640317055	Sst Nr2f2 Necab1
642110310	Lamp5 Lsp1
642124659	Lamp5 Lsp1
