Cell	CellType	CellBody	Age
O24	hBIC	SO	37
O26	UC	SO	37
O31	vBIC	SO	37
O32	vBIC	SO	38
O34	UC	SO	38
O35	UC	SO	38
O36	vBC	SP	38
O39	vBC	SP	24
O41	vAAC	SP	24
O43	UC		29
O44	vBIC	SO	29
O46	vBC	SO	29
O47	vBC	SO	30
O48	vBC	SP	30
O49	vBC	SP	30
O52	vBC	SP	31
O54	hBC	SO	31
O55	vBC	SP	31
O56	vBIC	SO	31
O58	hBC	SO	31
O59	vBC	SP	32
O60	vBC	SP	32
O61	hBIC	SO	32
O62	vBC	SP	37
O65	hBC	SO	37
O66	hBIC	SO	46
O71	hBIC	SO	47
O73	vBC	SP	47
O76	vBIC	SO	47
O78	hBIC	SO	58
O80	vBC	SR	58
O87	vBIC	SP	64
O89	vAAC	SP	68
O90	vBC	SP	68
O100	vBC	SO	77
O102	hBC	SO	29
O103	vBC	SP	29
O104	hBIC	SO	29
O106	hBC	SO	29
O109	vBC	SP	34
O111	vBC	SP	34
O113	vBC	SP	36
O114	vBC	SP	36
O117	vBC	SP	36
O125	hBIC	SO	46
O127	vAAC	SP	46
O128	vBC	SP	46
O129	vBC	SO	46
O130	vBC	SP	47
O131	vBC	SP	47
O132	vAAC	SP	48
O134	vBIC	SO	48
O135	vBC	SP	26
O137	vBC	SO	26
O138	vBC	SP	26
O139	hBC	SO	31
O141	vBIC	SO	31
O145	vBC	SO	24
O147	vAAC	SP	30
O149	vAAC	SP	30
O151	hBIC	SO	30
O159	hBIC	SO	22
O160	vBC	SP	22
O162	hBC	SO	22
O164	vAAC	SP	23
O165	vBIC	SO	23
O171	vBC	SP	23
O204	vBC	SP	11
O205	hBC	SO	12
O210	vBC	SP	15
O211	vBC	SP	15
O216	vBC	SP	16
O218	vBC	SP	16
O220	hBC	SO	17
O221	hBC	SO	17
O222	vBC	SP	17
O240	vBC	SP	10
O242	vBC	SP	10
O243	vBC	SP	10
O246	vBC	SP	11
O248	hBC	SO	11
O250	vBC	SP	11
O251	vBC	SP	11
O255	vBC	SP	20
O282	vBC	SP	20
O284	vBC	SP	18
O285	vBC	SP	18
O286	vBC	SP	18
O287	vBC	SP	18
O290	vBC	SP	19
O292	vBC	SP	19
O296	vBC	SP	19
O297	vBC	SP	19
O299	vBC	SP	19
O300	vBC	SP	19
O301	vBC	SP	19
O303	vBC	SP	20
O304	vBC	SP	20
O305	vBC	SP	20
O422	UC	SU	24
O423	UC	SU	24
O424	hBC	SU	24
O425	hBIC	SU	24
O426	hBC	SU	24
O427	hBIC	SU	24
O428	UC	SU	24
O429	hBIC	SU	24
O430	vBC	SU	24
O431	UC	SU	24
O433	hBIC	SU	25
O434	hBC	SU	25
O435	vBC	SU	25
O436	UC	SU	25
O439	hBC	SU	25
O440	hBC	SU	26
O441	UC	SU	26
O442	Cortical	SU	26
O443	Cortical	SU	26
O444	Cortical	SU	26
O445	Cortical	SU	26
O447	Cortical	SU	26
O448	Cortical	SU	26
O449	UC	SU	26
O450	hBIC	SU	27
O451	UC	SU	27
O452	UC	SU	27
O453	UC	SU	27
O454	vBC	SU	27
