Run,Assay Type,AvgSpotLen,BioProject,BioSample,cell_id,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession,Instrument,LibraryLayout,LibrarySelection,LibrarySource,MBases,MBytes,Organism,Platform,ReleaseDate,sample_acc,Sample Name,source_name,SRA Study,strain,tissue
SRR7770321,RNA-Seq,46,PRJNA488609,SAMN09937900,42c,Pthlh,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4625894,GSM3362199,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,17,14,Mus musculus,ILLUMINA,2018-09-25T00:00:00Z,SRS3727428,GSM3362199,5HT3aEGFP_striatum,SRP159173,5HT3aEGFP,dorso-lateral striatum
SRR7770322,RNA-Seq,46,PRJNA488609,SAMN09937899,77,Pthlh,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4625895,GSM3362200,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,18,15,Mus musculus,ILLUMINA,2018-09-25T00:00:00Z,SRS3727430,GSM3362200,5HT3aEGFP_striatum,SRP159173,5HT3aEGFP,dorso-lateral striatum
SRR7770323,RNA-Seq,46,PRJNA488609,SAMN09937898,84,Th,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4625896,GSM3362201,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,18,15,Mus musculus,ILLUMINA,2018-09-25T00:00:00Z,SRS3727429,GSM3362201,5HT3aEGFP_striatum,SRP159173,5HT3aEGFP,dorso-lateral striatum
SRR7770324,RNA-Seq,46,PRJNA488609,SAMN09937897,86,Th,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4625897,GSM3362202,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,9,7,Mus musculus,ILLUMINA,2018-09-25T00:00:00Z,SRS3727431,GSM3362202,5HT3aEGFP_striatum,SRP159173,5HT3aEGFP,dorso-lateral striatum
SRR7770325,RNA-Seq,46,PRJNA488609,SAMN09937896,89,Th,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4625898,GSM3362203,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,15,13,Mus musculus,ILLUMINA,2018-09-25T00:00:00Z,SRS3727432,GSM3362203,5HT3aEGFP_striatum,SRP159173,5HT3aEGFP,dorso-lateral striatum
SRR7770326,RNA-Seq,46,PRJNA488609,SAMN09937895,97,Pthlh,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4625899,GSM3362204,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,12,10,Mus musculus,ILLUMINA,2018-09-25T00:00:00Z,SRS3727433,GSM3362204,5HT3aEGFP_striatum,SRP159173,5HT3aEGFP,dorso-lateral striatum
SRR7770327,RNA-Seq,46,PRJNA488609,SAMN09937913,98,Pthlh,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4625900,GSM3362205,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,23,19,Mus musculus,ILLUMINA,2018-09-25T00:00:00Z,SRS3727434,GSM3362205,5HT3aEGFP_striatum,SRP159173,5HT3aEGFP,dorso-lateral striatum
SRR7770328,RNA-Seq,46,PRJNA488609,SAMN09937912,100,No,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4625901,GSM3362206,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,19,16,Mus musculus,ILLUMINA,2018-09-25T00:00:00Z,SRS3727436,GSM3362206,5HT3aEGFP_striatum,SRP159173,5HT3aEGFP,dorso-lateral striatum
SRR7770329,RNA-Seq,46,PRJNA488609,SAMN09937911,102,Npy/Mia,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4625902,GSM3362207,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,11,9,Mus musculus,ILLUMINA,2018-09-25T00:00:00Z,SRS3727435,GSM3362207,5HT3aEGFP_striatum,SRP159173,5HT3aEGFP,dorso-lateral striatum
SRR7770330,RNA-Seq,46,PRJNA488609,SAMN09937910,113,Pthlh,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4625903,GSM3362208,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,12,10,Mus musculus,ILLUMINA,2018-09-25T00:00:00Z,SRS3727437,GSM3362208,5HT3aEGFP_striatum,SRP159173,5HT3aEGFP,dorso-lateral striatum
