	CellType	Reads (M)	Aligned reads (M)	Alignment rate (%)	Gene count (K)	Isoform count (K)
GSM1474251	sscortex	1.429252	0.46991	32.878036903219304	4.002	5.112
GSM1474252	sscortex	1.675842	0.563707	33.637240264893705	4.597	5.903
GSM1474257	sscortex	1.84847	0.708413	38.32428981806575	5.275	6.921
GSM1474258	sscortex	1.880044	0.754839	40.15007095578614	4.76	6.198
GSM1474259	sscortex	1.277054	0.520823	40.783161870993716	4.664	5.976
GSM1474260	sscortex	1.542794	0.439602	28.493888360986624	4.974	6.445
GSM1474261	sscortex	1.355004	0.42637	31.466327774678156	3.81	4.839
GSM1474264	sscortex	1.154647	0.366211	31.716273458468258	3.747	4.641
GSM1474265	sscortex	2.159142	0.629207	29.14152936675772	5.802	7.632
GSM1474269	sscortex	1.512648	0.606055	40.06583157482772	5.07	6.667
GSM1474270	sscortex	1.040496	0.372754	35.824645169226976	4.604	5.929
GSM1474274	sscortex	1.34985	0.353939	26.220617105604326	3.678	4.573
GSM1474279	sscortex	2.07081	0.918818	44.36998082875783	6.09	8.224
GSM1474280	sscortex	1.546212	0.333985	21.600207474783534	3.743	4.615
GSM1474283	sscortex	1.436649	0.41226	28.6959445208955	3.894	4.868
GSM1474284	sscortex	1.619728	0.358804	22.152114429089327	3.68	4.569
GSM1474288	sscortex	1.677149	0.363588	21.67893252179741	4.216	5.236
GSM1474290	sscortex	1.925835	0.746165	38.745011903927384	4.722	6.09
GSM1474294	sscortex	2.240043	0.906156	40.4526163113833	5.028	6.577
GSM1474295	sscortex	2.051986	0.536706	26.15544160632675	3.761	4.638
GSM1474296	sscortex	1.905996	0.595943	31.266749772822187	5.117	6.616
GSM1474301	sscortex	1.232325	0.388693	31.54143590367801	4.085	5.1
GSM1474302	sscortex	1.15225	0.317285	27.53612497287915	3.962	4.934
GSM1474303	sscortex	1.520393	0.561398	36.924532012446775	4.256	5.433
GSM1474304	sscortex	1.458553	0.515539	35.34592160860798	4.247	5.373
GSM1474305	sscortex	1.201583	0.437557	36.41504581872413	3.865	4.941
GSM1474306	sscortex	1.543793	0.538924	34.90908431376486	4.571	5.872
GSM1474307	sscortex	1.792499	0.684087	38.16387066324723	5.872	7.825
GSM1474308	sscortex	1.564119	0.557942	35.671326798024964	5.418	7.124
GSM1474309	sscortex	1.185839	0.262144	22.106204973862383	4.239	5.342
GSM1474310	sscortex	2.295423	0.69204	30.14869154835514	6.013	8.035
GSM1474312	sscortex	1.865669	0.517972	27.76333851288733	4.598	5.993
GSM1474313	sscortex	1.162252	0.277528	23.878470417775148	3.953	5.023
