Run,Age,Assay Type,AvgSpotLen,BioProject,BioSample,cell/tissue_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession,Instrument,LibraryLayout,LibrarySelection,LibrarySource,MBases,MBytes,Organism,Platform,ReleaseDate,sample_acc,Sample Name,sample_type,source_name,SRA Study,replicate
SRR3082987,post natal week 3-4,RNA-Seq,260,PRJNA307566,SAMN04383354,CA1 cholecystokinin cell,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1514807,GSM2026617,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,3927,1925,Mus musculus,ILLUMINA,2016-08-19T00:00:00Z,SRS1233643,GSM2026617,single cell,CA1 regular-spiking interneuron,SRP068021,
SRR3082988,post natal week 3-4,RNA-Seq,253,PRJNA307566,SAMN04383355,CA1 pyramidal cell,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1514808,GSM2026618,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,1190,583,Mus musculus,ILLUMINA,2016-08-19T00:00:00Z,SRS1233642,GSM2026618,single cell,CA1 pyramidal cell,SRP068021,
SRR3082989,post natal week 3-4,RNA-Seq,260,PRJNA307566,SAMN04383356,CA1 cholecystokinin cell,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1514809,GSM2026619,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,3772,1835,Mus musculus,ILLUMINA,2016-08-19T00:00:00Z,SRS1233640,GSM2026619,single cell,CA1 regular-spiking interneuron,SRP068021,
SRR3082990,post natal week 3-4,RNA-Seq,261,PRJNA307566,SAMN04383357,CA1 pyramidal cell,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1514810,GSM2026620,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,3160,1538,Mus musculus,ILLUMINA,2016-08-19T00:00:00Z,SRS1233641,GSM2026620,single cell,CA1 pyramidal cell,SRP068021,
SRR3082991,post natal week 3-4,RNA-Seq,261,PRJNA307566,SAMN04383358,CA1 cholecystokinin cell,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1514811,GSM2026621,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,2026,1031,Mus musculus,ILLUMINA,2016-08-19T00:00:00Z,SRS1233639,GSM2026621,single cell,CA1 regular-spiking interneuron,SRP068021,
SRR3082992,post natal week 3-4,RNA-Seq,257,PRJNA307566,SAMN04383359,CA1 pyramidal cell,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1514812,GSM2026622,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,1088,530,Mus musculus,ILLUMINA,2016-08-19T00:00:00Z,SRS1233638,GSM2026622,single cell,CA1 pyramidal cell,SRP068021,
SRR3082993,post natal week 3-4,RNA-Seq,261,PRJNA307566,SAMN04383360,CA1 cholecystokinin cell,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1514813,GSM2026623,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,3131,1516,Mus musculus,ILLUMINA,2016-08-19T00:00:00Z,SRS1233636,GSM2026623,single cell,CA1 regular-spiking interneuron,SRP068021,
SRR3082994,post natal week 3-4,RNA-Seq,256,PRJNA307566,SAMN04383361,CA1 pyramidal cell,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1514814,GSM2026624,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,1513,740,Mus musculus,ILLUMINA,2016-08-19T00:00:00Z,SRS1233637,GSM2026624,single cell,CA1 pyramidal cell,SRP068021,
SRR3082995,post natal week 3-4,RNA-Seq,260,PRJNA307566,SAMN04383362,CA1 cholecystokinin cell,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1514815,GSM2026625,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,2670,1308,Mus musculus,ILLUMINA,2016-08-19T00:00:00Z,SRS1233635,GSM2026625,single cell,CA1 regular-spiking interneuron,SRP068021,
SRR3082996,post natal week 3-4,RNA-Seq,261,PRJNA307566,SAMN04383363,CA1 pyramidal cell,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1514816,GSM2026626,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,3270,1591,Mus musculus,ILLUMINA,2016-08-19T00:00:00Z,SRS1233634,GSM2026626,single cell,CA1 pyramidal cell,SRP068021,
