	CellType	Reads (M)	Aligned reads (M)	Alignment rate (%)	Gene count (K)	Isoform count (K)
601803754	Sst Calb2 Pdlim5	0.812158	0.494212	60.851706195099965	7.819	14.976
601808698	Sst Hpse Cbln4	0.735618	0.500933	68.09689268071199	8.306	16.999
606098116	Pvalb Tpbg	1.472781	0.859818	58.38057389387832	9.293	18.375
606271263	Pvalb Vipr2	1.646819	1.086708	65.9883083690436	8.824	17.236
612271508	Vip Rspo4 Rxfp1 Chat	2.28272	1.588738	69.59846148454476	9.231	17.635
612893105	Vip Rspo4 Rxfp1 Chat	1.797272	1.125067	62.59859386893025	8.857	17.013
613432876	Vip Rspo4 Rxfp1 Chat	2.081026	1.343217	64.54590187724709	7.695	14.056
614728680	Pvalb Reln Itm2a	2.016992	1.136603	56.351388602433715	8.961	17.609
623326953	Sst Calb2 Pdlim5	1.053753	0.775955	73.6372755285157	7.877	13.762
623415197	Pvalb Tpbg	1.108806	0.741508	66.87445775004825	7.771	14.006
623813235	Sst Hpse Sema3c	1.18484	0.794782	67.0792680868303	8.046	15.827
623891125	Sst Calb2 Pdlim5	1.13101	0.643532	56.89887799400536	8.273	16.311
623945953	Sst Calb2 Pdlim5	1.157333	0.70428	60.853704162933234	9.026	17.735
623989470	Sst Rxfp1 Prdm8	1.209203	0.673321	55.68304081283291	9.383	18.6
626069976	Sst Calb2 Pdlim5	1.120744	0.683492	60.98555959255637	8.821	17.435
626082009	Sst Rxfp1 Prdm8	1.070126	0.586636	54.819339031104754	9.572	18.595
626103966	Sst Calb2 Pdlim5	1.081228	0.760711	70.35620609159216	11.049	23.527
627881581	Sst Hpse Cbln4	1.382673	0.725932	52.50207388153236	9.816	19.721
636854912	Sst Hpse Cbln4	1.400203	0.661527	47.24507803511347	8.569	16.796
636856236	Sst Hpse Cbln4	1.583592	0.829966	52.410343068164025	9.353	18.313
636946168	Sst Rxfp1 Prdm8	1.06573	0.710594	66.67673801056551	7.705	14.47
637321656	Vip Lmo1 Myl1	1.494271	1.038209	69.47929793190124	9.246	17.94
637327988	Vip Crispld2 Kcne4	1.761866	0.819577	46.51755581866045	8.532	14.752
637362685	Sst Calb2 Pdlim5	1.453501	0.853627	58.72902736221028	8.477	15.8
637381329	Lamp5 Lsp1	1.296355	0.667486	51.48944540654373	10.509	20.779
637824948	Vip Chat Htr1f	1.512649	0.988936	65.37775782749337	7.39	13.098
637846989	Lamp5 Lsp1	1.472233	0.80334	54.56609110106893	9.889	20.283
637853303	Vip Crispld2 Kcne4	1.324198	0.650186	49.10036112424275	8.596	16.183
637866154	Lamp5 Lsp1	1.337257	0.841626	62.93674289983152	8.385	16.899
637879731	Vip Lect1 Oxtr	1.244759	0.639561	51.380307352668275	7.974	14.645
637886938	Vip Igfbp6 Car10	1.356063	1.117995	82.44417847843353	9.223	18.772
637919747	Pvalb Reln Itm2a	1.318093	0.68725	52.13972003492925	8.865	16.931
638205354	Lamp5 Lsp1	1.372394	0.760496	55.41382430992849	8.253	15.454
638212024	Lamp5 Ntn1 Npy2r	1.515836	0.921827	60.813109069846604	8.604	15.931
638225388	Lamp5 Lsp1	1.471649	0.93313	63.40710318832819	9.841	19.617
638356259	Pvalb Reln Itm2a	1.368176	0.845708	61.81280770894973	8.084	15.401
639002031	Vip Igfbp4 Mab21l1	1.40765	0.883873	62.79067950129649	7.942	13.907
639004612	Vip Igfbp4 Mab21l1	1.304807	0.907049	69.51595140124172	8.063	14.447
639018814	Lamp5 Lsp1	1.4004	0.809347	57.79398743216224	8.629	16.842
639210975	Vip Igfbp4 Mab21l1	1.48154	0.796	53.727877748828924	7.344	12.945
639216521	Lamp5 Lsp1	1.490885	0.92623	62.126186795091506	8.996	17.816
639380048	Vip Pygm C1ql1	1.526055	0.960982	62.971649121427475	7.764	13.637
639390023	Vip Ptprt Pkp2	1.487157	0.918522	61.76362011542829	7.872	14.397
639395418	Vip Ptprt Pkp2	1.490815	0.707684	47.46960555132595	7.458	12.432
639689999	Lamp5 Lsp1	1.57395	0.912086	57.948854792083615	8.794	17.324
639708328	Sst Esm1	1.62456	0.932153	57.378797951445314	9.124	17.995
639796648	Lamp5 Lsp1	1.411348	1.154458	81.79825245084841	10.522	22.267
639797308	Pvalb Tpbg	1.593171	0.986516	61.92153886808133	9.021	18.044
639841063	Sst Hpse Cbln4	1.576358	0.881523	55.92149752784583	7.645	13.494
639862877	Sst Hpse Cbln4	1.608838	0.880968	54.75803032996486	8.745	17.363
639881631	Sst Myh8 Etv1 	1.598676	0.778844	48.71806419812395	8.304	16.014
639881942	Pvalb Tpbg	1.65479	0.904808	54.67811625644341	7.932	14.054
639962984	Sst Tac1 Htr1d	1.704249	0.890602	52.25773933269141	9.951	20.558
639965232	Pvalb Reln Itm2a	1.090817	0.41456	38.00454155004919	7.793	12.335
639979263	Sst Hpse Cbln4	1.719032	0.822832	47.86600831165447	8.467	15.347
640006232	Pvalb Tpbg	1.632237	1.234271	75.61836914614727	9.17	18.231
640061596	Sst Chodl	0.990882	0.639653	64.55390248283852	9.177	18.049
640106803	Lamp5 Lsp1	1.60113	0.813217	50.790191926951586	8.655	16.309
640109830	Vip Ptprt Pkp2	1.622101	0.874705	53.924200774181145	7.469	12.75
640280740	Vip Lect1 Oxtr	1.458401	0.95609	65.5574152787882	8.047	14.883
640317055	Sst Nr2f2 Necab1	1.628514	0.595178	36.54730631729294	9.565	18.456
642110310	Lamp5 Lsp1	1.51651	0.723579	47.713434134954596	9.366	18.903
642124659	Lamp5 Lsp1	1.588767	1.024146	64.46168632656645	8.537	16.368
642258974	Sst Rxfp1 Prdm8	1.670508	0.583354	34.92075464469491	8.926	16.545
642478957	Sst Hpse Cbln4	1.322481	0.489313	36.99962419119821	7.908	14.358
642532676	Lamp5 Lsp1	1.307401	0.578304	44.233100632476194	9.306	18.275
642568816	Vip Ptprt Pkp2	1.542914	0.602457	39.046699945687195	8.604	14.54
642569032	Vip Lmo1 Myl1	1.168632	0.405817	34.72581616796391	7.701	13.558
642791355	Vip Lmo1 Myl1	1.507375	0.930283	61.715432457085996	9.139	17.654
642817252	Vip Lect1 Oxtr	1.321491	0.516024	39.048620081408046	7.522	13.132
642827810	Lamp5 Lsp1	1.320988	0.820028	62.07686973689389	8.101	15.219
642842839	Lamp5 Plch2 Dock5	1.427852	0.73427	51.424797528035114	8.997	17.318
643004718	Vip Crispld2 Kcne4	1.591529	0.874721	54.96104689264223	8.949	17.607
643251590	Lamp5 Lsp1	1.522155	0.968196	63.606925707303134	8.344	15.733
643479119	Sst Hpse Cbln4	1.471461	0.612944	41.65547031147955	7.645	14.05
643479544	Sst Hpse Cbln4	1.303222	0.680758	52.236533760172854	9.418	19.646
643501610	Lamp5 Lsp1	1.378016	0.76272	55.349139632631264	7.681	14.001
643536919	Sncg Vip Nptx2	1.74162	0.8432	48.41469436501647	10.211	20.072
643649645	Sst Hpse Cbln4	1.35846	0.888464	65.40229377383213	10.029	19.321
643697447	Sst Tac2 Tacstd2	1.28442	0.780841	60.79327634262937	8.847	15.83
643722391	Sst Chodl	1.217029	1.035716	85.10199839116407	9.888	20.472
643727497	Sst Chodl	1.019335	0.530459	52.03971216528422	7.371	12.545
643785167	Sst Chodl	1.320204	0.71841	54.4165901633384	8.02	14.706
644134947	Sst Hpse Cbln4	1.223513	0.43993	35.95629960613414	8.746	15.304
644197464	Sst Chodl	1.344953	0.48376	35.96854313868217	9.069	14.938
644256576	Sst Nr2f2 Necab1	1.32937	0.595605	44.80355356296592	8.142	12.628
644571405	Pvalb Th Sst	1.162992	0.778367	66.92797542889375	7.751	14.291
644594173	Sst Myh8 Fibin	1.304706	0.849586	65.11704552596524	9.477	17.031
644917900	Lamp5 Plch2 Dock5	1.145044	0.763039	66.63839992174974	8.285	16.574
644919379	Lamp5 Plch2 Dock5	1.12687	0.669789	59.43800083416898	8.44	14.251
644933725	Sst Calb2 Pdlim5	1.268513	0.409028	32.244683341834104	8.67	14.249
644935037	Sst Chodl	1.133819	0.607051	53.540379901906746	7.792	13.439
644943639	Vip Crispld2 Kcne4	1.326392	0.795335	59.962288674841226	9.889	18.977
