CellType	Category	Continent
Cck.Lypd1	Cck.Lypd1	0
Sst.Npy.Serpine2	Sst.Npy	1
Sst.Cryab	Sst.Cryab	1
Sst.Pnoc.Pvalb	Sst.Pnoc	1
Sst.Pnoc.Calb1.Pvalb	Sst.Pnoc	1
Sst.Pnoc.Calb1.Igfbp5	Sst.Pnoc	1
Sst.Npy.Zbtb20	Sst.Npy	1
Sst.Npy.Mgat4c	Sst.Npy	1
Sst.Npy.Cort	Sst.Npy	1
Pvalb.Tac1.Syt2	Pvalb.Tac1	2
Sst.Erbb4.Crh	Sst.Erbb4	2
Sst.Erbb4.Rgs10	Sst.Erbb4	2
Sst.Erbb4.Th	Sst.Erbb4	2
Pvalb.Tac1.Sst	Pvalb.Tac1	2
Pvalb.Tac1.Akr1c18	Pvalb.Tac1	2
Pvalb.Tac1.Nr4a2	Pvalb.Tac1	2
Pvalb.C1ql1.Pvalb	Pvalb.C1ql1	3
Pvalb.C1ql1.Npy	Pvalb.C1ql1	3
Pvalb.C1ql1.Cpne5	Pvalb.C1ql1	3
Cacna2d1.Lhx6.Reln	Cacna2d1.Lhx6	4
Cacna2d1.Lhx6.Vwa5a	Cacna2d1.Lhx6	4
Cacna2d1.Ndnf.Rgs10	Cacna2d1.Ndnf	5
Cacna2d1.Ndnf.Npy	Cacna2d1.Ndnf	5
Cacna2d1.Ndnf.Cxcl14	Cacna2d1.Ndnf	5
Ntng1.Rgs10	Ntng1.Rgs10	6
Ntng1.Chrm2	Ntng1.Chrm2	6
Cck.Sema5a	Cck.Sema5a	7
Cck.Lmo1.Vip.Tac2	Cck.Lmo1	7
Cck.Lmo1.Vip.Fam19a2	Cck.Lmo1	7
Cck.Lmo1.Vip.Crh	Cck.Lmo1	7
Cck.Lmo1.Npy	Cck.Lmo1	7
Cck.Calca	Cck.Calca	7
Ntng1.Synpr	Ntng1.Synpr	8
Cck.Cxcl14.Calb1.Kctd12	Cck.Cxcl14	8
Cck.Cxcl14.Calb1.Tac2	Cck.Cxcl14	8
Cck.Cxcl14.Calb1.Igfbp5	Cck.Cxcl14	8
Cck.Cxcl14.Slc17a8	Cck.Cxcl14	8
Cck.Cxcl14.Vip	Cck.Cxcl14	8
Cck.Cxcl14.Calb1.Tnfaip8l3	Cck.Cxcl14	8
Vip.Crh.C1ql1	Vip.Crh	9
Calb2.Vip.Nos1	Calb2.Vip	9
Calb2.Vip.Igfbp4	Calb2.Vip	9
Calb2.Vip.Gpd1	Calb2.Vip	9
Calb2.Cryab	Calb2.Cryab	9
Calb2.Cntnap5a.Vip	Calb2.Cntnap5a	9
Calb2.Cntnap5a.Rspo3	Calb2.Cntnap5a	9
Calb2.Cntnap5a.Igfbp6	Calb2.Cntnap5a	9
Vip.Crh.Pcp4	Vip.Crh	9
Sst.Nos1	Sst.Nos1	10
