	CellType	Reads (M)	Aligned reads (M)	Alignment rate (%)	Gene count (K)	Isoform count (K)
H2	Htr3a-OLM	20.866924	17.320558	83.00484537155548	11.75	24.643
H6	Htr3a-OLM	4.519664	3.860211	85.40924723607773	8.983	17.497
H9	Htr3a-OLM	17.169747	14.172213	82.54176954383776	11.553	23.805
H11	Htr3a-OLM	5.648132	3.697483	65.46382060475923	7.395	12.357
H12	Htr3a-OLM	4.649565	3.14931	67.73343312761516	11.862	24.939
H16	Htr3a-OLM	22.355746	17.642969	78.9191691478334	6.822	11.864
H20	Htr3a-OLM	4.874511	4.004468	82.15117372799035	10.193	20.521
H22	Htr3a-OLM	12.015578	11.046989	91.93888966473357	8.877	17.46
H26	Htr3a-OLM	23.02522	20.495667	89.01398987718684	10.391	20.843
H30	Htr3a-OLM	28.485246	20.662351	72.53702846729848	16.789	33.477
H31	Htr3a-OLM	23.111948	17.178608	74.32782385976292	14.035	27.899
H32	Htr3a-OLM	29.650086	14.246609	48.04913213405182	11.457	20.619
H33	Htr3a-OLM	27.142575	22.939046	84.51315322882962	12.16	26.024
H35	Htr3a-OLM	5.146703	4.554822	88.49980268921676	10.86	23.059
H38	Htr3a-OLM	5.185853	4.421895	85.26842160778565	10.517	21.422
H39	Htr3a-OLM	5.089876	4.207657	82.66718089006491	9.301	17.986
H42	Htr3a-OLM	21.401589	18.734953	87.54000929557147	11.928	24.683
H46	Htr3a-OLM	21.547093	19.864281	92.19007408563186	8.116	16.367
H48	Htr3a-OLM	17.297767	14.301046	82.67567715532299	11.694	23.62
H52	Htr3a-OLM	5.195137	0.741113	14.265514075952185	5.53	7.94
H53	Htr3a-OLM	14.389158	12.136891	84.34747189515885	8.925	16.01
H57	Htr3a-OLM	5.654764	5.175423	91.52323598296941	10.318	21.8
H60	Htr3a-OLM	26.021834	16.690406	64.14000642691057	12.291	24.139
Som5	SST-OLM	6.227963	4.98952	80.11479836986828	9.667	19.984
Som6	SST-OLM	23.039818	18.456255	80.10590621853002	12.203	25.611
Som7	SST-OLM	5.686452	4.721048	83.02273544206474	7.716	13.967
Som9	SST-OLM	5.559106	4.273389	76.87187472230246	8.972	17.104
Som11	SST-OLM	15.578651	12.510025	80.30236379260309	9.758	18.155
Som14	SST-OLM	18.486721	15.74055	85.14516987625875	12.026	25.267
Som17	SST-OLM	5.467864	4.652198	85.08254777368275	9.205	18.205
Som43	SST-OLM	5.748007	3.94172	68.5754210111435	10.033	18.276
Som45	SST-OLM	4.987966	4.06904	81.57713986021557	10.475	22.387
Som47	SST-OLM	19.825799	14.755764	74.4270836196816	13.139	28.247
Som48	SST-OLM	20.83864	17.808479	85.45893110106992	12.336	27.217
Som105	SST-OLM	36.266707	32.628776	89.96895141320663	12.048	26.174
Som109	SST-OLM	8.862758	7.861399	88.7014967575556	8.635	16.169
Som115	SST-OLM	5.32799	4.26088	79.97162156835881	8.446	15.269
Som116	SST-OLM	6.354189	5.802993	91.32547048883815	5.755	10.22
Som124	SST-OLM	4.587695	3.96481	86.42270246823296	5.448	9.376
Som126	SST-OLM	23.688677	19.569266	82.61021077707295	6.376	10.948
Som127	SST-OLM	5.266223	4.983937	94.63968768508283	6.439	11.894
Som128	SST-OLM	4.729629	4.318671	91.31098866317	5.6	10.502
Som131	SST-OLM	4.735785	2.906371	61.37041694249211	9.815	17.821
Som134	SST-OLM	27.561765	17.976714	65.2233773853017	10.521	19.359
Som137	SST-OLM	5.347069	4.050419	75.75026617386085	7.369	13.199
Som138	SST-OLM	26.002305	18.597755	71.52348609094463	10.097	18.407
