	CellType	Resting membrane potential (mV)	Max. AP frequency (Hz)	Frequency Slope (Hz/pA)	AP firing threshold (pA)	Input resistance (MOhm)	Series Resistance (MOhm)	Capacitance (pF)	AP basewidth (ms)	AP halfwidth (ms)	AP symmetricity	AP peak amplitude (mV)	Sag potential	Attenuation	Latency (ms)	Approx Resistance (MOhm)
O100	vBC	-71.3928	118.07873219109548	0.40298578882349095	200.0	120.5420535062067	14.199970804860024	50.3862324848	0.4406446322290172	0.2150057499894287	0.4266227177781897	91.83537464256068	1.7090000000000032	1.082040737013024	490.48000000000013	0.08023929482128397
O102	hBC	-69.0857	113.02417394226367	0.31314202959733584	175.0	96.9973500323971	16.83094793918507	44.293766297999994	0.530712662032645	0.26315183851046964	0.4103978841367541	82.11084807336732	2.2094000000000023	1.035060729151404	77.48000000000002	0.06306835677127356
O103	vBC	-71.9116	157.71825321860356	0.3473438315392655	223.71279882349023	98.26213586509002	13.587307281030354	49.008535979200005	0.44626974695012156	0.21566123960946348	0.40477632704093075	86.4993656931315	1.2146000000000043	1.2263198040636165	331.2800000000001	0.04999884123402399
O104	hBIC	-61.3159	140.6489706885026	0.28867949195050785	375.0	83.50319274457458	16.634727988927924	55.467750264	0.5533217790930312	0.2916358165004377	0.4058519707770932	70.1416239624343	1.5135999999999967	1.2377431015272158	158.5200000000001	0.0459502319300235
O106	hBC	-56.5247	252.38358618075665	0.4532187881456386	272.96274318364385	75.61707121925797	9.570776789223942	54.217486400000006	0.44172023981611575	0.21550602796559803	0.48355456902121496	75.10699058975405	1.0437000000000012	1.254388462213289	124.40000000000009	0.03572226090107582
O109	vBC	-57.9285	131.372816359345	0.22582862286674252	225.0	71.41622662368361	10.992644601644146	55.98603600000001	0.45938505793319784	0.21743202026437386	0.456819386154773	78.74321015086683	1.2329000000000008	1.1571271947312558	1143.4	0.05180724686471539
O111	vBC	-62.4756	203.20003137389747	0.22204816586140427	380.9617722622244	53.403541188816234	8.13257859750917	69.42385120000002	0.41549896208068887	0.19446711178232315	0.5045437685647615	74.4656393847286	0.6469999999999914	1.2338681993635843	48.280000000000086	0.04162505778126856
O113	vBC	-60.7605	241.25022844332207	0.38569582400281005	0.0	84.55435458308276	18.682924098827282	48.3138116	0.47332080085188366	0.21366702964313758	0.44703470708224036	93.16066327979388	1.0253999999999905	1.1410149937062855	445.36	0.039880726775889275
O114	vBC	-62.8174	221.51094135542883	0.43995309297056234	175.0	71.02464413102058	12.583230203275793	59.28037120000001	0.38821520821417704	0.1898276229536574	0.4798705282355442	86.75090366745694	0.9947999999999979	1.1977586068534698	264.96000000000015	0.03532435570106736
O117	vBC	-61.38005	188.21419820497442	0.29390100398898766	423.5716110815712	53.04883596265468	13.469942799214408	50.68970900000001	0.368529476872976	0.1812633050092643	0.4947939202640549	79.73453523602265	0.7385000000000019	1.1370318700829773	96.16000000000008	0.03418333779066969
O125	hBIC	-61.27015	245.56239057977686	0.41738847226346326	150.0	84.52463766400949	13.898687463550692	43.802492	0.47767368456242754	0.24048283707355816	0.4556716958896829	83.90389240888531	1.8248999999999995	1.3241954721819327	874.2800000000001	0.04553762279335343
O127	vAAC	-73.4131	275.40630914301727	0.5953467216484573	298.7754138923643	86.21165305672037	11.843121278299137	56.42179900000001	0.43551657360819696	0.2199133765122085	0.5073115268728597	72.73953047807139	1.6480000000000103	1.2084967980153463	624.16	0.045125711174977615
O128	vBC	-59.5764	238.46271941869657	0.5790313937284576	104.07601149022159	77.0332463165783	12.40524286252567	36.23599180000001	0.4480278180554036	0.22921458892479965	0.5010145857132411	79.67486590360413	1.4342999999999932	1.1629425080654339	378.0400000000001	0.039935336008697385
O129	vBC	-67.8772	197.58168535615653	0.25856283606782743	356.9992960965717	62.83826624196376	13.262898500364068	54.02575174399999	0.3959854688666587	0.20074637103591522	0.47023868900895754	75.86454034763113	0.7385000000000019	1.238550674467702	679.68	0.035410441337518105
O130	vBC	-59.3384	237.90756991372274	0.5802338732295731	50.0	74.4090249218147	20.121307337677386	41.4078858	0.450534321236283	0.20812081946911315	0.47619794295116996	91.87485833426314	1.0437000000000012	1.185851178491363	364.2400000000001	0.03911994432576894
O131	vBC	-63.7268	224.82071759899497	0.4046241007381937	300.0	71.60200170555967	11.028703413791769	58.296099600000026	0.45408172087076465	0.2180629783182012	0.4732635186706779	83.0808877904579	1.1779000000000082	1.1872849696206318	1116.12	0.037283450071072324
